type,peak
A,0.078537
C,0.078537
A,0.078120
C,0.078120
A,0.069136
C,0.069136
A,0.077590
C,0.077590
A,0.074874
C,0.074874
A,0.085135
C,0.085135
A,0.072234
C,0.072234
A,0.080014
C,0.080014
A,0.077377
C,0.077377
A,0.082052
C,0.082052
A,0.073794
C,0.073794
A,0.074533
C,0.074533
A,0.076865
C,0.076865
A,0.082195
C,0.082195
A,0.074190
C,0.074190
A,0.072524
C,0.072524
A,0.077209
C,0.077209
A,0.082514
C,0.082514
A,0.076466
C,0.076466
A,0.083101
C,0.083101
A,0.085287
C,0.085287
A,0.081456
C,0.081456
A,0.069780
C,0.069780
A,0.079119
C,0.079119
A,0.075512
C,0.075512
A,0.081973
C,0.081973
A,0.080226
C,0.080226
A,0.071971
C,0.071971
A,0.071204
C,0.071204
A,0.078096
C,0.078096
A,0.077598
C,0.077598
A,0.079977
C,0.079977
A,0.077340
C,0.077340
A,0.079039
C,0.079039
A,0.084257
C,0.084257
A,0.076792
C,0.076792
A,0.075480
C,0.075480
A,0.084189
C,0.084189
A,0.072463
C,0.072463
A,0.079337
C,0.079337
A,0.076941
C,0.076941
A,0.085097
C,0.085097
A,0.076186
C,0.076186
A,0.078351
C,0.078351
A,0.066808
C,0.066808
A,0.080635
C,0.080635
A,0.076833
C,0.076833
A,0.073704
C,0.073704
A,0.074228
C,0.074228
A,0.080737
C,0.080737
A,0.076662
C,0.076662
A,0.076676
C,0.076676
A,0.076684
C,0.076684
A,0.064585
C,0.064585
A,0.069404
C,0.069404
A,0.077290
C,0.077290
A,0.073953
C,0.073953
A,0.070142
C,0.070142
A,0.074589
C,0.074589
A,0.080604
C,0.080604
A,0.079066
C,0.079066
A,0.069378
C,0.069378
A,0.073347
C,0.073347
A,0.072303
C,0.072303
A,0.073736
C,0.073736
A,0.076221
C,0.076221
A,0.076725
C,0.076725
A,0.072263
C,0.072263
A,0.079267
C,0.079267
A,0.085700
C,0.085700
A,0.068533
C,0.068533
A,0.077870
C,0.077870
A,0.071157
C,0.071157
A,0.078764
C,0.078764
A,0.079635
C,0.079635
A,0.077154
C,0.077154
A,0.078709
C,0.078709
A,0.065986
C,0.065986
A,0.072505
C,0.072505
A,0.075898
C,0.075898
A,0.080683
C,0.080683
A,0.082187
C,0.082187
A,0.072063
C,0.072063
A,0.075019
C,0.075019
A,0.076037
C,0.076037
A,0.081818
C,0.081818
A,0.077769
C,0.077769
A,0.081259
C,0.081259
A,0.075649
C,0.075649
A,0.080770
C,0.080770
A,0.078365
C,0.078365
A,0.084355
C,0.084355
A,0.069214
C,0.069214
A,0.074742
C,0.074742
A,0.074574
C,0.074574
A,0.069841
C,0.069841
A,0.076179
C,0.076179
A,0.070099
C,0.070099
A,0.076319
C,0.076319
A,0.081150
C,0.081150
A,0.075861
C,0.075861
A,0.069644
C,0.069644
A,0.072673
C,0.072673
A,0.077400
C,0.077400
A,0.074580
C,0.074580
A,0.077865
C,0.077865
A,0.076194
C,0.076194
A,0.078959
C,0.078959
A,0.077816
C,0.077816
A,0.072384
C,0.072384
A,0.071937
C,0.071937
A,0.072336
C,0.072336
A,0.065364
C,0.065364
A,0.075112
C,0.075112
A,0.080142
C,0.080142
A,0.085040
C,0.085040
A,0.072683
C,0.072683
A,0.075240
C,0.075240
A,0.075810
C,0.075810
A,0.077259
C,0.077259
A,0.069595
C,0.069595
A,0.082754
C,0.082754
A,0.074867
C,0.074867
A,0.075963
C,0.075963
A,0.075615
C,0.075615
A,0.072212
C,0.072212
A,0.076192
C,0.076192
A,0.087713
C,0.087713
A,0.081419
C,0.081419
A,0.073940
C,0.073940
A,0.073804
C,0.073804
A,0.075224
C,0.075224
A,0.080424
C,0.080424
A,0.074300
C,0.074300
A,0.064641
C,0.064641
A,0.075233
C,0.075233
A,0.078260
C,0.078260
A,0.076994
C,0.076994
A,0.068029
C,0.068029
A,0.069345
C,0.069345
A,0.074928
C,0.074928
A,0.085940
C,0.085940
A,0.072549
C,0.072549
A,0.075166
C,0.075166
A,0.075664
C,0.075664
A,0.075781
C,0.075781
A,0.072605
C,0.072605
A,0.084383
C,0.084383
A,0.062890
C,0.062890
A,0.086419
C,0.086419
A,0.076008
C,0.076008
A,0.067458
C,0.067458
A,0.068271
C,0.068271
A,0.071977
C,0.071977
A,0.072136
C,0.072136
A,0.089572
C,0.089572
A,0.085551
C,0.085551
A,0.076236
C,0.076236
A,0.071263
C,0.071263
A,0.076352
C,0.076352
A,0.076936
