type,peak
A,0.012874
C,0.012874
A,0.005767
C,0.005767
A,0.010497
C,0.010497
A,0.007898
C,0.007898
A,0.011301
C,0.011301
A,0.008759
C,0.008759
A,0.012369
C,0.012369
A,0.007688
C,0.007688
A,0.012260
C,0.012260
A,0.011923
C,0.011923
A,0.012245
C,0.012245
A,0.009516
C,0.009516
A,0.011906
C,0.011906
A,0.011091
C,0.011091
A,0.013375
C,0.013375
A,0.009756
C,0.009756
A,0.014444
C,0.014444
A,0.010004
C,0.010004
A,0.019119
C,0.019119
A,0.010620
C,0.010620
A,0.013013
C,0.013013
A,0.008822
C,0.008822
A,0.012253
C,0.012253
A,0.014808
C,0.014808
A,0.023795
C,0.023795
A,0.009812
C,0.009812
A,0.031980
C,0.031980
A,0.006727
C,0.006727
A,0.016688
C,0.016688
A,0.009916
C,0.009916
A,0.017197
C,0.017197
A,0.006271
C,0.006271
A,0.020017
C,0.020017
A,0.010540
C,0.010540
A,0.012266
C,0.012266
A,0.006519
C,0.006519
A,0.015510
C,0.015510
A,0.009326
C,0.009326
A,0.011729
C,0.011729
A,0.008800
C,0.008800
A,0.012951
C,0.012951
A,0.009566
C,0.009566
A,0.014574
C,0.014574
A,0.012930
C,0.012930
A,0.013479
C,0.013479
A,0.010550
C,0.010550
A,0.015632
C,0.015632
A,0.010495
C,0.010495
A,0.018859
C,0.018859
A,0.012417
C,0.012417
A,0.011898
C,0.011898
A,0.011742
C,0.011742
A,0.019492
C,0.019492
A,0.013815
C,0.013815
A,0.019338
C,0.019338
A,0.010406
C,0.010406
A,0.019959
C,0.019959
A,0.007634
C,0.007634
A,0.010389
C,0.010389
A,0.012935
C,0.012935
A,0.023604
C,0.023604
A,0.007536
C,0.007536
A,0.026333
C,0.026333
A,0.007758
C,0.007758
A,0.024004
C,0.024004
A,0.011075
C,0.011075
A,0.014148
C,0.014148
A,0.010527
C,0.010527
A,0.031186
C,0.031186
A,0.015269
C,0.015269
A,0.025040
C,0.025040
A,0.011492
C,0.011492
A,0.019959
C,0.019959
A,0.011906
C,0.011906
A,0.014586
C,0.014586
A,0.010391
C,0.010391
A,0.011297
C,0.011297
A,0.008051
C,0.008051
A,0.014438
C,0.014438
A,0.009340
C,0.009340
A,0.011042
C,0.011042
A,0.008328
C,0.008328
A,0.010257
C,0.010257
A,0.006441
C,0.006441
A,0.013752
C,0.013752
A,0.007761
C,0.007761
A,0.013289
C,0.013289
A,0.005934
C,0.005934
A,0.010756
C,0.010756
A,0.007975
C,0.007975
A,0.012695
C,0.012695
A,0.008755
C,0.008755
A,0.013539
C,0.013539
A,0.010062
C,0.010062
A,0.011582
C,0.011582
A,0.010178
C,0.010178
A,0.011386
C,0.011386
A,0.009390
C,0.009390
A,0.015820
C,0.015820
A,0.013109
C,0.013109
A,0.019569
C,0.019569
A,0.010656
C,0.010656
A,0.018557
C,0.018557
A,0.013150
C,0.013150
A,0.019532
C,0.019532
A,0.010186
C,0.010186
A,0.024686
C,0.024686
A,0.011165
C,0.011165
A,0.023620
C,0.023620
A,0.008390
C,0.008390
A,0.014717
C,0.014717
A,0.010284
C,0.010284
A,0.013666
C,0.013666
A,0.006784
C,0.006784
A,0.012883
C,0.012883
A,0.008619
C,0.008619
A,0.013609
C,0.013609
A,0.005986
C,0.005986
A,0.010011
C,0.010011
A,0.008840
C,0.008840
A,0.011616
C,0.011616
A,0.007532
C,0.007532
A,0.012941
C,0.012941
A,0.007953
C,0.007953
A,0.014620
C,0.014620
A,0.008628
C,0.008628
A,0.013349
C,0.013349
A,0.007851
C,0.007851
A,0.012908
C,0.012908
A,0.008436
C,0.008436
A,0.016605
C,0.016605
A,0.008416
C,0.008416
A,0.012027
C,0.012027
A,0.007323
C,0.007323
A,0.014651
C,0.014651
A,0.008153
C,0.008153
A,0.021120
C,0.021120
A,0.012296
C,0.012296
A,0.016387
C,0.016387
A,0.008545
C,0.008545
A,0.011345
C,0.011345
A,0.007699
C,0.007699
A,0.012281
C,0.012281
A,0.006587
C,0.006587
A,0.017692
C,0.017692
A,0.009470
C,0.009470
A,0.017821
C,0.017821
A,0.007114
C,0.007114
A,0.012260
C,0.012260
A,0.009085
C,0.009085
A,0.015619
C,0.015619
A,0.009688
C,0.009688
A,0.017946
C,0.017946
A,0.008332
C,0.008332
A,0.013305
C,0.013305
A,0.008173
C,0.008173
A,0.012111
C,0.012111
A,0.007799
C,0.007799
A,0.014012
C,0.014012
A,0.007302
C,0.007302
A,0.015824
C,0.015824
A,0.007588
C,0.007588
A,0.011550
C,0.011550
A,0.011148
C,0.011148
A,0.010794
C,0.010794
A,0.010375
C,0.010375
A,0.016477
C,0.016477
A,0.010956
C,0.010956
A,0.019989
C,0.019989
A,0.010545
C,0.010545
A,0.008981
C,0.008981
A,0.007038
C,0.007038
A,0.013722
C,0.013722
A,0.006653
C,0.006653
A,0.016451
C,0.016451
A,0.011223
C,0.011223
A,0.021507
C,0.021507
A,0.009524
C,0.009524
A,0.010933
C,0.010933
A,0.009785
C,0.009785
A,0.012070
C,0.012070
A,0.009194
C,0.009194
A,0.019061
C,0.019061
A,0.009254
C,0.009254
A,0.015264
C,0.015264
A,0.010059
C,0.010059
A,0.012375
C,0.012375
A,0.008811
C,0.008811
A,0.021955
C,0.021955
A,0.009408
C,0.009408
A,0.019928
C,0.019928
A,0.010821
C,0.010821
A,0.019973
C,0.019973
A,0.009579
C,0.009579
A,0.014295
C,0.014295
A,0.011478
C,0.011478
A,0.017365
C,0.017365
A,0.008869
C,0.008869
A,0.017592
C,0.017592
A,0.008765
C,0.008765
A,0.011682
C,0.011682
A,0.009683
C,0.009683
A,0.015147
C,0.015147
A,0.008461
C,0.008461
A,0.014700
C,0.014700
A,0.008731
C,0.008731
A,0.016936
C,0.016936
A,0.009266
C,0.009266
A,0.009757
C,0.009757
A,0.007964
C,0.007964
A,0.011981
C,0.011981
A,0.010016
C,0.010016
A,0.015920
C,0.015920
A,0.009072
C,0.009072
A,0.013140
C,0.013140
A,0.007631
C,0.007631
A,0.010731
C,0.010731
A,0.008648
C,0.008648
A,0.017280
C,0.017280
A,0.010974
C,0.010974
A,0.015679
C,0.015679
A,0.011745
C,0.011745
A,0.018295
C,0.018295
A,0.007886
C,0.007886
A,0.018648
C,0.018648
A,0.007974
C,0.007974
A,0.018908
C,0.018908
A,0.007699
C,0.007699
A,0.018862
C,0.018862
A,0.014292
C,0.014292
A,0.013005
C,0.013005
A,0.008160
C,0.008160
A,0.017471
C,0.017471
A,0.006464
C,0.006464
A,0.014235
C,0.014235
A,0.007812
C,0.007812
A,0.012490
C,0.012490
A,0.010458
C,0.010458
A,0.012101
C,0.012101
A,0.008035
C,0.008035
A,0.012639
C,0.012639
A,0.009787
C,0.009787
A,0.014168
C,0.014168
A,0.009036
C,0.009036
A,0.013228
C,0.013228
A,0.009245
C,0.009245
A,0.012477
C,0.012477
A,0.007737
C,0.007737
A,0.012456
C,0.012456
A,0.009726
C,0.009726
A,0.011514
C,0.011514
A,0.009080
C,0.009080
A,0.009960
C,0.009960
A,0.007127
C,0.007127
A,0.003202
C,0.000631
