type,peak
A,0.074577
C,0.074577
A,0.070263
C,0.070263
A,0.073587
C,0.073587
A,0.053851
C,0.053851
A,0.072303
C,0.072303
A,0.053202
C,0.053202
A,0.079558
C,0.079558
A,0.059713
C,0.059713
A,0.070966
C,0.070966
A,0.055042
C,0.055042
A,0.072548
C,0.072548
A,0.069965
C,0.069965
A,0.075694
C,0.075694
A,0.060649
C,0.060649
A,0.077992
C,0.077992
A,0.064830
C,0.064830
A,0.070202
C,0.070202
A,0.059989
C,0.059989
A,0.073060
C,0.073060
A,0.068947
C,0.068947
A,0.069901
C,0.069901
A,0.054775
C,0.054775
A,0.069186
C,0.069186
A,0.053722
C,0.053722
A,0.070130
C,0.070130
A,0.049991
C,0.049991
A,0.066787
C,0.066787
A,0.054251
C,0.054251
A,0.075516
C,0.075516
A,0.051246
C,0.051246
A,0.075695
C,0.075695
A,0.056555
C,0.056555
A,0.075238
C,0.075238
A,0.048954
C,0.048954
A,0.071714
C,0.071714
A,0.052621
C,0.052621
A,0.068994
C,0.068994
A,0.051500
C,0.051500
A,0.069491
C,0.069491
A,0.047103
C,0.047103
A,0.075710
C,0.075710
A,0.061077
C,0.061077
A,0.068329
C,0.068329
A,0.053834
C,0.053834
A,0.070133
C,0.070133
A,0.047474
C,0.047474
A,0.074055
C,0.074055
A,0.062006
C,0.062006
A,0.068975
C,0.068975
A,0.059311
C,0.059311
A,0.076106
C,0.076106
A,0.050579
C,0.050579
A,0.071196
C,0.071196
A,0.047147
C,0.047147
A,0.069624
C,0.069624
A,0.054270
C,0.054270
A,0.069271
C,0.069271
A,0.073020
C,0.073020
A,0.072617
C,0.072617
A,0.057862
C,0.057862
A,0.060790
C,0.060790
A,0.050090
C,0.050090
A,0.069107
C,0.069107
A,0.057948
C,0.057948
A,0.065121
C,0.065121
A,0.051517
C,0.051517
A,0.072497
C,0.072497
A,0.048965
C,0.048965
A,0.075923
C,0.075923
A,0.048452
C,0.048452
A,0.066083
C,0.066083
A,0.052373
C,0.052373
A,0.072328
C,0.072328
A,0.052327
C,0.052327
A,0.074119
C,0.074119
A,0.055533
C,0.055533
A,0.069089
C,0.069089
A,0.052418
C,0.052418
A,0.069195
C,0.069195
A,0.044252
C,0.044252
A,0.071881
C,0.071881
A,0.044791
C,0.044791
A,0.068112
C,0.068112
A,0.051396
C,0.051396
A,0.067450
C,0.067450
A,0.046131
C,0.046131
A,0.068337
C,0.068337
A,0.061837
C,0.061837
A,0.078079
C,0.078079
A,0.050702
C,0.050702
A,0.072695
C,0.072695
A,0.060059
C,0.060059
A,0.071711
C,0.071711
A,0.059091
C,0.059091
A,0.073360
C,0.073360
A,0.068021
C,0.068021
A,0.075807
C,0.075807
A,0.061172
C,0.061172
A,0.071308
C,0.071308
A,0.065462
C,0.065462
A,0.067155
C,0.067155
A,0.054942
C,0.054942
A,0.069604
C,0.069604
A,0.055173
C,0.055173
A,0.070572
C,0.070572
A,0.058421
C,0.058421
A,0.070442
C,0.070442
A,0.056938
C,0.056938
A,0.072701
C,0.072701
A,0.057847
C,0.057847
A,0.070840
C,0.070840
A,0.052888
C,0.052888
A,0.067113
C,0.067113
A,0.052211
C,0.052211
A,0.070932
C,0.070932
A,0.050812
C,0.050812
A,0.071871
C,0.071871
A,0.062705
C,0.062705
A,0.070016
C,0.070016
A,0.057612
C,0.057612
A,0.068997
C,0.068997
A,0.047097
C,0.047097
A,0.070936
C,0.070936
A,0.051378
C,0.051378
A,0.066261
C,0.066261
A,0.053381
C,0.053381
A,0.067084
C,0.067084
A,0.052295
C,0.052295
A,0.075263
C,0.075263
A,0.062845
C,0.062845
A,0.073939
C,0.073939
A,0.060919
C,0.060919
A,0.066158
C,0.066158
A,0.061892
C,0.061892
A,0.067474
C,0.067474
A,0.058694
C,0.058694
A,0.068040
C,0.068040
A,0.060889
C,0.060889
A,0.072901
C,0.072901
A,0.057090
C,0.057090
A,0.066520
C,0.066520
A,0.055627
C,0.055627
A,0.067919
C,0.067919
A,0.052961
C,0.052961
A,0.070749
C,0.070749
A,0.046873
C,0.046873
A,0.067325
C,0.067325
A,0.053186
C,0.053186
A,0.069981
C,0.069981
A,0.057344
C,0.057344
A,0.064281
C,0.064281
A,0.049631
C,0.049631
A,0.070775
C,0.070775
A,0.050960
C,0.050960
A,0.062326
C,0.062326
A,0.057840
C,0.057840
A,0.068344
C,0.068344
A,0.049681
C,0.049681
A,0.076925
C,0.076925
A,0.056047
C,0.056047
A,0.066942
C,0.066942
A,0.054725
C,0.054725
A,0.065842
C,0.065842
A,0.042737
C,0.042737
A,0.074446
C,0.074446
A,0.070122
C,0.070122
A,0.073777
C,0.073777
A,0.057686
C,0.057686
A,0.072412
C,0.072412
A,0.069948
C,0.069948
A,0.072689
C,0.072689
A,0.052942
C,0.052942
A,0.075129
C,0.075129
A,0.046874
C,0.046874
A,0.068574
C,0.068574
A,0.050770
C,0.050770
A,0.076140
C,0.076140
A,0.064273
C,0.064273
A,0.074168
C,0.074168
A,0.061884
C,0.061884
A,0.065705
C,0.065705
A,0.051625
C,0.051625
A,0.069578
C,0.069578
A,0.052689
C,0.052689
A,0.068833
C,0.068833
A,0.058419
C,0.058419
A,0.066315
C,0.066315
A,0.041624
C,0.041624
A,0.067616
C,0.067616
A,0.054605
C,0.054605
A,0.067430
C,0.067430
A,0.049567
C,0.049567
A,0.067266
C,0.067266
A,0.057265
C,0.057265
A,0.066558
C,0.066558
A,0.048608
C,0.048608
A,0.065837
C,0.065837
A,0.051053
