type,peak
A,0.022853
C,0.022853
A,0.028354
C,0.028354
A,0.019585
C,0.019585
A,0.024636
C,0.024636
A,0.021497
C,0.021497
A,0.038218
C,0.038218
A,0.020136
C,0.020136
A,0.025157
C,0.025157
A,0.024713
C,0.024713
A,0.033892
C,0.033892
A,0.025660
C,0.025660
A,0.035703
C,0.035703
A,0.027355
C,0.027355
A,0.034325
C,0.034325
A,0.023780
C,0.023780
A,0.033121
C,0.033121
A,0.022386
C,0.022386
A,0.020163
C,0.020163
A,0.021337
C,0.021337
A,0.032861
C,0.032861
A,0.018343
C,0.018343
A,0.023176
C,0.023176
A,0.021449
C,0.021449
A,0.039884
C,0.039884
A,0.022694
C,0.022694
A,0.025790
C,0.025790
A,0.022519
C,0.022519
A,0.037091
C,0.037091
A,0.026395
C,0.026395
A,0.036409
C,0.036409
A,0.026452
C,0.026452
A,0.035134
C,0.035134
A,0.025232
C,0.025232
A,0.022668
C,0.022668
A,0.021645
C,0.021645
A,0.040452
C,0.040452
A,0.020100
C,0.020100
A,0.022799
C,0.022799
A,0.025753
C,0.025753
A,0.039181
C,0.039181
A,0.023044
C,0.023044
A,0.043719
C,0.043719
A,0.024576
C,0.024576
A,0.029438
C,0.029438
A,0.025434
C,0.025434
A,0.025007
C,0.025007
A,0.018910
C,0.018910
A,0.023274
C,0.023274
A,0.029808
C,0.029808
A,0.039483
C,0.039483
A,0.025420
C,0.025420
A,0.028061
C,0.028061
A,0.028038
C,0.028038
A,0.039596
C,0.039596
A,0.028042
C,0.028042
A,0.016477
C,0.016477
A,0.021962
C,0.021962
A,0.024290
C,0.024290
A,0.026096
C,0.026096
A,0.030592
C,0.030592
A,0.021537
C,0.021537
A,0.026754
C,0.026754
A,0.020331
C,0.020331
A,0.027169
C,0.027169
A,0.024371
C,0.024371
A,0.031789
C,0.031789
A,0.027988
C,0.027988
A,0.035979
C,0.035979
A,0.023049
C,0.023049
A,0.028038
C,0.028038
A,0.028581
C,0.028581
A,0.027428
C,0.027428
A,0.021709
C,0.021709
A,0.030861
C,0.030861
A,0.025752
C,0.025752
A,0.031607
C,0.031607
A,0.022945
C,0.022945
A,0.026817
C,0.026817
A,0.030376
C,0.030376
A,0.026858
C,0.026858
A,0.021747
C,0.021747
A,0.033593
C,0.033593
A,0.023020
C,0.023020
A,0.039940
C,0.039940
A,0.027847
C,0.027847
A,0.018500
C,0.018500
A,0.026400
C,0.026400
A,0.034922
C,0.034922
A,0.026468
C,0.026468
A,0.030579
C,0.030579
A,0.027718
C,0.027718
A,0.023734
C,0.023734
A,0.017843
C,0.017843
A,0.026787
C,0.026787
A,0.021091
C,0.021091
A,0.028408
C,0.028408
A,0.019319
C,0.019319
A,0.019750
C,0.019750
A,0.021083
C,0.021083
A,0.025221
C,0.025221
A,0.025701
C,0.025701
A,0.020524
C,0.020524
A,0.018857
C,0.018857
A,0.022081
C,0.022081
A,0.021724
C,0.021724
A,0.022413
C,0.022413
A,0.017386
C,0.017386
A,0.025023
C,0.025023
A,0.024621
C,0.024621
A,0.024353
C,0.024353
A,0.022070
C,0.022070
A,0.031633
C,0.031633
A,0.023014
C,0.023014
A,0.030288
C,0.030288
A,0.015223
C,0.015223
A,0.023640
C,0.023640
A,0.023703
C,0.023703
A,0.037235
C,0.037235
A,0.027512
C,0.027512
A,0.034373
C,0.034373
A,0.022203
C,0.022203
A,0.036209
C,0.036209
A,0.023824
C,0.023824
A,0.018064
C,0.018064
A,0.017653
C,0.017653
A,0.029715
C,0.029715
A,0.020193
C,0.020193
A,0.020107
C,0.020107
A,0.018039
C,0.018039
A,0.033938
C,0.033938
A,0.024933
C,0.024933
A,0.029442
C,0.029442
A,0.018845
C,0.018845
A,0.027220
C,0.027220
A,0.022673
C,0.022673
A,0.034669
C,0.034669
A,0.018473
C,0.018473
A,0.023590
C,0.023590
A,0.019259
C,0.019259
A,0.033189
C,0.033189
A,0.022171
C,0.022171
A,0.029101
C,0.029101
A,0.018115
C,0.018115
A,0.037451
C,0.037451
A,0.024910
C,0.024910
A,0.024026
C,0.024026
A,0.022094
C,0.022094
A,0.040215
C,0.040215
A,0.016069
C,0.016069
A,0.028728
C,0.028728
A,0.023138
C,0.023138
A,0.032437
C,0.032437
A,0.020727
C,0.020727
A,0.020021
C,0.020021
A,0.020589
C,0.020589
A,0.032357
C,0.032357
A,0.018960
C,0.018960
A,0.030202
C,0.030202
A,0.017721
C,0.017721
A,0.026292
C,0.026292
A,0.027550
C,0.027550
A,0.021470
C,0.021470
A,0.026483
C,0.026483
A,0.028754
C,0.028754
A,0.023400
C,0.023400
A,0.030225
C,0.030225
A,0.025418
C,0.025418
A,0.025851
C,0.025851
A,0.026085
C,0.026085
A,0.024689
C,0.024689
A,0.020137
C,0.020137
A,0.030114
C,0.030114
A,0.019275
C,0.019275
A,0.028181
C,0.028181
A,0.020323
C,0.020323
A,0.028180
C,0.028180
A,0.018785
C,0.018785
A,0.030956
C,0.030956
A,0.020128
C,0.020128
A,0.029914
C,0.029914
A,0.021293
C,0.021293
A,0.030368
C,0.030368
A,0.021936
C,0.021936
A,0.015195
C,0.015195
A,0.022636
C,0.022636
A,0.036341
C,0.036341
A,0.018671
C,0.018671
A,0.020663
C,0.020663
A,0.021547
C,0.021547
A,0.028342
C,0.028342
A,0.018602
C,0.018602
A,0.027311
C,0.027311
A,0.020983
C,0.020983
A,0.031495
C,0.031495
A,0.019389
C,0.019389
A,0.022427
C,0.022427
A,0.015846
C,0.015846
A,0.033733
C,0.033733
A,0.029059
C,0.029059
A,0.027273
C,0.027273
A,0.020803
C,0.020803
A,0.028699
C,0.028699
A,0.019757
C,0.019757
A,0.029389
C,0.029389
A,0.024263
C,0.024263
A,0.025062
C,0.025062
A,0.020291
C,0.020291
A,0.033449
C,0.033449
A,0.020840
C,0.020840
A,0.027248
C,0.027248
A,0.021547
C,0.021547
A,0.030202
C,0.030202
A,0.017977
C,0.017977
A,0.022975
C,0.022975
A,0.019169
C,0.019169
A,0.035619
C,0.035619
A,0.017389
C,0.017389
A,0.024833
C,0.024833
A,0.021258
C,0.021258
A,0.030976
C,0.030976
A,0.022597
C,0.022597
A,0.029782
C,0.029782
A,0.020396
C,0.020396
A,0.035950
C,0.035950
A,0.020594
C,0.020594
A,0.030291
C,0.030291
A,0.022105
C,0.022105
A,0.029049
C,0.029049
A,0.021714
C,0.021714
A,0.022466
C,0.022466
A,0.021782
C,0.021782
A,0.027992
C,0.027992
A,0.024329
C,0.024329
A,0.035611
C,0.035611
A,0.026242
C,0.026242
A,0.024340
C,0.024340
A,0.021122
C,0.021122
A,0.025416
C,0.025416
A,0.020844
C,0.020844
A,0.027229
C,0.027229
A,0.018753
C,0.018753
A,0.032143
C,0.032143
A,0.020130
C,0.020130
A,0.021250
C,0.021250
A,0.021362
C,0.021362
A,0.032165
C,0.032165
A,0.019399
C,0.019399
A,0.022019
C,0.022019
A,0.021819
C,0.021819
A,0.028659
C,0.028659
A,0.026140
C,0.026140
A,0.027424
C,0.027424
A,0.023394
C,0.023394
A,0.031076
C,0.031076
A,0.020721
C,0.020721
A,0.021328
C,0.021328
A,0.018461
C,0.018461
A,0.028664
C,0.028664
A,0.024650
C,0.024650
A,0.035570
C,0.035570
A,0.022322
C,0.022322
A,0.039186
C,0.039186
A,0.021250
C,0.021250
