type,peak
A,0.028038
C,0.028038
A,0.034010
C,0.034010
A,0.030806
C,0.030806
A,0.025287
C,0.025287
A,0.041288
C,0.041288
A,0.029480
C,0.029480
A,0.028069
C,0.028069
A,0.030505
C,0.030505
A,0.035342
C,0.035342
A,0.028420
C,0.028420
A,0.040505
C,0.040505
A,0.030532
C,0.030532
A,0.027794
C,0.027794
A,0.034691
C,0.034691
A,0.026091
C,0.026091
A,0.029415
C,0.029415
A,0.031036
C,0.031036
A,0.031643
C,0.031643
A,0.029900
C,0.029900
A,0.029762
C,0.029762
A,0.022773
C,0.022773
A,0.030512
C,0.030512
A,0.033791
C,0.033791
A,0.031882
C,0.031882
A,0.027898
C,0.027898
A,0.027948
C,0.027948
A,0.029388
C,0.029388
A,0.029477
C,0.029477
A,0.027717
C,0.027717
A,0.035933
C,0.035933
A,0.029739
C,0.029739
A,0.032260
C,0.032260
A,0.027930
C,0.027930
A,0.025920
C,0.025920
A,0.034226
C,0.034226
A,0.030366
C,0.030366
A,0.040687
C,0.040687
A,0.030718
C,0.030718
A,0.036312
C,0.036312
A,0.032657
C,0.032657
A,0.031431
C,0.031431
A,0.030592
C,0.030592
A,0.042338
C,0.042338
A,0.035174
C,0.035174
A,0.025016
C,0.025016
A,0.026635
C,0.026635
A,0.025612
C,0.025612
A,0.025365
C,0.025365
A,0.033984
C,0.033984
A,0.029403
C,0.029403
A,0.023323
C,0.023323
A,0.026576
C,0.026576
A,0.030373
C,0.030373
A,0.035934
C,0.035934
A,0.032687
C,0.032687
A,0.036921
C,0.036921
A,0.034301
C,0.034301
A,0.033667
C,0.033667
A,0.027921
C,0.027921
A,0.026974
C,0.026974
A,0.034304
C,0.034304
A,0.034091
C,0.034091
A,0.035002
C,0.035002
A,0.026348
C,0.026348
A,0.031742
C,0.031742
A,0.035077
C,0.035077
A,0.034472
C,0.034472
A,0.033738
C,0.033738
A,0.041853
C,0.041853
A,0.037011
C,0.037011
A,0.036042
C,0.036042
A,0.031786
C,0.031786
A,0.029351
C,0.029351
A,0.031048
C,0.031048
A,0.033694
C,0.033694
A,0.033112
C,0.033112
A,0.027639
