type,peak
A,0.093121
C,0.093121
A,0.093290
C,0.093290
A,0.093277
C,0.093277
A,0.086878
C,0.086878
A,0.085048
C,0.085048
A,0.089327
C,0.089327
A,0.086498
C,0.086498
A,0.094725
C,0.094725
A,0.088572
C,0.088572
A,0.090181
C,0.090181
A,0.074169
C,0.074169
A,0.089867
C,0.089867
A,0.094937
C,0.094937
A,0.088558
C,0.088558
A,0.083680
C,0.083680
A,0.088212
C,0.088212
A,0.098728
C,0.098728
A,0.087999
C,0.087999
A,0.085640
C,0.085640
A,0.093138
C,0.093138
A,0.085490
C,0.085490
A,0.086349
C,0.086349
A,0.085762
C,0.085762
A,0.080950
C,0.080950
A,0.082425
C,0.082425
A,0.088141
C,0.088141
A,0.085824
C,0.085824
A,0.091501
C,0.091501
A,0.080790
C,0.080790
A,0.084618
C,0.084618
A,0.088499
C,0.088499
A,0.082257
C,0.082257
A,0.080012
C,0.080012
A,0.088647
C,0.088647
A,0.086823
C,0.086823
A,0.085194
C,0.085194
A,0.087182
C,0.087182
A,0.089362
C,0.089362
A,0.094405
C,0.094405
A,0.091120
C,0.091120
A,0.091081
C,0.091081
A,0.086768
C,0.086768
A,0.092352
C,0.092352
A,0.082064
C,0.082064
A,0.092586
C,0.092586
A,0.083305
C,0.083305
A,0.087657
C,0.087657
A,0.090190
C,0.090190
A,0.084323
C,0.084323
A,0.083810
C,0.083810
A,0.090307
C,0.090307
A,0.089298
C,0.089298
A,0.081313
C,0.081313
A,0.081700
C,0.081700
A,0.080899
C,0.080899
A,0.085111
C,0.085111
A,0.081904
C,0.081904
A,0.086789
C,0.086789
A,0.080341
C,0.080341
A,0.085646
C,0.085646
A,0.088313
C,0.088313
A,0.082834
C,0.082834
A,0.075870
C,0.075870
A,0.096536
C,0.096536
A,0.090871
C,0.090871
A,0.088646
C,0.088646
A,0.088500
C,0.088500
A,0.095599
C,0.095599
A,0.092951
C,0.092951
A,0.092448
C,0.092448
A,0.086264
C,0.086264
A,0.084475
C,0.084475
A,0.087755
C,0.087755
A,0.082410
C,0.082410
A,0.093509
C,0.093509
A,0.087726
C,0.087726
A,0.091185
C,0.091185
A,0.091016
C,0.091016
A,0.086813
C,0.086813
A,0.090871
C,0.090871
A,0.082965
C,0.082965
A,0.083605
C,0.083605
A,0.089771
C,0.089771
A,0.084103
C,0.084103
A,0.087389
C,0.087389
A,0.084643
C,0.084643
A,0.075050
C,0.075050
A,0.086398
C,0.086398
A,0.087436
C,0.087436
A,0.086048
C,0.086048
A,0.097238
C,0.097238
A,0.096187
C,0.096187
A,0.087879
C,0.087879
A,0.088417
C,0.088417
A,0.082613
C,0.082613
A,0.087334
C,0.087334
A,0.089540
C,0.089540
A,0.092914
C,0.092914
A,0.085897
C,0.085897
A,0.093636
C,0.093636
A,0.090364
C,0.090364
A,0.087942
C,0.087942
A,0.101203
C,0.101203
A,0.078357
C,0.078357
A,0.082761
C,0.082761
A,0.079939
C,0.079939
A,0.089064
C,0.089064
A,0.091592
C,0.091592
A,0.096166
C,0.096166
A,0.093256
C,0.093256
A,0.081961
C,0.081961
A,0.090863
C,0.090863
A,0.082212
C,0.082212
A,0.087017
C,0.087017
A,0.089805
C,0.089805
A,0.086876
C,0.086876
A,0.088179
C,0.088179
A,0.087312
C,0.087312
A,0.090153
C,0.090153
A,0.086955
C,0.086955
A,0.095667
C,0.095667
A,0.091738
C,0.091738
A,0.084854
C,0.084854
A,0.095849
C,0.095849
A,0.086503
C,0.086503
A,0.089453
C,0.089453
A,0.089909
C,0.089909
A,0.086825
C,0.086825
A,0.088252
C,0.088252
A,0.083364
C,0.083364
A,0.082416
C,0.082416
A,0.088388
C,0.088388
A,0.082396
C,0.082396
A,0.093121
C,0.093121
A,0.088053
C,0.088053
A,0.086087
C,0.086087
A,0.089811
C,0.089811
A,0.086167
C,0.086167
A,0.088074
C,0.088074
A,0.087978
C,0.087978
A,0.082284
C,0.082284
A,0.082016
C,0.082016
A,0.087850
C,0.087850
A,0.095494
C,0.095494
A,0.086600
C,0.086600
A,0.091898
C,0.091898
A,0.076190
C,0.076190
A,0.086898
C,0.086898
A,0.077491
C,0.077491
A,0.083357
C,0.083357
A,0.082214
C,0.082214
A,0.084417
C,0.084417
A,0.070746
C,0.070746
A,0.086199
C,0.086199
A,0.094299
C,0.094299
A,0.091007
C,0.091007
A,0.086914
C,0.086914
A,0.086748
C,0.086748
A,0.094587
C,0.094587
A,0.099330
C,0.099330
A,0.079522
C,0.079522
A,0.089085
C,0.089085
A,0.091400
C,0.091400
A,0.087362
C,0.087362
A,0.091597
C,0.091597
A,0.094044
C,0.094044
A,0.087304
C,0.087304
A,0.088560
C,0.088560
A,0.082829
C,0.082829
A,0.085512
C,0.085512
A,0.093484
C,0.093484
A,0.082758
C,0.082758
A,0.076363
C,0.076363
A,0.090897
C,0.090897
A,0.086717
C,0.086717
A,0.084211
C,0.084211
A,0.091416
C,0.091416
A,0.085183
C,0.085183
A,0.078843
C,0.078843
A,0.093190
C,0.093190
A,0.082084
C,0.082084
A,0.079906
C,0.079906
A,0.085393
C,0.085393
A,0.081988
C,0.081988
A,0.092508
C,0.092508
A,0.082881
C,0.082881
A,0.085313
C,0.085313
A,0.080510
C,0.080510
A,0.088808
C,0.088808
A,0.091214
C,0.091214
A,0.086461
C,0.086461
A,0.084911
C,0.084911
A,0.090069
C,0.090069
A,0.080442
C,0.080442
A,0.078328
C,0.078328
A,0.089461
C,0.089461
A,0.090335
C,0.090335
A,0.089390
C,0.089390
A,0.086857
C,0.086857
A,0.079915
C,0.079915
A,0.076281
C,0.076281
A,0.087180
C,0.087180
A,0.085051
C,0.085051
A,0.087446
C,0.087446
A,0.083500
C,0.083500
A,0.090399
C,0.090399
A,0.081908
C,0.081908
A,0.085414
C,0.085414
A,0.077165
C,0.077165
A,0.081439
C,0.081439
A,0.087642
C,0.087642
A,0.090085
C,0.090085
A,0.087632
C,0.087632
A,0.092519
C,0.092519
A,0.089788
C,0.089788
A,0.093335
C,0.093335
A,0.086858
C,0.086858
A,0.084776
C,0.084776
A,0.075637
C,0.075637
A,0.081344
C,0.081344
A,0.085599
C,0.085599
A,0.086316
C,0.086316
A,0.083134
C,0.083134
A,0.092041
C,0.092041
A,0.093693
C,0.093693
A,0.085131
C,0.085131
A,0.086446
C,0.086446
A,0.084178
C,0.084178
A,0.085686
C,0.085686
A,0.087522
C,0.087522
A,0.085450
C,0.085450
A,0.088473
C,0.088473
A,0.091966
C,0.091966
A,0.081205
C,0.081205
A,0.085562
C,0.085562
A,0.085941
C,0.085941
A,0.080861
C,0.080861
A,0.092684
C,0.089363
A,0.086981
C,0.086981
A,0.083255
C,0.083255
A,0.085567
C,0.085567
A,0.086338
C,0.086338
A,0.088814
C,0.088814
A,0.084589
C,0.084589
A,0.084234
C,0.084234
A,0.077755
C,0.077755
A,0.083718
C,0.083718
A,0.094811
C,0.094811
A,0.083996
C,0.083996
A,0.087953
C,0.087953
A,0.089333
C,0.089333
A,0.084877
C,0.084877
A,0.089187
C,0.089187
A,0.088255
C,0.088255
A,0.089867
C,0.089867
A,0.090337
C,0.090337
A,0.080386
C,0.080386
A,0.086971
C,0.086971
A,0.081448
C,0.081448
A,0.084337
C,0.084337
A,0.074779
C,0.074779
