type,peak
A,0.073868
C,0.073868
A,0.081669
C,0.081669
A,0.071548
C,0.071548
A,0.056031
C,0.056031
A,0.093741
C,0.093741
A,0.079677
C,0.079677
A,0.082134
C,0.082134
A,0.074730
C,0.074730
A,0.082979
C,0.082979
A,0.068843
C,0.068843
A,0.084592
C,0.084592
A,0.067859
C,0.067859
A,0.084515
C,0.084515
A,0.062418
C,0.062418
A,0.056829
C,0.056829
A,0.069767
C,0.069767
A,0.098346
C,0.098346
A,0.081932
C,0.081932
A,0.085035
C,0.085035
A,0.064929
C,0.064929
A,0.075477
C,0.075477
A,0.067806
C,0.067806
A,0.075099
C,0.075099
A,0.077689
C,0.077689
A,0.077842
C,0.077842
A,0.071400
C,0.071400
A,0.074767
C,0.064210
A,0.066165
C,0.066165
A,0.078702
C,0.078702
A,0.074180
C,0.074180
A,0.080160
C,0.080160
A,0.072257
C,0.072257
A,0.076428
C,0.076428
A,0.079930
C,0.079930
A,0.070660
C,0.070660
A,0.063653
C,0.063653
A,0.064961
C,0.064961
A,0.073635
C,0.073635
A,0.063823
C,0.059678
A,0.066243
C,0.066243
A,0.089157
C,0.089157
A,0.064031
C,0.064031
A,0.084153
C,0.084153
A,0.051235
C,0.051235
A,0.077342
C,0.077342
A,0.071791
C,0.071791
A,0.085892
C,0.085892
A,0.067644
C,0.067644
A,0.082185
C,0.082185
A,0.062413
C,0.062413
A,0.076931
C,0.076931
A,0.061474
C,0.061474
A,0.071483
C,0.071483
A,0.066186
C,0.066186
A,0.071681
C,0.071681
A,0.067681
C,0.067681
A,0.080469
C,0.080469
A,0.072448
C,0.072448
A,0.077451
C,0.077451
A,0.062464
C,0.062464
A,0.072381
C,0.072381
A,0.075727
C,0.075727
A,0.080914
C,0.080914
A,0.059563
C,0.059563
A,0.071511
C,0.071511
A,0.077862
C,0.077862
A,0.090829
C,0.090829
A,0.064631
C,0.064631
A,0.092913
C,0.092913
A,0.063943
C,0.063943
A,0.074449
C,0.074449
A,0.070596
C,0.070596
A,0.076028
C,0.076028
A,0.062658
C,0.062658
A,0.086904
C,0.086904
A,0.064923
C,0.064923
A,0.079576
C,0.079576
A,0.064638
C,0.064638
A,0.069275
C,0.069275
A,0.057454
C,0.057454
A,0.070061
C,0.070061
A,0.067375
C,0.067375
A,0.090192
C,0.090192
A,0.061527
C,0.061527
A,0.072151
C,0.072151
A,0.073529
C,0.073529
A,0.088853
C,0.088853
A,0.060398
C,0.060398
A,0.070709
C,0.070709
A,0.070708
C,0.070708
A,0.068790
C,0.068790
A,0.055147
C,0.055147
A,0.067634
C,0.067634
A,0.055132
C,0.055132
A,0.077899
C,0.077899
A,0.080203
C,0.080203
A,0.065441
C,0.065441
A,0.065862
C,0.065862
A,0.094168
C,0.094168
A,0.049043
C,0.049043
A,0.093015
C,0.093015
A,0.064661
C,0.064661
A,0.077622
C,0.077622
A,0.058301
C,0.058301
A,0.075133
C,0.075133
A,0.071800
C,0.071800
A,0.081354
C,0.081354
A,0.060760
C,0.060760
A,0.078348
C,0.078348
A,0.065005
C,0.065005
A,0.077449
C,0.077449
A,0.065506
C,0.065506
A,0.075960
C,0.075960
A,0.066137
C,0.066137
A,0.077042
C,0.077042
A,0.062018
C,0.062018
A,0.065659
C,0.065659
A,0.068196
C,0.068196
A,0.065726
C,0.065726
A,0.063212
C,0.063212
A,0.063336
C,0.063336
A,0.071807
C,0.071807
A,0.077236
C,0.077236
A,0.066148
C,0.066148
A,0.074776
C,0.074776
A,0.071708
C,0.071708
A,0.090168
C,0.090168
A,0.059269
C,0.059269
A,0.077936
C,0.077936
A,0.059772
C,0.059772
A,0.082712
C,0.082712
A,0.069816
C,0.069816
A,0.090754
C,0.090754
A,0.065205
C,0.065205
A,0.084351
C,0.084351
A,0.069346
C,0.069346
A,0.060224
C,0.060224
A,0.076059
C,0.076059
A,0.072419
C,0.072419
A,0.069238
C,0.069238
A,0.066161
C,0.066161
A,0.062747
C,0.062747
A,0.083929
C,0.083929
A,0.072101
C,0.072101
A,0.074302
C,0.074302
A,0.075055
C,0.075055
A,0.072067
C,0.072067
A,0.066489
C,0.066489
A,0.080047
C,0.080047
A,0.077934
C,0.077934
A,0.068758
C,0.068758
A,0.063725
C,0.063725
A,0.065658
C,0.065658
A,0.097177
C,0.097177
A,0.078102
C,0.078102
A,0.069244
C,0.069244
A,0.060321
C,0.060321
A,0.069359
C,0.069359
A,0.071651
C,0.071651
A,0.062244
C,0.062244
A,0.075097
C,0.075097
A,0.068343
C,0.068343
A,0.092447
C,0.092447
A,0.079531
C,0.079531
A,0.073190
C,0.073190
A,0.074440
C,0.074440
A,0.072358
C,0.072358
A,0.073086
C,0.073086
A,0.083389
C,0.083389
A,0.061313
C,0.061313
A,0.071070
C,0.071070
A,0.083513
C,0.083513
A,0.091080
C,0.091080
A,0.091681
C,0.091681
A,0.075946
C,0.075946
A,0.061383
C,0.061383
A,0.078543
C,0.078543
A,0.083793
C,0.083793
A,0.084774
C,0.084774
A,0.077027
C,0.077027
A,0.089359
C,0.089359
A,0.066194
C,0.066194
A,0.068409
C,0.068409
A,0.071364
C,0.071364
A,0.081301
C,0.081301
A,0.076554
C,0.076554
A,0.085719
C,0.085719
A,0.078025
C,0.078025
A,0.086375
C,0.086375
A,0.074995
C,0.074995
A,0.069476
C,0.069476
A,0.080113
C,0.080113
A,0.085331
C,0.085331
A,0.073710
C,0.073710
A,0.079904
C,0.079904
A,0.069346
C,0.069346
A,0.080290
C,0.080290
A,0.074393
C,0.074393
A,0.068438
C,0.068438
A,0.070319
C,0.070319
A,0.083967
C,0.083967
A,0.063031
C,0.063031
A,0.071386
C,0.071386
A,0.079107
C,0.079107
A,0.096097
C,0.096097
A,0.066491
C,0.066491
A,0.078477
C,0.078477
A,0.082033
C,0.082033
A,0.070581
C,0.070581
A,0.069136
C,0.069136
A,0.069855
C,0.069855
A,0.080809
C,0.080809
A,0.091365
C,0.091365
A,0.068540
C,0.068540
A,0.077940
C,0.077940
A,0.070243
C,0.070243
A,0.088342
C,0.088342
A,0.077632
C,0.077632
A,0.077609
C,0.064151
A,0.085198
C,0.085198
A,0.065265
C,0.065265
A,0.075886
C,0.075886
A,0.072388
C,0.072388
A,0.069924
C,0.069924
A,0.074452
C,0.074452
A,0.060969
C,0.060969
A,0.061963
C,0.061963
A,0.053148
C,0.053148
A,0.076784
C,0.076784
A,0.072025
C,0.072025
A,0.057495
C,0.057495
A,0.076878
C,0.076878
A,0.082326
C,0.082326
A,0.067881
C,0.067881
A,0.069289
C,0.069289
A,0.080457
C,0.080457
A,0.073606
C,0.073606
A,0.066543
C,0.066543
A,0.074721
C,0.073197
A,0.092397
C,0.092397
A,0.083319
C,0.083319
A,0.059345
C,0.059345
A,0.076805
C,0.076805
A,0.087056
C,0.087056
A,0.064711
C,0.064711
A,0.062758
C,0.062758
A,0.070138
C,0.070138
A,0.086774
C,0.086774
A,0.075685
C,0.075685
A,0.072048
C,0.072048
A,0.066968
C,0.066968
A,0.082525
C,0.082525
A,0.082553
C,0.082553
A,0.071322
C,0.071322
A,0.082235
C,0.082235
A,0.061644
C,0.061644
A,0.064220
C,0.064220
A,0.064266
C,0.064266
A,0.068072
C,0.068072
A,0.080093
C,0.080093
A,0.068630
C,0.068630
A,0.079288
C,0.079288
A,0.076929
C,0.076929
A,0.065284
C,0.065284
A,0.071811
C,0.071811
A,0.059201
C,0.059201
A,0.072748
C,0.072748
A,0.086107
C,0.086107
A,0.075226
C,0.075226
A,0.071384
C,0.071384
A,0.077218
C,0.077218
A,0.069824
C,0.069824
A,0.067509
C,0.067509
A,0.070123
C,0.070123
A,0.079437
C,0.079437
A,0.076455
C,0.076455
A,0.066638
C,0.066638
A,0.055646
C,0.055646
A,0.073661
C,0.073661
A,0.064826
C,0.064826
A,0.068933
