type,peak
A,0.063850
C,0.063850
A,0.035287
C,0.035287
A,0.053992
C,0.053992
A,0.045390
C,0.045390
A,0.052649
C,0.052649
A,0.035998
C,0.035998
A,0.059424
C,0.059424
A,0.052845
C,0.047290
A,0.066523
C,0.066523
A,0.032247
C,0.031560
A,0.059714
C,0.059714
A,0.058247
C,0.058247
A,0.054143
C,0.054143
A,0.043615
C,0.043615
A,0.074196
C,0.074196
A,0.059793
C,0.059793
A,0.070982
C,0.070982
A,0.052623
C,0.052623
A,0.065033
C,0.065033
A,0.055127
C,0.055127
A,0.075519
C,0.075519
A,0.049277
C,0.049277
A,0.069525
C,0.069525
A,0.055867
C,0.055867
A,0.065831
C,0.065831
A,0.041606
C,0.041606
A,0.059080
C,0.059080
A,0.062569
C,0.062569
A,0.052138
C,0.052138
A,0.054729
C,0.054729
A,0.065294
C,0.065294
A,0.054392
C,0.054392
A,0.071752
C,0.071752
A,0.048812
C,0.048812
A,0.056877
C,0.056877
A,0.047697
C,0.047697
A,0.055906
C,0.055906
A,0.039990
C,0.039990
A,0.050866
C,0.050866
A,0.050091
C,0.050091
A,0.058569
C,0.058569
A,0.054366
C,0.054366
A,0.051230
C,0.051230
A,0.051287
C,0.051287
A,0.051678
C,0.051678
A,0.052082
C,0.052082
A,0.057402
C,0.057402
A,0.047116
C,0.047116
A,0.060938
C,0.060938
A,0.032003
C,0.032003
A,0.043861
C,0.043861
A,0.034080
C,0.031698
A,0.056532
C,0.056532
A,0.049547
C,0.049547
A,0.058973
C,0.058973
A,0.050114
C,0.050114
A,0.050251
C,0.050251
A,0.040819
C,0.040819
A,0.053591
C,0.053591
A,0.050818
C,0.050818
A,0.059843
C,0.059843
A,0.042850
C,0.042850
A,0.056450
C,0.056450
A,0.040342
C,0.040342
A,0.068621
C,0.068621
A,0.040340
C,0.040340
A,0.048931
C,0.048931
A,0.057093
C,0.057093
A,0.047440
C,0.047440
A,0.039040
C,0.039040
A,0.059356
C,0.059356
A,0.044722
C,0.044722
A,0.052365
C,0.052365
A,0.049179
C,0.049179
A,0.059957
C,0.059957
A,0.045610
C,0.045610
A,0.050524
C,0.050524
A,0.045091
C,0.045091
A,0.057428
C,0.057428
A,0.051142
C,0.051142
A,0.053534
C,0.053534
A,0.035560
C,0.035560
A,0.063725
C,0.063725
A,0.064635
C,0.064635
A,0.054703
C,0.054703
A,0.046382
C,0.046382
A,0.060266
C,0.060266
A,0.051867
C,0.051867
A,0.069149
C,0.069149
A,0.035186
C,0.035186
A,0.045806
C,0.045806
A,0.048384
C,0.048384
A,0.055871
C,0.055871
A,0.039363
C,0.039363
A,0.055511
C,0.055511
A,0.052153
C,0.052153
A,0.065727
C,0.065727
A,0.054073
C,0.054073
A,0.063672
C,0.063672
A,0.053198
C,0.053198
A,0.062795
C,0.062795
A,0.029845
C,0.029845
A,0.047531
C,0.047531
A,0.038013
C,0.038013
A,0.050325
C,0.050325
A,0.034854
C,0.034236
A,0.060806
C,0.060806
A,0.038662
C,0.038662
A,0.049174
C,0.049174
A,0.035495
C,0.035495
A,0.047504
C,0.047504
A,0.038825
C,0.038825
A,0.054144
C,0.054144
A,0.040032
C,0.040032
A,0.049979
C,0.049979
A,0.066883
C,0.066883
A,0.061472
C,0.061472
A,0.043864
C,0.043864
A,0.040496
C,0.040319
A,0.048030
C,0.048030
A,0.060182
C,0.060182
A,0.050364
C,0.050364
A,0.067329
C,0.067329
A,0.066933
C,0.066933
A,0.069315
C,0.069315
A,0.043507
C,0.043507
A,0.067955
C,0.067955
A,0.041688
C,0.041688
A,0.061158
C,0.061158
A,0.024819
C,0.024819
A,0.050742
C,0.050742
A,0.041892
C,0.041892
A,0.061220
C,0.061220
A,0.033478
C,0.033478
A,0.053686
C,0.053686
A,0.040770
C,0.040770
A,0.043464
C,0.043464
A,0.037128
C,0.037128
A,0.050455
C,0.050455
A,0.059404
C,0.059404
A,0.063941
C,0.063941
A,0.040507
C,0.040507
A,0.061552
C,0.061552
A,0.043003
C,0.043003
A,0.054338
C,0.054338
A,0.048993
C,0.048993
A,0.065795
C,0.065795
A,0.053644
C,0.053644
A,0.049243
C,0.049243
A,0.046143
C,0.046143
A,0.054609
C,0.054609
A,0.056562
C,0.056562
A,0.050821
C,0.050821
A,0.040963
C,0.040963
A,0.047125
C,0.047125
A,0.053532
