type,peak
A,0.070378
C,0.070378
A,0.065247
C,0.065247
A,0.062055
C,0.062055
A,0.062904
C,0.062904
A,0.060838
C,0.060838
A,0.057964
C,0.057964
A,0.056930
C,0.056930
A,0.056757
C,0.056757
A,0.063375
C,0.063375
A,0.058760
C,0.058760
A,0.062406
C,0.062406
A,0.061877
C,0.061877
A,0.066871
C,0.066871
A,0.071801
C,0.071801
A,0.070750
C,0.070750
A,0.063179
C,0.063179
A,0.071392
C,0.071392
A,0.066057
C,0.066057
A,0.071251
C,0.071251
A,0.070015
C,0.070015
A,0.064939
C,0.064939
A,0.070534
C,0.070534
A,0.072526
C,0.072526
A,0.075802
C,0.075802
A,0.070221
C,0.070221
A,0.063512
C,0.063512
A,0.056218
C,0.056218
A,0.063139
C,0.063139
A,0.069770
C,0.069770
A,0.069316
C,0.069316
A,0.067120
C,0.067120
A,0.063760
C,0.063760
A,0.072803
C,0.072803
A,0.067406
C,0.067406
A,0.057964
C,0.057964
A,0.064590
C,0.064590
A,0.051263
C,0.051263
A,0.066799
C,0.066799
A,0.058946
C,0.058946
A,0.063211
C,0.063211
A,0.067773
C,0.067773
A,0.054087
C,0.054087
A,0.062271
C,0.062271
A,0.057181
C,0.057181
A,0.048549
C,0.048549
A,0.070555
C,0.070555
A,0.062778
C,0.062778
A,0.058366
C,0.058366
A,0.063191
C,0.063191
A,0.062069
C,0.062069
A,0.069923
C,0.069923
A,0.055893
C,0.055893
A,0.068991
C,0.068991
A,0.065632
C,0.065632
A,0.071399
C,0.071399
A,0.053868
C,0.053868
A,0.064916
C,0.064916
A,0.072813
C,0.072813
A,0.066113
C,0.066113
A,0.065068
C,0.065068
A,0.063810
C,0.063810
A,0.067635
C,0.067635
A,0.069069
C,0.069069
A,0.064036
C,0.064036
A,0.065152
C,0.065152
A,0.076077
C,0.076077
A,0.069693
C,0.069693
A,0.065417
C,0.065417
A,0.061117
C,0.061117
A,0.055941
C,0.055941
A,0.068504
C,0.068504
A,0.069049
C,0.069049
A,0.070652
C,0.070652
A,0.070358
C,0.070358
A,0.062956
C,0.062956
A,0.061104
C,0.061104
A,0.060681
C,0.060681
A,0.060355
C,0.060355
A,0.063309
C,0.063309
A,0.047343
C,0.047343
A,0.048102
C,0.048102
A,0.062144
C,0.062144
A,0.070879
C,0.070879
A,0.060869
C,0.060869
A,0.067979
C,0.067979
A,0.052129
C,0.052129
A,0.055258
C,0.055258
A,0.075295
C,0.075295
A,0.060782
C,0.060782
A,0.055978
C,0.055978
A,0.057039
C,0.057039
A,0.056947
C,0.056947
A,0.065483
C,0.065483
A,0.073004
C,0.073004
A,0.063236
C,0.063236
A,0.056685
C,0.056685
A,0.055723
C,0.055723
A,0.069712
C,0.069712
A,0.067270
C,0.067270
A,0.058277
C,0.058277
A,0.076598
C,0.076598
A,0.066990
C,0.066990
A,0.067563
C,0.067563
A,0.063453
C,0.063453
A,0.068332
C,0.068332
A,0.063383
C,0.063383
A,0.075017
C,0.075017
A,0.064600
C,0.064600
A,0.065421
C,0.065421
A,0.063567
C,0.063567
A,0.073363
C,0.073363
A,0.061950
C,0.061950
A,0.068720
C,0.068720
A,0.075968
C,0.075968
A,0.063299
C,0.063299
A,0.061814
C,0.061814
A,0.063345
C,0.063345
A,0.065471
C,0.065471
A,0.067732
C,0.067732
A,0.059254
C,0.059254
A,0.057499
C,0.057499
A,0.051211
C,0.051211
A,0.069695
C,0.069695
A,0.062769
C,0.062769
A,0.057724
C,0.057724
A,0.062682
C,0.062682
A,0.055617
C,0.055617
A,0.064386
C,0.064386
A,0.057318
C,0.057318
A,0.058824
C,0.058824
A,0.063370
C,0.063370
A,0.063356
C,0.063356
A,0.062502
C,0.062502
A,0.064961
C,0.064961
A,0.066288
C,0.066288
A,0.056367
C,0.056367
A,0.059683
C,0.059683
A,0.071839
C,0.071839
A,0.066340
C,0.066340
A,0.063116
C,0.063116
A,0.043955
C,0.043955
A,0.074669
C,0.074669
A,0.068774
