TIC,TOC
1.925033,2.049824
2.175012,2.299803
2.424970,2.549761
2.674950,2.799741
2.924929,3.049719
3.174908,3.299699
3.424888,3.549678
3.674867,3.799656
3.924845,4.049615
4.174804,4.299594
4.424783,4.549574
4.674762,4.799553
4.924720,5.049511
5.174721,5.299491
5.424678,5.549469
5.674658,5.799448
5.924637,6.049428
6.174616,6.299407
6.424595,6.549366
6.674554,6.799345
6.924533,7.049323
7.174512,7.299303
7.424492,7.549282
7.674471,7.799260
7.924449,8.049240
8.174429,8.299219
8.424408,8.549199
8.674387,8.799179
8.924345,9.049136
9.174344,9.299116
9.424303,9.549095
9.674283,9.799073
9.924262,10.049053
10.174240,10.299033
10.424220,10.549010
10.674199,10.798990
10.924179,11.048970
11.174157,11.298949
11.424136,11.548928
11.674116,11.798907
11.924095,12.048886
12.174075,12.298866
12.424054,12.548845
12.674032,12.798824
12.924012,13.048782
13.173992,13.298782
13.423970,13.548760
13.673929,13.798720
13.923929,14.048720
14.173907,14.298678
14.423887,14.548658
14.673846,14.798637
14.923824,15.048616
15.173805,15.298594
15.423783,15.548573
15.673761,15.798553
15.923741,16.048511
16.173700,16.298490
16.423700,16.548490
16.673679,16.798449
16.923658,17.048429
17.173616,17.298407
17.423616,17.548407
17.673596,17.798386
17.923575,18.048365
18.173554,18.298323
18.423512,18.548303
18.673491,18.798282
18.923471,19.048262
19.173450,19.298241
19.423429,19.548218
19.673409,19.798199
19.923387,
