TIC,TOC
1.925033,2.049824
2.175012,2.299803
2.424991,2.549760
2.674970,2.799741
2.924949,3.049720
3.174929,3.299699
3.424908,3.549677
3.674886,3.799657
3.924845,4.049636
4.174824,4.299594
4.424803,4.549574
4.674783,4.799553
4.924741,5.049532
5.174719,5.299490
5.424700,5.549469
5.674679,5.799449
5.924658,6.049428
6.174637,6.299407
6.424595,6.549386
6.674575,6.799344
6.924553,7.049324
7.174513,7.299303
7.424491,7.549282
7.674470,7.799262
7.924450,8.049240
8.174428,8.299199
8.424408,8.549179
8.674366,8.799157
8.924345,9.049136
9.174324,9.299116
9.424304,9.549073
9.674283,9.799053
9.924262,10.049033
10.174241,10.299010
10.424200,10.548990
10.674179,10.798969
10.924158,11.048949
11.174138,11.298928
11.424116,11.548907
11.674096,11.798886
11.924075,12.048845
12.174054,12.298824
12.424032,12.548803
12.674012,12.798782
12.923970,13.048761
13.173949,13.298741
13.423929,13.548699
13.673908,13.798678
13.923887,14.048657
14.173867,14.298636
14.423846,14.548616
14.673825,14.798595
14.923804,15.048574
15.173783,15.298574
15.423761,15.548553
15.673741,15.798511
15.923721,16.048490
16.173700,16.298491
16.423678,16.548470
16.673657,16.798449
16.923637,17.048427
17.173616,17.298407
17.423596,17.548366
17.673575,17.798345
17.923554,18.048324
18.173533,18.298303
18.423491,
