type,peak
A,0.501920
C,0.501920
A,0.533124
C,0.533124
A,0.500861
C,0.500861
A,0.533720
C,0.533720
A,0.500767
C,0.500767
A,0.532722
C,0.532722
A,0.499873
C,0.499873
A,0.532985
C,0.532985
A,0.500816
C,0.500816
A,0.534955
C,0.534955
A,0.501564
C,0.501564
A,0.534613
C,0.534613
A,0.500005
C,0.500005
A,0.532943
C,0.532943
A,0.500345
C,0.500345
A,0.533100
C,0.533100
A,0.500477
C,0.500477
A,0.534882
C,0.534882
A,0.501383
C,0.501383
A,0.532101
C,0.532101
A,0.502528
C,0.502528
A,0.535055
C,0.535055
A,0.501312
C,0.501312
A,0.534068
C,0.534068
A,0.503013
C,0.503013
A,0.531927
C,0.531927
A,0.500630
C,0.500630
A,0.533777
C,0.533777
A,0.502267
C,0.502267
A,0.531705
C,0.531705
A,0.501625
C,0.501625
A,0.531972
C,0.531972
A,0.502385
C,0.502385
A,0.533004
C,0.533004
A,0.499587
C,0.499587
A,0.532737
C,0.532737
A,0.501168
C,0.501168
A,0.531860
C,0.531860
A,0.503055
C,0.503055
A,0.534004
C,0.534004
A,0.499491
C,0.499491
A,0.534462
C,0.534462
A,0.500165
C,0.500165
A,0.532842
C,0.532842
A,0.500835
C,0.500835
A,0.532553
C,0.532553
A,0.500953
C,0.500953
A,0.533412
C,0.533412
A,0.500701
C,0.500701
A,0.533067
C,0.533067
A,0.502675
C,0.502675
A,0.533460
C,0.533460
A,0.499451
C,0.499451
A,0.533221
C,0.533221
A,0.501081
C,0.501081
A,0.533994
C,0.533994
A,0.500389
C,0.500389
A,0.532405
C,0.532405
A,0.502557
C,0.502557
A,0.533473
C,0.533473
A,0.500901
C,0.500901
A,0.532914
C,0.532914
A,0.502523
C,0.502523
A,0.535515
C,0.535515
A,0.502856
C,0.502856
A,0.533158
C,0.533158
A,0.502884
C,0.502884
A,0.533202
C,0.533202
A,0.500398
C,0.500398
A,0.533467
C,0.533467
A,0.501877
C,0.501877
A,0.532093
C,0.532093
A,0.500040
C,0.500040
A,0.534091
C,0.534091
A,0.501116
C,0.501116
A,0.530571
C,0.530571
A,0.501321
C,0.501321
A,0.533721
C,0.533721
A,0.501150
C,0.501150
A,0.532265
C,0.532265
A,0.504556
C,0.504556
A,0.531493
C,0.531493
A,0.502025
C,0.502025
A,0.533743
C,0.533743
A,0.502028
C,0.502028
A,0.530220
C,0.530220
A,0.500568
C,0.500568
A,0.533891
C,0.533891
A,0.502038
C,0.502038
A,0.532422
C,0.532422
A,0.500100
C,0.500100
A,0.533223
C,0.533223
A,0.501147
C,0.501147
A,0.534899
C,0.534899
A,0.501780
C,0.501780
A,0.532261
C,0.532261
A,0.500507
C,0.500507
A,0.532894
C,0.532894
A,0.501946
C,0.501946
A,0.533056
C,0.533056
A,0.498867
C,0.498867
A,0.532769
C,0.532769
A,0.499621
C,0.499621
A,0.534104
C,0.534104
A,0.499082
C,0.499082
A,0.533414
C,0.533414
A,0.501264
C,0.501264
A,0.532568
C,0.532568
A,0.500425
C,0.500425
A,0.532588
C,0.532588
A,0.500817
C,0.500817
A,0.533414
C,0.533414
A,0.499662
C,0.499662
A,0.534200
C,0.534200
A,0.500430
C,0.500430
A,0.533851
C,0.533851
A,0.499730
C,0.499730
A,0.533786
C,0.533786
A,0.501005
C,0.501005
A,0.531903
C,0.531903
A,0.501443
C,0.501443
A,0.532162
C,0.532162
A,0.501002
C,0.501002
A,0.533781
C,0.533781
A,0.500377
C,0.500377
A,0.533367
C,0.533367
A,0.501227
C,0.501227
A,0.531943
C,0.531943
A,0.502101
C,0.502101
A,0.533569
C,0.533569
A,0.501349
C,0.501349
A,0.531788
C,0.531788
A,0.500414
C,0.500414
A,0.531524
C,0.531524
A,0.501773
C,0.501773
A,0.534708
C,0.534708
A,0.501546
C,0.501546
A,0.532047
C,0.532047
A,0.501371
C,0.501371
A,0.533712
C,0.533712
A,0.499914
C,0.499914
A,0.532892
C,0.532892
A,0.500790
C,0.500790
A,0.532547
C,0.532547
A,0.502699
C,0.502699
A,0.533652
C,0.533652
A,0.499391
C,0.499391
A,0.533765
C,0.533765
A,0.503533
C,0.503533
A,0.535510
C,0.535510
A,0.500934
C,0.500934
