type,peak
A,0.474871
C,0.474871
A,0.506253
C,0.506253
A,0.475372
C,0.475372
A,0.506624
C,0.506624
A,0.473658
C,0.473658
A,0.505869
C,0.505869
A,0.474867
C,0.474867
A,0.504061
C,0.504061
A,0.476513
C,0.476513
A,0.507965
C,0.507965
A,0.476989
C,0.476989
A,0.508625
C,0.508625
A,0.474925
C,0.474925
A,0.505417
C,0.505417
A,0.476630
C,0.476630
A,0.505107
C,0.505107
A,0.475562
C,0.475562
A,0.504884
C,0.504884
A,0.475677
C,0.475677
A,0.504946
C,0.504946
A,0.475906
C,0.475906
A,0.506126
C,0.506126
A,0.475971
C,0.475971
A,0.507282
C,0.507282
A,0.475182
C,0.475182
A,0.506163
C,0.506163
A,0.474674
C,0.474674
A,0.506058
C,0.506058
A,0.475384
C,0.475384
A,0.506791
C,0.506791
A,0.475951
C,0.475951
A,0.505791
C,0.505791
A,0.474371
C,0.474371
A,0.505388
C,0.505388
A,0.475579
C,0.475579
A,0.506163
C,0.506163
A,0.475338
C,0.475338
A,0.505623
C,0.505623
A,0.476481
C,0.476481
A,0.504637
C,0.504637
A,0.476328
C,0.476328
A,0.504803
C,0.504803
A,0.477162
C,0.477162
A,0.505632
C,0.505632
A,0.475095
C,0.475095
A,0.506088
C,0.506088
A,0.475082
C,0.475082
A,0.507285
C,0.507285
A,0.475081
C,0.475081
A,0.505511
C,0.505511
A,0.475287
C,0.475287
A,0.506888
C,0.506888
A,0.474010
C,0.474010
A,0.505143
C,0.505143
A,0.474372
C,0.474372
A,0.505798
C,0.505798
A,0.475376
C,0.475376
A,0.505503
C,0.505503
A,0.474889
C,0.474889
A,0.506802
C,0.506802
A,0.476072
C,0.476072
A,0.505400
C,0.505400
A,0.474890
C,0.474890
A,0.505679
C,0.505679
A,0.475376
C,0.475376
A,0.506036
C,0.506036
A,0.477189
C,0.477189
A,0.505476
C,0.505476
A,0.475241
C,0.475241
A,0.507127
C,0.507127
A,0.477204
C,0.477204
A,0.506219
C,0.506219
A,0.474526
C,0.474526
A,0.506235
C,0.506235
A,0.475430
C,0.475430
A,0.505175
C,0.505175
A,0.474435
C,0.474435
A,0.506882
C,0.506882
A,0.475566
C,0.475566
A,0.504480
C,0.504480
A,0.475311
C,0.475311
A,0.506170
C,0.506170
A,0.474768
C,0.474768
A,0.507085
C,0.507085
A,0.476393
C,0.476393
A,0.505359
C,0.505359
A,0.474989
C,0.474989
A,0.505640
C,0.505640
A,0.474545
C,0.474545
A,0.506369
C,0.506369
A,0.474879
C,0.474879
A,0.506088
C,0.506088
A,0.476056
C,0.476056
A,0.507324
C,0.507324
A,0.476987
C,0.476987
A,0.504449
C,0.504449
A,0.476039
C,0.476039
A,0.505998
C,0.505998
A,0.475763
C,0.475763
A,0.505842
C,0.505842
A,0.474796
C,0.474796
A,0.508746
C,0.508746
A,0.476181
C,0.476181
A,0.505898
C,0.505898
A,0.474412
C,0.474412
A,0.505802
C,0.505802
A,0.475956
C,0.475956
A,0.506065
C,0.506065
A,0.475108
C,0.475108
A,0.504621
C,0.504621
A,0.475162
C,0.475162
A,0.507740
C,0.507740
A,0.474317
C,0.474317
A,0.505893
C,0.505893
A,0.475174
C,0.475174
A,0.505970
C,0.505970
A,0.475203
C,0.475203
A,0.505285
C,0.505285
A,0.474124
C,0.474124
A,0.506087
C,0.506087
A,0.476553
C,0.476553
A,0.506747
C,0.506747
A,0.474681
C,0.474681
A,0.505585
C,0.505585
A,0.475408
C,0.475408
A,0.504843
C,0.504843
A,0.477262
C,0.477262
A,0.506076
C,0.506076
A,0.474621
C,0.474621
A,0.506289
C,0.506289
A,0.474957
C,0.474957
A,0.505174
C,0.505174
A,0.475487
C,0.475487
A,0.506095
C,0.506095
A,0.475012
C,0.475012
A,0.505691
C,0.505691
A,0.475719
C,0.475719
A,0.505428
C,0.505428
A,0.474988
C,0.474988
A,0.505310
C,0.505310
A,0.473442
C,0.473442
A,0.505773
C,0.505773
A,0.476760
C,0.476760
A,0.506605
C,0.506605
A,0.476742
C,0.476742
