TIC,TOC
1.927678,2.049802
2.177657,2.299782
2.427635,2.549761
2.677595,2.799719
2.927574,3.049699
3.177553,3.299657
3.427512,3.549636
3.677490,3.799616
3.927449,4.049574
4.177428,4.299552
4.427406,4.549532
4.677387,4.799511
4.927345,5.049469
5.177324,5.299448
5.427282,5.549407
5.677262,5.799386
5.927241,6.049365
6.177220,6.299344
6.427199,6.549324
6.677157,6.799282
6.927136,7.049261
7.177116,7.299240
7.427095,7.549219
7.677053,7.799178
7.927033,8.049157
8.177012,8.299135
8.426970,8.549094
8.676950,8.799074
8.926929,9.049052
9.176887,9.299032
9.426865,9.548990
9.676845,9.798969
9.926824,10.048949
10.176803,10.298927
10.426761,10.548886
10.676741,10.798864
10.926720,11.048823
11.176678,11.298803
11.426658,11.548782
11.676637,11.798761
11.926616,12.048740
12.176574,12.298699
12.426553,12.548677
12.676533,12.798657
12.926511,13.048636
13.176470,13.298594
13.426449,13.548573
13.676428,13.798553
13.926408,14.048532
14.176366,14.298491
14.426345,14.548469
14.676324,14.798448
14.926304,15.048407
15.176262,15.298386
15.426240,15.548365
15.676220,15.798344
15.926199,16.048323
16.176157,16.298282
16.426137,16.548260
16.676115,16.798239
16.926095,17.048198
17.176053,17.298177
17.426032,17.548156
17.676012,17.798135
17.925970,18.048094
18.175949,18.298073
18.425928,18.548032
18.675886,18.798011
18.925866,19.047989
19.175824,19.297969
19.425804,19.547928
19.675783,19.797906
19.925762,20.047885
20.175741,20.297865
20.425720,20.547844
