type,peak
A,0.504096
C,0.504096
A,0.534021
C,0.534021
A,0.501948
C,0.501948
A,0.535962
C,0.535962
A,0.502926
C,0.502926
A,0.535028
C,0.535028
A,0.503604
C,0.503604
A,0.535951
C,0.535951
A,0.502797
C,0.502797
A,0.532772
C,0.532772
A,0.501578
C,0.501578
A,0.534196
C,0.534196
A,0.502937
C,0.502937
A,0.534135
C,0.534135
A,0.503599
C,0.503599
A,0.533551
C,0.533551
A,0.500802
C,0.500802
A,0.532370
C,0.532370
A,0.502543
C,0.502543
A,0.533894
C,0.533894
A,0.503301
C,0.503301
A,0.532052
C,0.532052
A,0.502769
C,0.502769
A,0.532555
C,0.532555
A,0.503765
C,0.503765
A,0.532664
C,0.532664
A,0.502886
C,0.502886
A,0.534571
C,0.534571
A,0.504605
C,0.504605
A,0.535119
C,0.535119
A,0.501092
C,0.501092
A,0.535712
C,0.535712
A,0.503096
C,0.503096
A,0.534179
C,0.534179
A,0.501817
C,0.501817
A,0.534401
C,0.534401
A,0.500475
C,0.500475
A,0.534051
C,0.534051
A,0.503287
C,0.503287
A,0.534999
C,0.534999
A,0.501882
C,0.501882
A,0.535245
C,0.535245
A,0.504691
C,0.504691
A,0.535067
C,0.535067
A,0.502007
C,0.502007
A,0.534808
C,0.534808
A,0.501945
C,0.501945
A,0.534416
C,0.534416
A,0.502178
C,0.502178
A,0.533848
C,0.533848
A,0.503547
C,0.503547
A,0.535543
C,0.535543
A,0.504379
C,0.504379
A,0.534352
C,0.534352
A,0.503094
C,0.503094
A,0.533273
C,0.533273
A,0.503712
C,0.503712
A,0.533913
C,0.533913
A,0.501725
C,0.501725
A,0.533435
C,0.533435
A,0.504148
C,0.504148
A,0.533896
C,0.533896
A,0.503762
C,0.503762
A,0.534810
C,0.534810
A,0.501263
C,0.501263
A,0.533177
C,0.533177
A,0.504369
C,0.504369
A,0.533846
C,0.533846
A,0.505232
C,0.505232
A,0.534921
C,0.534921
A,0.503444
C,0.503444
A,0.532396
C,0.532396
A,0.502921
C,0.502921
A,0.534667
C,0.534667
A,0.503419
C,0.503419
A,0.534457
C,0.534457
A,0.502293
C,0.502293
A,0.535357
C,0.535357
A,0.502601
C,0.502601
A,0.536066
C,0.536066
A,0.502938
C,0.502938
A,0.533041
C,0.533041
A,0.503071
C,0.503071
A,0.535209
C,0.535209
A,0.502939
C,0.502939
A,0.536758
C,0.536758
A,0.503071
C,0.503071
A,0.534793
C,0.534793
A,0.501636
C,0.501636
A,0.534792
C,0.534792
A,0.503550
C,0.503550
A,0.535706
C,0.535706
A,0.503488
C,0.503488
A,0.534193
C,0.534193
A,0.503000
C,0.503000
A,0.533725
C,0.533725
A,0.501127
C,0.501127
A,0.535089
C,0.535089
A,0.502034
C,0.502034
A,0.536234
C,0.536234
A,0.506011
C,0.506011
A,0.535650
C,0.535650
A,0.501288
C,0.501288
A,0.533618
C,0.533618
A,0.501847
C,0.501847
A,0.534915
C,0.534915
A,0.502176
C,0.502176
A,0.534605
C,0.534605
A,0.501265
C,0.501265
A,0.534609
C,0.534609
A,0.503532
C,0.503532
A,0.536003
C,0.536003
A,0.502343
C,0.502343
A,0.533441
C,0.533441
A,0.499014
C,0.499014
A,0.534964
C,0.534964
A,0.503938
C,0.503938
A,0.535466
C,0.535466
A,0.504502
C,0.504502
A,0.536242
C,0.536242
A,0.503311
C,0.503311
A,0.534630
C,0.534630
A,0.500794
C,0.500794
A,0.535938
C,0.535938
A,0.505273
C,0.505273
A,0.535385
C,0.535385
A,0.502395
C,0.502395
A,0.535077
C,0.535077
A,0.501963
C,0.501963
A,0.533892
C,0.533892
A,0.502761
C,0.502761
A,0.536289
C,0.536289
A,0.500886
C,0.500886
A,0.533998
C,0.533998
A,0.503402
C,0.503402
A,0.532457
C,0.532457
A,0.503695
C,0.503695
A,0.535538
C,0.535538
A,0.503404
C,0.503404
A,0.532935
C,0.532935
A,0.502188
C,0.502188
A,0.536538
C,0.536538
A,0.502236
C,0.502236
A,0.533283
C,0.533283
A,0.503638
C,0.503638
A,0.532815
C,0.532815
A,0.501067
C,0.501067
