TIC,TOC
0.000000,0.334742
0.271303,0.605650
0.541465,0.855813
0.793029,1.126460
1.062852,1.397146
1.312811,1.646748
1.563248,1.897010
1.833706,2.168302
2.083586,2.418380
2.354720,2.689420
2.605343,2.939119
2.875701,3.209400
3.125456,3.460295
3.396539,3.730273
3.646607,3.980140
3.917542,4.229912
4.166194,4.500417
4.438323,4.772111
4.688615,5.022548
4.938172,5.272494
5.208267,5.543116
5.480265,5.813830
5.729720,6.063337
5.999996,6.334339
6.251627,6.584856
6.521687,6.855337
6.792614,7.105998
7.042330,7.376137
7.313761,7.626735
7.562753,7.897860
7.812720,8.146526
8.084117,8.418025
8.334033,8.667738
8.604956,8.918271
8.854990,9.188836
9.124508,9.459719
9.376026,9.710169
9.625272,9.959331
9.896374,-9.769742
-9.832243,-9.519331
-9.582988,-9.248027
-9.312274,-8.998525
-9.061256,-8.727729
-8.812563,-8.477521
-8.541376,-8.207532
-8.290663,-7.957580
-8.020217,-7.685980
-7.770625,-7.436215
-7.499818,-7.186159
-7.250008,-6.915481
-6.999673,-6.665430
-6.728779,-6.415631
-6.478290,-6.145188
-6.208012,-5.874206
-5.957917,-5.623579
-5.686262,-5.353639
-5.437237,-5.102891
-5.166004,-4.832647
-4.916498,-4.582255
-4.644763,-4.311338
-4.395686,-4.061025
-4.124278,-3.789474
-3.874588,-3.540743
-3.623942,-3.290984
-3.354269,-3.019750
-3.103448,-2.769852
-2.832473,-2.498261
-2.561800,-2.227833
-2.311846,-1.978376
-2.041343,-1.707486
-1.769672,-1.456805
-1.519764,-1.186426
-1.269968,
