type,peak
A,0.474795
C,0.474795
A,0.504623
C,0.504623
A,0.474380
C,0.474380
A,0.504592
C,0.504592
A,0.475580
C,0.475580
A,0.505382
C,0.505382
A,0.474827
C,0.474827
A,0.505788
C,0.505788
A,0.473474
C,0.473474
A,0.504313
C,0.504313
A,0.473430
C,0.473430
A,0.503916
C,0.503916
A,0.474662
C,0.474662
A,0.503834
C,0.503834
A,0.474610
C,0.474610
A,0.503435
C,0.503435
A,0.475160
C,0.475160
A,0.503139
C,0.503139
A,0.475072
C,0.475072
A,0.505382
C,0.505382
A,0.476512
C,0.476512
A,0.504394
C,0.504394
A,0.476051
C,0.476051
A,0.504251
C,0.504251
A,0.474096
C,0.474096
A,0.506456
C,0.506456
A,0.474917
C,0.474917
A,0.502900
C,0.502900
A,0.474183
C,0.474183
A,0.506391
C,0.506391
A,0.473772
C,0.473772
A,0.503753
C,0.503753
A,0.472696
C,0.472696
A,0.505099
C,0.505099
A,0.473874
C,0.473874
A,0.504017
C,0.504017
A,0.475562
C,0.475562
A,0.503276
C,0.503276
A,0.474041
C,0.474041
A,0.505312
C,0.505312
A,0.475710
C,0.475710
A,0.506357
C,0.506357
A,0.474655
C,0.474655
A,0.503070
C,0.503070
A,0.474278
C,0.474278
A,0.504231
C,0.504231
A,0.474075
C,0.474075
A,0.504970
C,0.504970
A,0.473416
C,0.473416
A,0.505680
C,0.505680
A,0.474674
C,0.474674
A,0.505020
C,0.505020
A,0.473741
C,0.473741
A,0.504300
C,0.504300
A,0.471919
C,0.471919
A,0.504082
C,0.504082
A,0.475382
C,0.475382
A,0.504602
C,0.504602
A,0.472973
C,0.472973
A,0.502587
C,0.502587
A,0.473401
C,0.473401
A,0.505357
C,0.505357
A,0.475991
C,0.475991
A,0.504694
C,0.504694
A,0.474178
C,0.474178
A,0.503820
C,0.503820
A,0.473719
C,0.473719
A,0.504570
C,0.504570
A,0.475314
C,0.475314
A,0.504190
C,0.504190
A,0.473109
C,0.473109
A,0.504141
C,0.504141
A,0.474089
C,0.474089
A,0.505631
C,0.505631
A,0.474485
C,0.474485
A,0.504848
C,0.504848
A,0.474400
C,0.474400
A,0.504212
C,0.504212
A,0.473805
C,0.473805
A,0.505027
C,0.505027
A,0.473281
C,0.473281
A,0.502824
C,0.502824
A,0.474669
C,0.474669
A,0.502724
C,0.502724
A,0.475203
C,0.475203
A,0.504291
C,0.504291
A,0.474239
C,0.474239
A,0.503202
C,0.503202
A,0.473936
C,0.473936
A,0.504943
C,0.504943
A,0.473557
C,0.473557
A,0.503281
C,0.503281
A,0.472844
C,0.472844
A,0.506154
C,0.506154
A,0.473415
C,0.473415
A,0.505378
C,0.505378
A,0.473299
C,0.473299
A,0.504311
C,0.504311
A,0.474200
C,0.474200
A,0.505205
C,0.505205
A,0.474119
C,0.474119
A,0.504902
C,0.504902
A,0.475150
C,0.475150
A,0.505625
C,0.505625
A,0.472452
C,0.472452
A,0.505227
C,0.505227
A,0.474502
C,0.474502
A,0.505046
C,0.505046
A,0.472020
C,0.472020
A,0.505723
C,0.505723
A,0.473656
C,0.473656
A,0.503773
C,0.503773
A,0.475355
C,0.475355
A,0.502950
C,0.502950
A,0.475175
C,0.475175
A,0.505038
C,0.505038
A,0.474216
C,0.474216
A,0.504431
C,0.504431
A,0.475164
C,0.475164
A,0.505939
C,0.505939
A,0.473519
C,0.473519
A,0.504259
C,0.504259
A,0.474406
C,0.474406
A,0.503747
C,0.503747
A,0.474045
C,0.474045
A,0.504059
C,0.504059
A,0.473899
C,0.473899
A,0.504666
C,0.504666
A,0.474942
C,0.474942
A,0.504871
C,0.504871
A,0.473358
C,0.473358
A,0.503665
C,0.503665
A,0.473472
C,0.473472
A,0.505249
C,0.505249
A,0.473816
C,0.473816
A,0.505684
C,0.505684
A,0.472911
C,0.472911
A,0.505280
C,0.505280
A,0.473712
C,0.473712
A,0.505191
C,0.505191
A,0.474482
C,0.474482
A,0.503852
C,0.503852
A,0.474061
C,0.474061
A,0.504333
C,0.504333
A,0.474286
C,0.474286
A,0.503871
C,0.503871
A,0.474354
C,0.474354
A,0.503836
C,0.503836
A,0.474178
C,0.474178
A,0.504530
C,0.504530
A,0.475515
C,0.475515
A,0.504103
C,0.504103
A,0.475495
C,0.475495
A,0.506318
C,0.506318
A,0.474687
C,0.474687
A,0.504492
C,0.504492
A,0.473953
C,0.473953
A,0.503426
C,0.503426
A,0.473088
C,0.473088
