type,peak
A,0.503472
C,0.503472
A,0.474331
C,0.474331
A,0.504218
C,0.504218
A,0.473945
C,0.473945
A,0.505949
C,0.505949
A,0.473506
C,0.473506
A,0.503675
C,0.503675
A,0.474679
C,0.474679
A,0.504277
C,0.504277
A,0.474294
C,0.474294
A,0.503699
C,0.503699
A,0.474326
C,0.474326
A,0.504372
C,0.504372
A,0.474276
C,0.474276
A,0.504827
C,0.504827
A,0.473146
C,0.473146
A,0.505036
C,0.505036
A,0.472345
C,0.472345
A,0.502852
C,0.502852
A,0.474510
C,0.474510
A,0.503597
C,0.503597
A,0.474211
C,0.474211
A,0.503176
C,0.503176
A,0.474407
C,0.474407
A,0.504087
C,0.504087
A,0.475564
C,0.475564
A,0.503843
C,0.503843
A,0.474484
C,0.474484
A,0.504859
C,0.504859
A,0.474694
C,0.474694
A,0.504774
C,0.504774
A,0.473195
C,0.473195
A,0.503949
C,0.503949
A,0.473884
C,0.473884
A,0.501504
C,0.501504
A,0.474954
C,0.474954
A,0.504879
C,0.504879
A,0.474044
C,0.474044
A,0.503809
C,0.503809
A,0.475921
C,0.475921
A,0.503261
C,0.503261
A,0.473753
C,0.473753
A,0.503647
C,0.503647
A,0.473655
C,0.473655
A,0.503300
C,0.503300
A,0.473564
C,0.473564
A,0.504829
C,0.504829
A,0.473351
C,0.473351
A,0.504659
C,0.504659
A,0.472508
C,0.472508
A,0.504806
C,0.504806
A,0.475165
C,0.475165
A,0.505001
C,0.505001
A,0.472662
C,0.472662
A,0.504949
C,0.504949
A,0.474687
C,0.474687
A,0.503932
C,0.503932
A,0.475531
C,0.475531
A,0.502117
C,0.502117
A,0.474275
C,0.474275
A,0.504582
C,0.504582
A,0.474378
C,0.474378
A,0.503213
C,0.503213
A,0.474304
C,0.474304
A,0.504727
C,0.504727
A,0.473887
C,0.473887
A,0.505081
C,0.505081
A,0.472861
C,0.472861
A,0.504882
C,0.504882
A,0.474468
C,0.474468
A,0.503719
C,0.503719
A,0.474327
C,0.474327
A,0.505508
C,0.505508
A,0.473928
C,0.473928
A,0.503170
C,0.503170
A,0.474178
C,0.474178
A,0.504595
C,0.504595
A,0.471966
C,0.471966
A,0.503599
C,0.503599
A,0.473983
C,0.473983
A,0.503944
C,0.503944
A,0.475110
C,0.475110
A,0.502033
C,0.502033
A,0.474242
C,0.474242
A,0.505170
C,0.505170
A,0.473778
C,0.473778
A,0.503281
C,0.503281
A,0.474102
C,0.474102
A,0.502145
C,0.502145
A,0.474449
C,0.474449
A,0.504852
C,0.504852
A,0.473417
C,0.473417
A,0.504566
C,0.504566
A,0.473879
C,0.473879
A,0.505340
C,0.505340
A,0.474861
C,0.474861
A,0.503883
C,0.503883
A,0.472018
C,0.472018
A,0.504360
C,0.504360
A,0.472398
C,0.472398
A,0.503573
C,0.503573
A,0.474267
C,0.474267
A,0.505562
C,0.505562
A,0.475536
C,0.475536
A,0.504772
C,0.504772
A,0.473561
C,0.473561
A,0.504033
C,0.504033
A,0.474335
C,0.474335
A,0.503208
C,0.503208
A,0.474070
C,0.474070
A,0.504541
C,0.504541
A,0.476064
C,0.476064
A,0.503056
C,0.503056
A,0.474392
C,0.474392
A,0.504772
C,0.504772
A,0.474042
C,0.474042
A,0.504716
C,0.504716
A,0.473694
C,0.473694
A,0.503368
C,0.503368
A,0.473415
C,0.473415
A,0.504323
C,0.504323
A,0.472417
C,0.472417
A,0.505195
C,0.505195
A,0.474138
C,0.474138
A,0.504158
C,0.504158
A,0.472656
C,0.472656
A,0.505585
C,0.505585
A,0.474226
C,0.474226
A,0.502589
C,0.502589
A,0.474862
C,0.474862
A,0.503933
C,0.503933
A,0.474766
C,0.474766
A,0.505213
C,0.505213
A,0.473372
C,0.473372
A,0.504207
C,0.504207
A,0.472728
C,0.472728
A,0.502621
C,0.502621
A,0.474184
C,0.474184
A,0.504598
C,0.504598
A,0.473924
C,0.473924
A,0.503662
C,0.503662
A,0.474346
C,0.474346
A,0.504611
C,0.504611
A,0.473452
C,0.473452
A,0.502972
C,0.502972
A,0.474461
C,0.474461
