type,peak
A,0.534334
C,0.534334
A,0.503386
C,0.503386
A,0.533635
C,0.533635
A,0.501052
C,0.501052
A,0.533076
C,0.533076
A,0.503056
C,0.503056
A,0.534771
C,0.534771
A,0.500441
C,0.500441
A,0.535384
C,0.535384
A,0.502555
C,0.502555
A,0.534180
C,0.534180
A,0.501552
C,0.501552
A,0.533659
C,0.533659
A,0.501509
C,0.501509
A,0.534200
C,0.534200
A,0.501897
C,0.501897
A,0.533540
C,0.533540
A,0.501101
C,0.501101
A,0.531804
C,0.531804
A,0.502071
C,0.502071
A,0.533555
C,0.533555
A,0.501462
C,0.501462
A,0.534933
C,0.534933
A,0.501676
C,0.501676
A,0.534146
C,0.534146
A,0.502767
C,0.502767
A,0.533793
C,0.533793
A,0.501880
C,0.501880
A,0.533807
C,0.533807
A,0.501654
C,0.501654
A,0.533973
C,0.533973
A,0.503309
C,0.503309
A,0.534696
C,0.534696
A,0.500667
C,0.500667
A,0.535066
C,0.535066
A,0.500589
C,0.500589
A,0.535566
C,0.535566
A,0.502500
C,0.502500
A,0.534858
C,0.534858
A,0.500990
C,0.500990
A,0.532715
C,0.532715
A,0.502011
C,0.502011
A,0.533680
C,0.533680
A,0.500556
C,0.500556
A,0.536174
C,0.536174
A,0.501676
C,0.501676
A,0.533900
C,0.533900
A,0.502289
C,0.502289
A,0.534368
C,0.534368
A,0.501313
C,0.501313
A,0.535571
C,0.535571
A,0.501962
C,0.501962
A,0.532862
C,0.532862
A,0.500960
C,0.500960
A,0.535151
C,0.535151
A,0.501647
C,0.501647
A,0.536150
C,0.536150
A,0.504708
C,0.504708
A,0.533285
C,0.533285
A,0.502317
C,0.502317
A,0.535254
C,0.535254
A,0.502883
C,0.502883
A,0.533710
C,0.533710
A,0.502801
C,0.502801
A,0.532649
C,0.532649
A,0.499798
C,0.499798
A,0.533625
C,0.533625
A,0.502285
C,0.502285
A,0.533553
C,0.533553
A,0.500650
C,0.500650
A,0.533948
C,0.533948
A,0.502437
C,0.502437
A,0.533623
C,0.533623
A,0.501896
C,0.501896
A,0.532507
C,0.532507
A,0.502340
C,0.502340
A,0.534513
C,0.534513
A,0.500745
C,0.500745
A,0.532349
C,0.532349
A,0.501817
C,0.501817
A,0.535111
C,0.535111
A,0.502997
C,0.502997
A,0.531263
C,0.531263
A,0.503119
C,0.503119
A,0.534876
C,0.534876
A,0.502917
C,0.502917
A,0.535514
C,0.535514
A,0.501483
C,0.501483
A,0.533553
C,0.533553
A,0.501470
C,0.501470
A,0.534052
C,0.534052
A,0.500771
C,0.500771
A,0.532234
C,0.532234
A,0.500669
C,0.500669
A,0.532815
C,0.532815
A,0.500812
C,0.500812
A,0.533299
C,0.533299
A,0.502652
C,0.502652
A,0.535363
C,0.535363
A,0.501996
C,0.501996
A,0.535523
C,0.535523
A,0.501973
C,0.501973
A,0.535342
C,0.535342
A,0.501390
C,0.501390
A,0.534443
C,0.534443
A,0.501723
C,0.501723
A,0.535597
C,0.535597
A,0.501801
C,0.501801
A,0.533976
C,0.533976
A,0.501889
C,0.501889
A,0.533732
C,0.533732
A,0.501741
C,0.501741
A,0.532702
C,0.532702
A,0.502788
C,0.502788
A,0.533243
C,0.533243
A,0.503031
C,0.503031
A,0.533991
C,0.533991
A,0.502171
C,0.502171
A,0.534272
C,0.534272
A,0.502610
C,0.502610
A,0.534771
C,0.534771
A,0.501737
C,0.501737
A,0.532770
C,0.532770
A,0.502076
C,0.502076
A,0.535246
C,0.535246
A,0.502620
C,0.502620
A,0.533368
C,0.533368
A,0.502398
C,0.502398
A,0.536179
C,0.536179
A,0.501258
C,0.501258
A,0.533794
C,0.533794
A,0.501925
C,0.501925
A,0.533586
C,0.533586
A,0.501186
C,0.501186
A,0.535401
C,0.535401
A,0.501444
C,0.501444
A,0.533999
C,0.533999
A,0.499913
C,0.499913
A,0.535136
C,0.535136
A,0.503831
C,0.503831
A,0.534187
C,0.534187
A,0.503807
C,0.503807
A,0.531962
C,0.531962
A,0.501308
C,0.501308
A,0.533008
C,0.533008
A,0.501328
C,0.501328
A,0.533501
C,0.533501
A,0.500845
C,0.500845
A,0.532976
C,0.532976
A,0.501529
C,0.501529
A,0.533973
C,0.533973
A,0.502301
C,0.502301
A,0.532917
C,0.532917
A,0.502617
C,0.502617
A,0.534611
C,0.534611
