TIC,TOC
1.802220,1.927512
2.052531,2.177823
2.302866,2.428137
2.553178,2.678450
2.803491,2.928762
3.053804,3.179094
3.304115,3.429408
3.554449,3.679720
3.804761,3.930033
4.055074,4.180345
4.305386,4.430679
4.555699,4.680991
4.806032,4.931304
5.056345,5.181616
5.306657,5.431928
5.556970,5.682261
5.807282,5.932575
6.057616,6.182888
6.307928,6.433200
6.558241,6.683512
6.808552,6.933824
7.058865,7.184158
7.309179,7.434470
7.559512,7.684783
7.809824,7.935116
8.060137,8.185428
8.310449,8.435742
8.560761,8.686054
8.811095,8.936366
9.061407,9.186678
9.311720,9.436991
9.562033,9.687325
9.812365,9.937637
10.062657,10.187950
10.312991,10.438262
10.563302,10.688575
10.813615,10.938887
11.063928,11.189200
11.314240,11.439533
11.564552,11.689845
11.814866,11.940158
12.065199,12.190470
12.315512,12.440783
12.565824,12.691117
12.816157,12.941429
13.066470,13.191741
13.316782,13.442053
13.567095,13.692366
13.817408,13.942679
14.067719,14.192990
14.318031,14.443324
14.568344,14.693637
14.818678,14.943949
15.068991,15.194262
15.319302,15.444595
15.569616,15.694907
15.819949,15.945221
16.070261,16.195533
16.320574,16.445867
16.570886,16.696179
16.821219,16.946491
17.071532,17.196803
17.321844,17.447137
17.572157,17.697449
17.822491,17.947762
18.072803,18.198096
