type,peak
A,0.473158
C,0.473158
A,0.504461
C,0.504461
A,0.474222
C,0.474222
A,0.505571
C,0.505571
A,0.473528
C,0.473528
A,0.505161
C,0.505161
A,0.474127
C,0.474127
A,0.505570
C,0.505570
A,0.473513
C,0.473513
A,0.505350
C,0.505350
A,0.477082
C,0.477082
A,0.505347
C,0.505347
A,0.475723
C,0.475723
A,0.505034
C,0.505034
A,0.475202
C,0.475202
A,0.506162
C,0.506162
A,0.474491
C,0.474491
A,0.506601
C,0.506601
A,0.474349
C,0.474349
A,0.505436
C,0.505436
A,0.474825
C,0.474825
A,0.504472
C,0.504472
A,0.475311
C,0.475311
A,0.503572
C,0.503572
A,0.475221
C,0.475221
A,0.504162
C,0.504162
A,0.473676
C,0.473676
A,0.503664
C,0.503664
A,0.475086
C,0.475086
A,0.505314
C,0.505314
A,0.473546
C,0.473546
A,0.505704
C,0.505704
A,0.472653
C,0.472653
A,0.505654
C,0.505654
A,0.475596
C,0.475596
A,0.506209
C,0.506209
A,0.473877
C,0.473877
A,0.504376
C,0.504376
A,0.473754
C,0.473754
A,0.505602
C,0.505602
A,0.475731
C,0.475731
A,0.506305
C,0.506305
A,0.476906
C,0.476906
A,0.505646
C,0.505646
A,0.474740
C,0.474740
A,0.506977
C,0.506977
A,0.474100
C,0.474100
A,0.504573
C,0.504573
A,0.476040
C,0.476040
A,0.506329
C,0.506329
A,0.475941
C,0.475941
A,0.503973
C,0.503973
A,0.476409
C,0.476409
A,0.504736
C,0.504736
A,0.475686
C,0.475686
A,0.505273
C,0.505273
A,0.473198
C,0.473198
A,0.506011
C,0.506011
A,0.474730
C,0.474730
A,0.503147
C,0.503147
A,0.475972
C,0.475972
A,0.505273
C,0.505273
A,0.474323
C,0.474323
A,0.506565
C,0.506565
A,0.475754
C,0.475754
A,0.504344
C,0.504344
A,0.473088
C,0.473088
A,0.506134
C,0.506134
A,0.473615
C,0.473615
A,0.505751
C,0.505751
A,0.475621
C,0.475621
A,0.505197
C,0.505197
A,0.475792
C,0.475792
A,0.505002
C,0.505002
A,0.474574
C,0.474574
A,0.504037
C,0.504037
A,0.475781
C,0.475781
A,0.504973
C,0.504973
A,0.475621
C,0.475621
A,0.504733
C,0.504733
A,0.475858
C,0.475858
A,0.505993
C,0.505993
A,0.474372
C,0.474372
A,0.505699
C,0.505699
A,0.473252
C,0.473252
A,0.504876
C,0.504876
A,0.475083
C,0.475083
A,0.504798
C,0.504798
A,0.474523
C,0.474523
A,0.505710
C,0.505710
A,0.475509
C,0.475509
A,0.502309
C,0.502309
A,0.474543
C,0.474543
A,0.504946
C,0.504946
A,0.474101
C,0.474101
A,0.506538
C,0.506538
A,0.473017
C,0.473017
A,0.507736
C,0.507736
A,0.473410
C,0.473410
A,0.505388
C,0.505388
A,0.477878
C,0.477878
A,0.504910
C,0.504910
A,0.475003
C,0.475003
A,0.504824
C,0.504824
A,0.474211
C,0.474211
A,0.505900
C,0.505900
A,0.475375
C,0.475375
A,0.505470
C,0.505470
A,0.473701
C,0.473701
A,0.505839
C,0.505839
A,0.474359
C,0.474359
A,0.506958
C,0.506958
A,0.475984
C,0.475984
A,0.505948
C,0.505948
A,0.473590
C,0.473590
A,0.505792
C,0.505792
A,0.475534
C,0.475534
A,0.503707
C,0.503707
A,0.472494
