type,peak
A,0.502024
C,0.502024
A,0.533993
C,0.533993
A,0.502075
C,0.502075
A,0.533934
C,0.533934
A,0.502551
C,0.502551
A,0.533182
C,0.533182
A,0.502007
C,0.502007
A,0.533874
C,0.533874
A,0.500717
C,0.500717
A,0.536329
C,0.536329
A,0.502021
C,0.502021
A,0.534453
C,0.534453
A,0.501415
C,0.501415
A,0.534136
C,0.534136
A,0.500367
C,0.500367
A,0.534453
C,0.534453
A,0.501880
C,0.501880
A,0.534677
C,0.534677
A,0.502433
C,0.502433
A,0.535465
C,0.535465
A,0.501279
C,0.501279
A,0.533681
C,0.533681
A,0.502414
C,0.502414
A,0.534089
C,0.534089
A,0.502447
C,0.502447
A,0.532662
C,0.532662
A,0.502811
C,0.502811
A,0.535085
C,0.535085
A,0.503073
C,0.503073
A,0.533812
C,0.533812
A,0.500377
C,0.500377
A,0.535301
C,0.535301
A,0.501345
C,0.501345
A,0.534726
C,0.534726
A,0.502927
C,0.502927
A,0.534428
C,0.534428
A,0.502300
C,0.502300
A,0.534371
C,0.534371
A,0.502618
C,0.502618
A,0.533822
C,0.533822
A,0.499903
C,0.499903
A,0.534569
C,0.534569
A,0.502437
C,0.502437
A,0.534332
C,0.534332
A,0.502651
C,0.502651
A,0.532281
C,0.532281
A,0.501205
C,0.501205
A,0.536244
C,0.536244
A,0.501865
C,0.501865
A,0.534899
C,0.534899
A,0.502735
C,0.502735
A,0.535150
C,0.535150
A,0.502737
C,0.502737
A,0.534785
C,0.534785
A,0.500888
C,0.500888
A,0.532179
C,0.532179
A,0.502039
C,0.502039
A,0.535177
C,0.535177
A,0.500902
C,0.500902
A,0.534756
C,0.534756
A,0.502706
C,0.502706
A,0.533515
C,0.533515
A,0.501324
C,0.501324
A,0.534111
C,0.534111
A,0.501354
C,0.501354
A,0.535177
C,0.535177
A,0.501940
C,0.501940
A,0.533948
C,0.533948
A,0.502905
C,0.502905
A,0.533696
C,0.533696
A,0.500714
C,0.500714
A,0.534595
C,0.534595
A,0.501673
C,0.501673
A,0.533168
C,0.533168
A,0.501832
C,0.501832
A,0.531565
C,0.531565
A,0.500453
C,0.500453
A,0.534495
C,0.534495
A,0.503191
C,0.503191
A,0.533726
C,0.533726
A,0.502207
C,0.502207
A,0.535197
C,0.535197
A,0.503945
C,0.503945
A,0.534152
C,0.534152
A,0.501517
C,0.501517
A,0.534571
C,0.534571
A,0.500847
C,0.500847
A,0.534140
C,0.534140
A,0.502136
C,0.502136
A,0.533440
C,0.533440
A,0.501337
C,0.501337
A,0.532585
C,0.532585
A,0.502338
C,0.502338
A,0.532915
C,0.532915
A,0.501925
C,0.501925
A,0.534864
C,0.534864
A,0.500479
C,0.500479
A,0.532916
C,0.532916
A,0.502390
C,0.502390
A,0.531942
C,0.531942
A,0.500192
C,0.500192
A,0.533004
C,0.533004
A,0.502135
C,0.502135
A,0.532304
C,0.532304
A,0.501386
C,0.501386
A,0.534900
C,0.534900
A,0.502991
C,0.502991
A,0.535658
C,0.535658
A,0.501729
C,0.501729
A,0.535485
C,0.535485
A,0.501432
C,0.501432
A,0.536518
C,0.536518
A,0.501167
C,0.501167
A,0.535806
C,0.535806
A,0.501950
C,0.501950
A,0.533104
C,0.533104
A,0.502047
C,0.502047
A,0.532636
C,0.532636
A,0.502941
C,0.502941
A,0.533456
C,0.533456
A,0.501329
C,0.501329
A,0.532548
C,0.532548
A,0.501701
C,0.501701
A,0.533950
C,0.533950
A,0.502363
C,0.502363
A,0.534344
C,0.534344
A,0.501287
C,0.501287
A,0.533329
C,0.533329
A,0.501229
C,0.501229
A,0.533645
C,0.533645
A,0.501877
C,0.501877
A,0.532245
C,0.532245
A,0.501067
C,0.501067
A,0.532259
C,0.532259
A,0.502256
C,0.502256
A,0.534036
C,0.534036
A,0.502838
C,0.502838
A,0.536466
C,0.536466
A,0.502021
C,0.502021
A,0.535218
C,0.535218
A,0.501715
C,0.501715
A,0.533686
C,0.533686
A,0.502104
C,0.502104
A,0.535343
C,0.535343
A,0.502738
C,0.502738
A,0.533307
C,0.533307
A,0.501688
C,0.501688
A,0.534086
C,0.534086
A,0.501563
C,0.501563
A,0.533275
C,0.533275
A,0.502027
C,0.502027
A,0.534001
C,0.534001
A,0.501357
C,0.501357
A,0.532782
C,0.532782
A,0.502738
C,0.502738
A,0.535339
C,0.535339
A,0.504761
C,0.504761
A,0.535487
C,0.535487
A,0.503185
C,0.503185
A,0.533876
C,0.533876
A,0.502259
C,0.502259
A,0.533788
C,0.533788
A,0.502124
C,0.502124
A,0.533249
C,0.533249
A,0.502256
C,0.502256
A,0.536340
C,0.536340
A,0.502015
C,0.502015
A,0.535573
C,0.535573
A,0.501918
C,0.501918
A,0.534437
C,0.534437
A,0.502681
C,0.502681
A,0.534421
C,0.534421
A,0.502960
C,0.502960
A,0.534081
C,0.534081
A,0.502566
C,0.502566
A,0.533569
C,0.533569
A,0.502051
C,0.502051
A,0.535732
C,0.535732
A,0.504120
C,0.504120
A,0.533648
C,0.533648
A,0.502427
C,0.502427
A,0.535006
C,0.535006
A,0.502062
C,0.502062
A,0.533038
C,0.533038
A,0.502645
C,0.502645
A,0.532598
C,0.532598
A,0.501884
C,0.501884
A,0.534724
C,0.534724
A,0.502395
C,0.502395
A,0.534842
C,0.534842
A,0.502501
C,0.502501
A,0.533186
C,0.533186
A,0.502482
C,0.502482
A,0.534791
C,0.534791
A,0.500389
C,0.500389
A,0.534801
C,0.534801
A,0.503963
C,0.503963
A,0.534281
C,0.534281
A,0.501826
C,0.501826
A,0.533444
C,0.533444
A,0.501388
C,0.501388
A,0.534049
C,0.534049
A,0.501792
C,0.501792
A,0.534846
C,0.534846
A,0.502280
C,0.502280
A,0.533403
C,0.533403
A,0.503421
C,0.503421
A,0.533417
C,0.533417
A,0.502386
C,0.502386
A,0.533177
C,0.533177
A,0.502173
C,0.502173
A,0.533839
C,0.533839
A,0.503032
C,0.503032
A,0.535152
C,0.535152
A,0.501454
C,0.501454
A,0.534943
C,0.534943
A,0.501407
C,0.501407
A,0.533735
C,0.533735
A,0.503944
C,0.503944
A,0.536173
C,0.536173
A,0.502657
C,0.502657
A,0.535698
C,0.535698
