TIC,TOC
0.000000,0.105925
0.063856,0.168352
0.146618,0.251435
0.229899,0.335547
0.292744,0.418171
0.377003,0.480282
0.459897,0.585574
0.542177,0.668238
0.626899,0.752054
0.709572,0.814429
0.792311,0.898289
0.875852,0.981470
0.959320,1.064442
1.042838,1.147062
1.126373,1.230083
1.209255,1.313724
1.292857,1.397631
1.376359,1.481542
1.458659,1.564293
1.542551,1.646782
1.626216,1.730874
1.710624,1.814092
1.793159,1.897362
1.876540,1.981237
1.960081,2.064396
2.042637,2.147462
2.042662,2.043025
1.938327,1.939419
1.834002,1.834496
1.708982,1.731201
1.605215,1.626712
1.500471,1.522302
1.396538,1.418365
1.292514,1.314327
1.187797,1.209935
1.083788,1.085155
0.960090,0.981019
0.855015,0.876566
0.751313,0.772574
0.646674,0.668141
0.543000,0.564563
0.439135,0.460186
0.334230,0.334657
0.230282,0.230601
0.125988,0.127150
0.021295,0.022803
-0.082069,-0.081376
-0.207194,-0.185652
-0.311221,-0.289510
-0.394111,-0.394508
-0.498776,-0.498119
-0.604109,-0.602719
-0.707704,-0.706226
-0.811287,-0.810108
-0.916175,-0.914738
-1.019518,-1.019316
-1.123120,-1.123832
-1.249295,-1.226036
-1.353559,-1.331728
-1.353137,-1.247820
-1.269290,-1.165299
-1.187008,-1.081972
-1.103723,-0.998962
-1.040127,-0.914291
-0.936055,-0.831728
-0.873748,-0.748291
-0.790628,-0.686143
-0.707207,-0.602960
-0.624595,-0.499029
-0.540714,-0.435884
-0.456860,-0.352700
-0.374221,-0.269263
-0.290715,-0.185739
-0.207575,-0.102130
-0.123971,-0.019422
-0.039473,0.064550
0.042218,0.147788
0.125855,0.231155
0.208744,0.314349
0.292547,0.397449
0.376505,0.481775
0.459794,0.563947
0.521495,0.626457
0.605931,0.730927
0.688925,0.814090
0.771893,0.897257
0.876189,0.980988
0.959101,1.063980
1.042485,1.147482
1.126284,1.230891
1.209228,1.314608
1.293401,1.397683
1.271495,1.272624
1.167948,1.188419
1.063913,1.084850
0.959001,0.980976
0.855429,0.856169
0.729466,0.752660
0.625380,0.648022
0.521492,0.543728
0.416889,0.439225
0.313932,0.334994
0.209964,0.231577
0.105233,0.105394
0.000639,0.002126
-0.102410,-0.102508
-0.207303,-0.206333
-0.311650,-0.310825
-0.415327,-0.394052
-0.519850,-0.519799
-0.624284,-0.623164
-0.728568,-0.726999
-0.852710,-0.831672
