TIC,TOC
0.000000,0.230625
0.042861,0.250693
0.062947,0.272547
0.084441,0.313556
0.125131,0.335125
0.147038,0.376284
0.187421,0.396935
0.208878,0.417804
0.230652,0.439449
0.271127,0.480981
0.291753,0.501772
0.334341,0.543219
0.354738,0.564058
0.396924,0.605494
0.416818,0.625761
0.458814,0.667253
0.479782,0.689741
0.500388,0.709646
0.542192,0.751713
0.562903,0.792957
0.604857,0.813810
0.625116,0.835361
0.667603,0.876526
0.688470,0.897864
0.708469,0.939345
0.729334,0.897244
0.688924,0.876730
0.667807,0.834088
0.626501,0.814961
0.604264,0.793672
0.563312,0.751490
0.542110,0.730931
0.521685,0.710342
0.479859,0.668425
0.460360,0.647251
0.417315,0.605643
0.396964,0.584473
0.354764,0.543612
0.334717,0.501644
0.292958,0.479999
0.271938,0.461094
0.251074,0.439251
0.208624,0.397127
0.188619,0.375425
0.146548,0.334725
0.126296,0.314273
0.105189,0.273456
0.063600,0.251806
0.042967,0.230080
0.000800,0.188454
-0.020573,0.168560
-0.061761,0.146778
-0.082524,0.105809
-0.103824,0.084713
-0.124250,0.042921
-0.166254,0.021913
-0.186703,-0.019615
-0.186671,0.022228
-0.165712,0.042872
-0.124647,0.084523
-0.103173,0.104859
-0.061452,0.147000
-0.040666,0.167467
-0.019954,0.210700
0.021889,0.230759
0.042354,0.251527
0.063668,0.272007
0.104695,0.314025
0.125371,0.334651
0.147075,0.376072
0.187668,0.397237
0.209133,0.438525
0.250935,0.459661
0.272024,0.481706
0.292481,0.522159
0.334699,0.543541
0.354238,0.563273
0.375788,0.606643
0.417402,0.626184
0.459067,0.668742
0.479628,0.689158
0.500793,0.730350
0.542262,0.752642
0.563177,0.793006
0.604247,0.813866
0.625167,0.833878
0.645701,0.855675
0.667283,0.897091
0.708210,0.917960
0.709492,0.898059
0.667820,0.856743
0.645464,0.835966
0.625205,0.814094
0.605201,0.772627
0.563637,0.751156
0.542262,0.730377
0.521548,0.710059
0.500423,0.688904
0.479337,0.667583
0.438410,0.626377
0.416778,0.606034
0.396187,0.585195
0.375949,0.542855
0.335075,0.521955
0.312532,0.480662
0.272584,0.459351
0.250309,0.418046
0.208826,0.397851
0.188749,0.376385
0.145677,0.335161
0.126407,0.314341
0.104670,0.293249
0.062455,0.250927
0.041658,0.230259
0.021403,0.210459
-0.019726,0.167627
-0.040786,0.146898
-0.062271,0.126120
-0.103552,0.085212
-0.123670,0.063728
-0.145359,
