type,peak
A,0.499371
C,0.499371
A,0.533283
C,0.533283
A,0.500821
C,0.500821
A,0.533397
C,0.533397
A,0.500392
C,0.500392
A,0.533560
C,0.533560
A,0.502534
C,0.502534
A,0.533298
C,0.533298
A,0.502454
C,0.502454
A,0.532879
C,0.532879
A,0.500792
C,0.500792
A,0.533330
C,0.533330
A,0.500890
C,0.500890
A,0.531474
C,0.531474
A,0.500836
C,0.500836
A,0.534465
C,0.534465
A,0.501267
C,0.501267
A,0.531935
C,0.531935
A,0.499980
C,0.499980
A,0.533451
C,0.533451
A,0.501170
C,0.501170
A,0.534518
C,0.534518
A,0.501931
C,0.501931
A,0.532296
C,0.532296
A,0.501655
C,0.501655
A,0.532390
C,0.532390
A,0.501747
C,0.501747
A,0.531761
C,0.531761
A,0.499824
C,0.499824
A,0.532589
C,0.532589
A,0.500868
C,0.500868
A,0.531816
C,0.531816
A,0.500004
C,0.500004
A,0.531601
C,0.531601
A,0.501155
C,0.501155
A,0.532743
C,0.532743
A,0.502935
C,0.502935
A,0.532875
C,0.532875
A,0.502464
C,0.502464
A,0.534614
C,0.534614
A,0.502035
C,0.502035
A,0.533445
C,0.533445
A,0.500907
C,0.500907
A,0.530349
C,0.530349
A,0.501240
C,0.501240
A,0.532350
C,0.532350
A,0.500864
C,0.500864
A,0.532732
C,0.532732
A,0.500104
C,0.500104
A,0.532515
C,0.532515
A,0.501130
C,0.501130
A,0.533235
C,0.533235
A,0.501968
C,0.501968
A,0.533365
C,0.533365
A,0.501251
C,0.501251
A,0.532431
C,0.532431
A,0.500112
C,0.500112
A,0.529699
C,0.529699
A,0.499461
C,0.499461
A,0.531985
C,0.531985
A,0.500647
C,0.500647
A,0.532509
C,0.532509
A,0.501657
C,0.501657
A,0.532319
C,0.532319
A,0.501883
C,0.501883
A,0.533181
C,0.533181
A,0.502118
C,0.502118
A,0.532848
C,0.532848
A,0.501104
C,0.501104
A,0.532450
C,0.532450
A,0.501406
C,0.501406
A,0.531221
C,0.531221
A,0.500280
C,0.500280
A,0.531226
C,0.531226
A,0.500518
C,0.500518
A,0.531738
C,0.531738
A,0.501276
C,0.501276
A,0.532364
C,0.532364
A,0.502669
C,0.502669
A,0.532459
C,0.532459
A,0.501410
C,0.501410
A,0.532765
C,0.532765
A,0.501492
C,0.501492
A,0.534035
C,0.534035
A,0.499999
C,0.499999
A,0.531435
C,0.531435
A,0.500554
C,0.500554
A,0.531682
C,0.531682
A,0.500161
C,0.500161
A,0.532203
C,0.532203
A,0.498421
C,0.498421
A,0.533651
C,0.533651
A,0.501055
C,0.501055
A,0.531433
C,0.531433
A,0.503157
C,0.503157
A,0.532985
C,0.532985
A,0.502999
C,0.502999
A,0.533352
C,0.533352
A,0.501200
C,0.501200
A,0.534575
C,0.534575
A,0.501725
C,0.501725
A,0.532485
C,0.532485
A,0.500978
C,0.500978
A,0.532432
C,0.532432
A,0.501471
C,0.501471
A,0.530931
C,0.530931
A,0.501376
C,0.501376
A,0.533162
C,0.533162
A,0.499019
C,0.499019
A,0.532883
C,0.532883
A,0.502030
C,0.502030
A,0.532808
C,0.532808
A,0.500736
C,0.500736
A,0.532337
C,0.532337
A,0.500771
C,0.500771
A,0.532679
C,0.532679
A,0.501281
C,0.501281
A,0.533298
C,0.533298
A,0.500712
C,0.500712
A,0.533035
C,0.533035
A,0.501828
C,0.501828
A,0.531428
C,0.531428
A,0.499984
C,0.499984
A,0.532175
C,0.532175
A,0.500614
C,0.500614
A,0.531620
C,0.531620
A,0.501128
C,0.501128
A,0.532797
C,0.532797
A,0.499969
C,0.499969
A,0.532610
C,0.532610
A,0.498561
C,0.498561
A,0.531193
C,0.531193
A,0.501863
C,0.501863
A,0.534132
C,0.534132
A,0.500311
C,0.500311
A,0.533704
C,0.533704
A,0.502067
C,0.502067
A,0.533863
C,0.533863
A,0.500711
C,0.500711
A,0.533079
C,0.533079
A,0.501056
C,0.501056
A,0.531979
C,0.531979
A,0.499720
C,0.499720
A,0.531535
C,0.531535
A,0.500626
C,0.500626
A,0.534069
C,0.534069
A,0.499749
C,0.499749
A,0.532492
C,0.532492
A,0.502356
C,0.502356
A,0.533295
C,0.533295
A,0.500125
C,0.500125
A,0.530557
C,0.530557
A,0.501348
C,0.501348
A,0.532556
C,0.532556
A,0.501378
C,0.501378
A,0.533212
C,0.533212
A,0.500114
C,0.500114
A,0.534547
C,0.534547
A,0.501465
C,0.501465
A,0.532981
C,0.532981
A,0.499875
C,0.499875
A,0.531960
C,0.531960
A,0.499215
C,0.499215
A,0.532978
C,0.532978
A,0.501896
C,0.501896
A,0.532457
C,0.532457
A,0.503540
C,0.503540
A,0.534538
C,0.534538
A,0.499508
C,0.499508
A,0.532815
C,0.532815
A,0.500179
C,0.500179
A,0.534410
C,0.534410
A,0.499708
C,0.499708
A,0.532538
C,0.532538
A,0.501351
C,0.501351
A,0.533411
C,0.533411
A,0.499320
C,0.499320
A,0.533718
C,0.533718
A,0.502010
C,0.502010
A,0.532385
C,0.532385
A,0.499060
C,0.499060
A,0.533192
C,0.533192
A,0.499956
C,0.499956
A,0.532250
C,0.532250
A,0.500669
C,0.500669
A,0.531422
C,0.531422
A,0.501191
C,0.501191
A,0.531709
C,0.531709
A,0.502632
C,0.502632
A,0.533576
C,0.533576
A,0.501379
C,0.501379
A,0.533453
C,0.533453
A,0.501008
C,0.501008
A,0.534012
C,0.534012
A,0.500527
C,0.500527
A,0.530733
C,0.530733
A,0.501452
C,0.501452
A,0.532654
C,0.532654
A,0.500194
C,0.500194
A,0.532512
C,0.532512
A,0.500108
C,0.500108
A,0.533727
C,0.533727
A,0.501696
C,0.501696
A,0.534096
C,0.534096
A,0.500584
C,0.500584
A,0.533689
C,0.533689
A,0.501694
C,0.501694
A,0.533016
C,0.533016
A,0.499612
C,0.499612
A,0.534635
C,0.534635
A,0.499182
C,0.499182
A,0.533807
C,0.533807
A,0.501024
C,0.501024
A,0.532549
C,0.532549
A,0.500308
C,0.500308
A,0.534676
C,0.534676
A,0.500687
C,0.500687
A,0.533129
C,0.533129
