type,peak
A,0.476683
C,0.476683
A,0.505528
C,0.505528
A,0.475296
C,0.475296
A,0.505350
C,0.505350
A,0.473546
C,0.473546
A,0.505278
C,0.505278
A,0.475476
C,0.475476
A,0.506022
C,0.506022
A,0.472787
C,0.472787
A,0.506162
C,0.506162
A,0.473997
C,0.473997
A,0.507275
C,0.507275
A,0.475070
C,0.475070
A,0.505893
C,0.505893
A,0.474718
C,0.474718
A,0.502952
C,0.502952
A,0.474152
C,0.474152
A,0.504350
C,0.504350
A,0.474238
C,0.474238
A,0.505131
C,0.505131
A,0.477472
C,0.477472
A,0.505745
C,0.505745
A,0.473650
C,0.473650
A,0.507191
C,0.507191
A,0.474714
C,0.474714
A,0.505406
C,0.505406
A,0.475902
C,0.475902
A,0.505696
C,0.505696
A,0.476139
C,0.476139
A,0.505348
C,0.505348
A,0.474416
C,0.474416
A,0.503332
C,0.503332
A,0.474730
C,0.474730
A,0.505635
C,0.505635
A,0.475676
C,0.475676
A,0.507093
C,0.507093
A,0.474559
C,0.474559
A,0.506152
C,0.506152
A,0.475360
C,0.475360
A,0.503232
C,0.503232
A,0.474900
C,0.474900
A,0.506079
C,0.506079
A,0.475101
C,0.475101
A,0.506937
C,0.506937
A,0.474574
C,0.474574
A,0.506116
C,0.506116
A,0.474931
C,0.474931
A,0.504792
C,0.504792
A,0.475316
C,0.475316
A,0.504715
C,0.504715
A,0.475284
C,0.475284
A,0.503336
C,0.503336
A,0.473752
C,0.473752
A,0.505919
C,0.505919
A,0.475576
C,0.475576
A,0.505406
C,0.505406
A,0.474728
C,0.474728
A,0.506103
C,0.506103
A,0.475741
C,0.475741
A,0.506617
C,0.506617
A,0.475092
C,0.475092
A,0.506686
C,0.506686
A,0.474027
C,0.474027
A,0.504797
C,0.504797
A,0.474360
C,0.474360
A,0.504914
C,0.504914
A,0.475656
C,0.475656
A,0.506302
C,0.506302
A,0.475004
C,0.475004
A,0.502762
C,0.502762
A,0.474513
C,0.474513
A,0.505797
C,0.505797
A,0.474899
C,0.474899
A,0.505840
C,0.505840
A,0.476619
C,0.476619
A,0.505592
C,0.505592
A,0.474866
C,0.474866
A,0.505565
C,0.505565
A,0.476073
C,0.476073
A,0.506935
C,0.506935
A,0.474675
C,0.474675
A,0.505467
C,0.505467
A,0.476380
C,0.476380
A,0.505461
C,0.505461
A,0.474456
C,0.474456
A,0.506650
C,0.506650
A,0.477607
C,0.477607
A,0.508004
C,0.508004
A,0.476494
C,0.476494
A,0.504945
C,0.504945
A,0.474872
C,0.474872
A,0.505624
C,0.505624
A,0.475220
C,0.475220
A,0.504371
C,0.504371
A,0.475258
C,0.475258
A,0.504919
C,0.504919
A,0.474263
C,0.474263
A,0.505284
C,0.505284
A,0.474869
C,0.474869
A,0.505342
C,0.505342
A,0.474364
C,0.474364
A,0.505301
C,0.505301
A,0.475034
C,0.475034
A,0.505244
C,0.505244
A,0.474109
C,0.474109
A,0.505702
C,0.505702
A,0.475287
C,0.475287
A,0.505119
C,0.505119
A,0.474034
C,0.474034
A,0.504176
C,0.504176
A,0.475319
C,0.475319
A,0.506338
C,0.506338
A,0.474874
C,0.474874
A,0.507598
C,0.507598
A,0.474596
C,0.474596
A,0.505238
C,0.505238
A,0.473436
C,0.473436
A,0.503720
C,0.503720
A,0.475334
C,0.475334
A,0.505201
C,0.505201
A,0.474549
C,0.474549
A,0.505193
C,0.505193
A,0.474995
C,0.474995
A,0.504282
C,0.504282
A,0.473856
C,0.473856
A,0.502565
C,0.502565
A,0.474205
C,0.474205
A,0.503803
C,0.503803
A,0.473687
C,0.473687
A,0.506290
C,0.506290
A,0.475711
C,0.475711
A,0.505404
C,0.505404
A,0.475029
C,0.475029
A,0.505955
C,0.505955
A,0.475344
C,0.475344
A,0.504074
C,0.504074
A,0.474369
C,0.474369
A,0.504808
C,0.504808
A,0.475370
C,0.475370
A,0.505758
C,0.505758
A,0.475400
C,0.475400
A,0.506329
C,0.506329
A,0.474538
C,0.474538
A,0.504285
C,0.504285
A,0.475911
C,0.475911
A,0.505595
C,0.505595
A,0.474128
C,0.474128
A,0.503581
C,0.503581
A,0.474994
C,0.474994
A,0.505822
C,0.505822
A,0.476389
C,0.476389
A,0.505868
C,0.505868
A,0.474511
C,0.474511
A,0.503728
C,0.503728
A,0.474625
C,0.474625
A,0.506226
C,0.506226
A,0.473114
C,0.473114
A,0.504411
C,0.504411
A,0.473393
C,0.473393
A,0.504889
C,0.504889
A,0.475087
C,0.475087
A,0.506772
C,0.506772
A,0.475296
C,0.475296
A,0.505698
C,0.505698
A,0.475125
C,0.475125
A,0.505672
C,0.505672
A,0.474068
C,0.474068
A,0.503451
C,0.503451
A,0.474126
C,0.474126
A,0.505133
C,0.505133
A,0.475194
C,0.475194
A,0.504708
C,0.504708
A,0.474046
C,0.474046
A,0.505747
C,0.505747
A,0.474158
C,0.474158
A,0.504386
C,0.504386
A,0.476356
C,0.476356
