TIC,TOC
0.000000,0.543250
0.104442,0.625840
0.209248,0.709552
0.270278,0.771397
0.333846,0.813621
0.354711,0.834219
0.354388,0.813534
0.332674,0.792370
0.271076,0.730188
0.208745,0.646661
0.125481,0.542457
0.021332,0.438578
-0.104757,0.333704
-0.207639,0.229773
-0.312447,0.126704
-0.395204,0.042676
-0.478920,-0.020856
-0.520709,-0.061759
-0.541161,-0.082519
-0.541619,-0.061654
-0.519435,-0.020248
-0.478353,0.042472
-0.395239,0.125559
-0.312697,0.230002
-0.206882,0.334418
-0.103815,0.438673
0.021097,0.542828
0.125234,0.646850
0.208290,0.729699
0.292441,0.792524
0.332802,0.834165
0.353578,0.834057
0.354696,0.833817
0.333191,0.792309
0.291857,0.730588
0.208892,0.646370
0.124991,0.542406
0.021716,0.438603
-0.082594,0.333880
-0.187214,0.230197
-0.292101,0.125765
-0.395778,0.042875
-0.479015,-0.020517
-0.520431,-0.061405
-0.541748,-0.061039
-0.541997,-0.062343
-0.520355,-0.019973
-0.458533,0.042823
-0.396416,0.125506
-0.311690,0.230323
-0.208354,0.334388
-0.104312,0.437995
0.020197,0.542843
0.124049,0.645665
0.208334,0.730694
0.291940,0.791843
0.333412,0.834687
0.354892,0.854734
0.354622,0.834813
0.333940,0.792996
0.292215,0.730208
0.209414,0.647099
0.124933,0.542177
0.021028,0.439142
-0.082873,0.333938
-0.187754,0.230027
-0.292119,0.125276
-0.395381,0.063771
-0.458400,0.001028
-0.500492,-0.040760
-0.540553,-0.061435
-0.520018,-0.041059
-0.499964,0.000034
-0.457441,0.042331
-0.395954,0.125647
-0.291375,0.230724
-0.187123,0.333710
-0.083637,0.438315
0.020795,0.542647
0.125308,0.646181
0.229786,0.729250
0.291749,0.792383
0.354827,0.834687
0.374936,0.854721
0.354043,0.835541
0.334448,0.792530
0.291562,
