TIC,TOC
0.000000,0.501061
0.230064,0.730550
0.417095,0.875832
0.541952,1.001329
0.645868,1.063070
0.664872,1.103493
0.685597,1.020177
0.561169,0.937437
0.476772,0.831695
0.414414,0.790268
0.331320,0.665960
0.227052,0.561041
0.081195,0.394638
-0.065135,0.290111
-0.168497,0.144563
-0.335216,-0.023108
-0.522263,-0.230691
-0.689868,-0.335025
-0.793717,-0.479549
-0.980660,-0.646472
-1.085282,-0.729995
-1.190045,-0.875701
-1.356469,-1.022030
-1.439719,-1.042970
-1.459506,-1.063115
-1.481674,-1.105563
-1.585278,-1.209074
-1.669294,-1.313741
-1.793246,-1.459355
-1.918501,-1.583921
-2.022625,-1.647043
-2.064537,-1.688327
-2.084984,-1.689592
-2.106225,-1.689409
-2.106213,-1.688547
-2.086029,-1.667770
-2.043734,-1.605351
-1.919501,-1.479803
-1.814893,-1.334972
-1.647931,-1.168055
-1.480827,-0.980920
-1.272631,-0.771542
-1.063712,-0.563730
-0.856091,-0.354914
-0.647090,-0.168184
-0.480766,0.020232
-0.292919,0.228116
-0.104691,0.373722
0.060657,0.520399
0.165408,0.623781
0.289535,0.789900
0.476954,0.956310
0.663863,1.145229
0.809632,1.290173
0.977752,1.477877
1.144273,1.645811
1.289041,1.727287
1.394329,1.854006
1.518905,2.020031
1.706338,2.207907
1.894284,2.394520
2.102762,2.602813
2.310963,2.811397
2.498234,3.019098
2.685865,3.186757
2.894584,3.393999
3.102071,3.603174
3.310652,3.811181
3.518961,4.019242
3.706417,4.144982
3.789947,4.228539
3.852819,4.311792
3.998834,4.436265
4.082095,4.540532
4.186538,4.623786
4.247889,4.707258
4.393672,4.853523
4.561624,5.060763
4.748043,5.227401
4.935712,5.415738
5.060889,5.561630
5.247964,5.748314
5.456053,5.956956
5.644295,6.144498
5.852014,6.332786
6.018729,6.519195
6.205700,6.665550
6.331313,6.791009
6.414686,
