type,peak
A,0.403167
C,0.091612
A,0.533464
C,0.533464
A,0.500449
C,0.500449
A,0.532303
C,0.532303
A,0.502487
C,0.502487
A,0.533296
C,0.533296
A,0.499978
C,0.499978
A,0.533899
C,0.533899
A,0.500559
C,0.500559
A,0.533876
C,0.533876
A,0.501333
C,0.501333
A,0.534732
C,0.534732
A,0.501908
C,0.501908
A,0.533478
C,0.533478
A,0.500498
C,0.500498
A,0.532666
C,0.532666
A,0.502194
C,0.502194
A,0.533695
C,0.533695
A,0.501426
C,0.501426
A,0.533481
C,0.533481
A,0.502020
C,0.502020
A,0.534804
C,0.534804
A,0.500809
C,0.500809
A,0.532625
C,0.532625
A,0.501543
C,0.501543
A,0.532060
C,0.532060
A,0.501636
C,0.501636
A,0.534077
C,0.534077
A,0.500630
C,0.500630
A,0.534546
C,0.534546
A,0.500870
C,0.500870
A,0.532513
C,0.532513
A,0.501408
C,0.501408
A,0.534296
C,0.534296
A,0.500326
C,0.500326
A,0.534863
C,0.534863
A,0.502283
C,0.502283
A,0.532569
C,0.532569
A,0.500921
C,0.500921
A,0.532130
C,0.532130
A,0.502601
C,0.502601
A,0.532828
C,0.532828
A,0.501302
C,0.501302
A,0.533110
C,0.533110
A,0.500117
C,0.500117
A,0.533337
C,0.533337
A,0.500545
C,0.500545
A,0.533302
C,0.533302
A,0.502150
C,0.502150
A,0.534845
C,0.534845
A,0.500939
C,0.500939
A,0.533090
C,0.533090
A,0.501667
C,0.501667
A,0.534285
C,0.534285
A,0.500432
C,0.500432
A,0.534397
C,0.534397
A,0.501876
C,0.501876
A,0.533662
C,0.533662
A,0.501099
C,0.501099
A,0.534215
C,0.534215
A,0.502021
C,0.502021
A,0.531260
C,0.531260
A,0.501153
C,0.501153
A,0.533404
C,0.533404
A,0.500296
C,0.500296
A,0.534568
C,0.534568
A,0.503580
C,0.503580
A,0.532706
C,0.532706
A,0.501120
C,0.501120
A,0.533689
C,0.533689
A,0.502316
C,0.502316
A,0.533961
C,0.533961
A,0.504239
C,0.504239
A,0.532566
C,0.532566
A,0.502695
C,0.502695
A,0.533058
C,0.533058
A,0.501296
C,0.501296
A,0.533674
C,0.533674
A,0.500833
C,0.500833
A,0.533620
C,0.533620
A,0.501653
C,0.501653
A,0.535634
C,0.535634
A,0.501584
C,0.501584
A,0.533112
C,0.533112
A,0.501824
C,0.501824
A,0.533130
C,0.533130
A,0.501791
C,0.501791
A,0.533434
C,0.533434
A,0.500751
C,0.500751
A,0.533538
C,0.533538
A,0.500288
C,0.500288
A,0.532312
C,0.532312
A,0.502723
C,0.502723
A,0.534083
C,0.534083
A,0.501080
C,0.501080
A,0.533250
C,0.533250
A,0.501714
C,0.501714
A,0.534405
C,0.534405
A,0.503000
C,0.503000
A,0.535200
C,0.535200
A,0.500912
C,0.500912
A,0.533476
C,0.533476
A,0.500211
C,0.500211
A,0.532448
C,0.532448
A,0.502183
C,0.502183
A,0.532517
C,0.532517
A,0.501293
C,0.501293
A,0.534786
C,0.534786
A,0.501594
C,0.501594
A,0.530940
C,0.530940
A,0.499510
C,0.499510
A,0.533558
C,0.533558
A,0.503151
C,0.503151
A,0.532971
C,0.532971
A,0.499793
C,0.499793
A,0.533146
C,0.533146
A,0.500528
C,0.500528
A,0.534237
C,0.534237
A,0.500543
C,0.500543
A,0.532821
C,0.532821
A,0.501796
C,0.501796
A,0.532343
C,0.532343
A,0.499883
C,0.499883
A,0.533924
C,0.533924
A,0.503904
C,0.503904
A,0.534906
C,0.534906
A,0.501615
C,0.501615
A,0.533962
C,0.533962
A,0.501119
C,0.501119
A,0.532011
C,0.532011
A,0.503083
C,0.503083
A,0.532353
C,0.532353
A,0.500685
C,0.500685
A,0.532448
C,0.532448
A,0.502682
C,0.502682
A,0.533113
C,0.533113
A,0.501339
C,0.501339
A,0.533142
C,0.533142
A,0.501519
C,0.501519
A,0.532879
C,0.532879
A,0.501824
C,0.501824
A,0.532796
C,0.532796
A,0.501448
C,0.501448
A,0.532459
C,0.532459
A,0.502091
C,0.502091
A,0.533409
C,0.533409
A,0.501919
C,0.501919
A,0.533980
C,0.533980
A,0.498436
C,0.498436
A,0.533675
C,0.533675
A,0.499219
C,0.499219
A,0.532799
C,0.532799
A,0.500329
C,0.500329
A,0.532323
C,0.532323
A,0.500922
C,0.500922
A,0.533443
C,0.533443
A,0.501112
C,0.501112
A,0.532621
C,0.532621
A,0.500849
C,0.500849
A,0.531240
C,0.531240
A,0.501932
C,0.501932
A,0.533090
C,0.533090
A,0.502436
C,0.502436
A,0.532332
C,0.532332
A,0.501463
C,0.501463
A,0.533062
C,0.533062
A,0.501805
C,0.501805
A,0.532530
C,0.532530
A,0.499931
C,0.499931
A,0.533242
C,0.533242
A,0.501044
C,0.501044
A,0.533347
C,0.533347
A,0.501861
C,0.501861
A,0.532003
C,0.532003
A,0.501435
C,0.501435
A,0.533002
C,0.533002
A,0.501227
C,0.501227
A,0.532878
C,0.532878
A,0.503140
C,0.503140
A,0.532782
C,0.532782
A,0.500252
C,0.500252
A,0.533247
C,0.533247
A,0.500814
C,0.500814
A,0.533719
C,0.533719
A,0.502432
C,0.502432
A,0.534109
C,0.534109
A,0.500113
C,0.500113
A,0.532878
C,0.532878
A,0.501787
C,0.501787
A,0.533562
C,0.533562
A,0.501926
C,0.501926
A,0.533327
C,0.533327
A,0.501393
C,0.501393
A,0.532695
C,0.532695
A,0.503310
C,0.503310
A,0.427443
C,0.118770
