TIC,TOC
1.925030,2.049446
2.174822,2.299197
2.424571,2.548989
2.674426,2.798864
2.924280,3.048697
3.174116,3.298531
3.423907,5.172760
5.297279,5.422738
5.547218,5.672634
5.797072,5.922468
6.046905,6.172363
6.296801,6.422240
6.546677,6.672093
6.796553,6.921970
7.046407,7.171845
7.296282,7.421762
7.546198,7.671678
7.796157,7.921678
8.046199,8.171699
8.296198,8.421678
8.546198,8.671658
8.796135,8.921616
9.046136,9.171678
9.296219,9.421740
9.546282,9.671805
9.796323,9.921825
10.046323,10.171804
10.296344,10.421907
10.546469,10.672011
10.796552,10.922115
11.046678,11.172240
11.296802,11.422387
11.546969,11.672553
11.797115,11.922678
12.047240,12.172782
12.297281,12.422824
12.547344,12.672886
12.797427,12.922949
13.047427,13.172908
13.297386,13.422907
13.547448,13.672949
13.797428,13.922907
14.047428,14.172949
14.297489,14.423032
14.547552,14.673075
14.797615,14.923116
15.047594,15.173074
15.297574,15.423053
15.547573,15.673075
15.797573,15.923095
16.047636,16.173157
16.297740,16.423303
16.547907,16.673490
16.798073,16.923657
17.048260,17.173844
17.298428,17.424012
17.548573,17.674157
17.798761,17.924346
18.048949,18.174533
18.299136,18.424741
18.549366,18.674970
18.799573,18.925177
19.049803,19.175387
19.299990,19.425574
19.550220,19.675804
19.800407,19.926033
20.050657,20.176261
20.300844,20.426428
20.550990,20.676533
20.801032,20.926512
21.051011,21.176491
21.300969,21.426428
21.550864,21.676324
21.800782,21.926219
22.050657,22.176095
22.300490,22.425907
22.550303,22.675699
22.800136,22.925574
23.050011,23.175428
23.299845,23.425303
23.549719,23.675157
23.799574,23.925033
24.049448,24.174845
24.299302,24.424720
24.549156,24.674616
24.799032,
