TIC,TOC
0.000000,0.312977
0.021179,0.333572
0.041866,0.354876
0.083261,0.396474
0.104149,0.417402
0.124676,0.438326
0.166771,0.480078
0.188436,0.480624
0.208292,0.521560
0.229878,0.542054
0.251075,0.563118
0.271890,0.584038
0.291560,0.605375
0.311898,0.625699
0.333176,0.646232
0.353883,0.667429
0.375543,0.687719
0.395502,0.709096
0.415928,0.730079
0.437121,0.750871
0.459007,0.771579
0.499977,0.792669
0.520482,0.833493
0.541292,0.854915
0.561917,0.875825
0.583108,0.896367
0.604806,0.916752
0.624847,0.938190
0.646297,0.959210
0.665942,0.979437
0.687926,1.000827
0.709037,1.020915
0.750719,1.063280
0.771157,1.084589
0.791709,1.105349
0.812815,1.126634
0.833543,1.146601
0.854005,1.167466
0.874521,1.188660
0.895645,1.208412
0.917676,1.229611
0.937660,1.250810
0.979746,1.293248
1.000118,1.312853
1.020675,1.334272
1.042191,1.354789
1.062296,1.375630
1.083266,1.396963
1.125423,1.418128
1.124664,1.438481
1.145669,1.459977
1.166319,1.480075
1.207482,1.502034
1.208496,1.521498
1.228493,1.541609
1.270493,1.584224
1.291496,1.584881
1.313747,1.626479
1.332865,1.646721
1.354991,1.667912
1.374923,1.687713
1.396123,1.709020
1.417185,1.729816
1.438123,1.750903
1.458557,1.772281
1.500742,1.813410
1.520900,1.834489
1.541413,1.855476
1.563063,1.875489
1.583401,1.896552
1.603756,1.917241
1.624715,1.938036
1.666535,
