type,peak
A,0.501198
C,0.501198
A,0.532648
C,0.532648
A,0.500571
C,0.500571
A,0.534040
C,0.534040
A,0.502493
C,0.502493
A,0.532979
C,0.532979
A,0.500763
C,0.500763
A,0.532513
C,0.532513
A,0.502132
C,0.502132
A,0.533965
C,0.533965
A,0.502238
C,0.502238
A,0.532190
C,0.532190
A,0.501552
C,0.501552
A,0.532698
C,0.532698
A,0.502088
C,0.502088
A,0.531783
C,0.531783
A,0.500679
C,0.500679
A,0.532848
C,0.532848
A,0.501600
C,0.501600
A,0.533383
C,0.533383
A,0.498814
C,0.498814
A,0.533625
C,0.533625
A,0.500953
C,0.500953
A,0.531932
C,0.531932
A,0.500953
C,0.500953
A,0.533812
C,0.533812
A,0.499438
C,0.499438
A,0.534977
C,0.534977
A,0.501264
C,0.501264
A,0.534058
C,0.534058
A,0.501070
C,0.501070
A,0.534032
C,0.534032
A,0.501516
C,0.501516
A,0.534886
C,0.534886
A,0.499799
C,0.499799
A,0.535507
C,0.535507
A,0.499729
C,0.499729
A,0.532616
C,0.532616
A,0.501235
C,0.501235
A,0.533139
C,0.533139
A,0.499440
C,0.499440
A,0.531943
C,0.531943
A,0.499968
C,0.499968
A,0.532662
C,0.532662
A,0.499849
C,0.499849
A,0.533536
C,0.533536
A,0.501821
C,0.501821
A,0.533643
C,0.533643
A,0.499508
C,0.499508
A,0.534065
C,0.534065
A,0.501762
C,0.501762
A,0.533848
C,0.533848
A,0.501879
C,0.501879
A,0.533508
C,0.533508
A,0.502310
C,0.502310
A,0.532436
C,0.532436
A,0.499782
C,0.499782
A,0.533291
C,0.533291
A,0.499968
C,0.499968
A,0.531676
C,0.531676
A,0.499872
C,0.499872
A,0.533077
C,0.533077
A,0.500998
C,0.500998
A,0.532660
C,0.532660
A,0.501768
C,0.501768
A,0.532176
C,0.532176
A,0.501195
C,0.501195
A,0.533258
C,0.533258
A,0.500197
C,0.500197
A,0.532411
C,0.532411
A,0.499604
C,0.499604
A,0.533589
C,0.533589
A,0.501746
C,0.501746
A,0.531870
C,0.531870
A,0.501695
C,0.501695
A,0.533283
C,0.533283
A,0.501250
C,0.501250
A,0.531120
C,0.531120
A,0.502334
C,0.502334
A,0.534296
C,0.534296
A,0.500108
C,0.500108
A,0.532592
C,0.532592
A,0.499709
C,0.499709
A,0.532338
C,0.532338
A,0.502059
C,0.502059
A,0.532632
C,0.532632
A,0.500714
C,0.500714
A,0.533552
C,0.533552
A,0.501972
C,0.501972
A,0.533522
C,0.533522
A,0.499520
C,0.499520
A,0.533216
C,0.533216
A,0.501480
C,0.501480
A,0.535430
C,0.535430
A,0.500991
C,0.500991
A,0.532588
C,0.532588
A,0.499760
C,0.499760
A,0.532904
C,0.532904
A,0.501634
C,0.501634
A,0.532616
C,0.532616
A,0.500417
C,0.500417
A,0.533707
C,0.533707
A,0.499816
C,0.499816
A,0.535077
C,0.535077
A,0.500399
C,0.500399
A,0.533777
C,0.533777
A,0.502163
C,0.502163
A,0.534526
C,0.534526
A,0.501428
C,0.501428
A,0.531868
C,0.531868
A,0.501465
C,0.501465
A,0.532079
C,0.532079
A,0.501941
C,0.501941
A,0.532281
C,0.532281
A,0.503936
C,0.503936
A,0.532559
C,0.532559
A,0.498813
C,0.498813
A,0.533558
C,0.533558
A,0.502908
C,0.502908
A,0.531946
C,0.531946
A,0.500951
C,0.500951
A,0.533057
C,0.533057
A,0.499516
C,0.499516
A,0.532290
C,0.532290
A,0.500019
C,0.500019
A,0.534402
C,0.534402
A,0.501308
C,0.501308
A,0.531768
C,0.531768
A,0.500921
C,0.500921
A,0.534430
C,0.534430
A,0.500463
C,0.500463
A,0.534011
C,0.534011
A,0.501240
C,0.501240
A,0.531172
C,0.531172
A,0.500338
C,0.500338
A,0.534464
C,0.534464
A,0.499730
C,0.499730
A,0.534621
C,0.534621
A,0.502521
C,0.502521
A,0.531385
C,0.531385
A,0.502244
C,0.502244
A,0.532435
C,0.532435
A,0.501067
C,0.501067
