TIC,TOC
1.925116,2.049907
2.175095,2.299887
2.425074,2.549865
2.675053,2.799844
2.925052,3.049824
3.175032,3.299823
3.425012,3.549802
3.675011,3.799802
3.924991,4.049781
4.174970,4.299761
4.424970,4.549761
4.674948,4.799740
4.924929,5.049720
5.174929,5.299719
5.424908,5.549699
5.674907,5.799678
5.924887,6.049678
6.174866,6.299657
6.424845,6.549636
6.674845,6.799615
6.924824,7.049594
7.174804,7.299573
7.424783,7.549573
7.674762,7.799553
7.924741,8.049532
8.174720,8.299511
8.424720,8.549489
8.674699,8.799489
8.924679,9.049469
9.174658,9.299448
9.424636,9.549427
9.674637,9.799428
9.924617,10.049406
10.174595,10.299386
10.424574,10.549365
10.674553,10.799344
10.924533,11.049323
11.174532,11.299303
11.424511,11.549303
11.674490,11.799282
11.924470,12.049261
12.174469,12.299261
12.424449,12.549240
12.674450,12.799220
12.924428,13.049220
13.174408,13.299198
13.424386,13.549177
13.674366,13.799157
13.924366,14.049135
14.174345,14.299136
14.424324,14.549115
14.674324,14.799093
14.924304,15.049074
15.174283,15.299073
15.424262,15.549053
15.674242,15.799031
15.924242,16.049032
16.174219,16.299011
16.424200,16.548990
16.674200,16.798969
16.924179,17.048969
17.174157,17.298949
17.424137,17.548927
17.674116,17.798907
17.924116,18.048906
18.174095,18.298886
18.424096,18.548885
18.674074,18.798864
18.924053,19.048844
19.174033,19.298823
19.424012,19.548803
19.674012,19.798803
19.923990,20.048782
20.173970,20.298761
