TIC,TOC
0.000000,0.292102
0.020121,0.334736
0.041553,0.354753
0.062181,0.375842
0.083461,0.396755
0.104339,0.417053
0.124712,0.438137
0.145757,0.459345
0.166294,0.480431
0.187433,0.501201
0.207999,0.521899
0.249264,0.563583
0.271247,0.563615
0.291210,0.604800
0.312690,0.625725
0.333368,0.647125
0.354048,0.666584
0.376547,0.688629
0.394841,0.708750
0.416307,0.729584
0.457936,0.750631
0.479427,0.791616
0.500363,0.813021
0.520479,0.834107
0.541133,0.855931
0.562278,0.875574
0.583006,0.896017
0.605590,0.917560
0.625043,0.937910
0.666764,0.980351
0.687876,1.001282
0.709088,1.021393
0.729228,1.042904
0.749938,1.062831
0.770290,1.084051
0.792373,1.105101
0.812940,1.125850
0.832864,1.167755
0.874868,1.167615
0.874801,1.188831
0.916913,1.229892
0.937811,1.250860
0.958967,1.272111
0.999726,1.292216
1.021155,1.313526
1.021720,1.334269
1.063464,1.374663
1.083717,1.375331
1.104989,1.418053
1.125895,1.437691
1.147025,1.458614
1.166413,1.480226
1.187808,1.500588
1.208480,1.521164
1.228829,1.542516
1.250162,1.562846
1.270301,1.583852
1.291054,1.604921
1.311707,1.625254
1.332648,1.646915
1.354263,1.667337
1.374471,1.687710
1.395728,1.709422
1.416247,1.730524
1.458470,1.771614
1.479383,1.792349
1.499886,1.812269
1.521876,1.833489
1.542111,1.856006
1.563237,1.875996
1.583434,1.896548
1.604466,1.918257
1.624379,
