TIC,TOC
1.925221,2.049865
2.175201,2.299844
2.425199,2.549823
2.675179,2.799825
2.925158,3.049802
3.175138,3.299782
3.425116,3.549762
3.675096,3.799740
3.925075,4.049720
4.175074,4.299719
4.425054,4.549698
4.675033,4.799678
4.925012,5.049657
5.174991,5.299637
5.424971,5.549615
5.674949,5.799595
5.924950,6.049573
6.174929,6.299553
6.424907,6.549532
6.674866,6.799510
6.924845,7.049490
7.174824,7.299469
7.424824,7.549469
7.674803,7.799449
7.924783,8.049428
8.174762,8.299407
8.424762,8.549407
8.674742,8.799386
8.924721,9.049366
9.174699,9.299344
9.424678,9.549324
9.674658,9.799303
9.924658,10.049282
10.174636,10.299261
10.424617,10.549262
10.674595,10.799240
10.924575,11.049219
11.174553,11.299199
11.424533,11.549178
11.674533,11.799178
11.924513,12.049156
12.174491,12.299137
12.424471,12.549115
12.674450,12.799095
12.924429,13.049074
13.174408,13.299053
13.424408,13.549032
13.674387,13.799011
13.924366,14.048990
14.174345,14.298991
14.424325,14.548970
14.674303,14.798949
14.924283,15.048928
15.174262,15.298907
15.424241,15.548886
15.674241,15.798886
15.924220,16.048865
16.174199,16.298845
16.424179,16.548824
16.674179,16.798824
16.924158,17.048781
17.174137,17.298782
17.424116,17.548762
17.674095,17.798740
17.924075,18.048720
18.174075,18.298699
18.424033,18.548678
18.674033,18.798657
18.924012,19.048657
19.173992,19.298636
19.423970,19.548616
19.673949,19.798595
19.923950,20.048594
20.173929,20.298574
20.423908,20.548553
