type,peak
A,0.474351
C,0.474351
A,0.503920
C,0.503920
A,0.474398
C,0.474398
A,0.505651
C,0.505651
A,0.474257
C,0.474257
A,0.503476
C,0.503476
A,0.474533
C,0.474533
A,0.504269
C,0.504269
A,0.475518
C,0.475518
A,0.504156
C,0.504156
A,0.476576
C,0.476576
A,0.507691
C,0.507691
A,0.473574
C,0.473574
A,0.505582
C,0.505582
A,0.476461
C,0.476461
A,0.505116
C,0.505116
A,0.475274
C,0.475274
A,0.505169
C,0.505169
A,0.474827
C,0.474827
A,0.504486
C,0.504486
A,0.475131
C,0.475131
A,0.506235
C,0.506235
A,0.474784
C,0.474784
A,0.504156
C,0.504156
A,0.473646
C,0.473646
A,0.506002
C,0.506002
A,0.474014
C,0.474014
A,0.504964
C,0.504964
A,0.473996
C,0.473996
A,0.505357
C,0.505357
A,0.475003
C,0.475003
A,0.504598
C,0.504598
A,0.474627
C,0.474627
A,0.503399
C,0.503399
A,0.475009
C,0.475009
A,0.504888
C,0.504888
A,0.474905
C,0.474905
A,0.505090
C,0.505090
A,0.473732
C,0.473732
A,0.504666
C,0.504666
A,0.474026
C,0.474026
A,0.507109
C,0.507109
A,0.474470
C,0.474470
A,0.504370
C,0.504370
A,0.475898
C,0.475898
A,0.504671
C,0.504671
A,0.473141
C,0.473141
A,0.504124
C,0.504124
A,0.475324
C,0.475324
A,0.504133
C,0.504133
A,0.475239
C,0.475239
A,0.505170
C,0.505170
A,0.474634
C,0.474634
A,0.504209
C,0.504209
A,0.474885
C,0.474885
A,0.504906
C,0.504906
A,0.474349
C,0.474349
A,0.504980
C,0.504980
A,0.474976
C,0.474976
A,0.504638
C,0.504638
A,0.475302
C,0.475302
A,0.505075
C,0.505075
A,0.474479
C,0.474479
A,0.505521
C,0.505521
A,0.474875
C,0.474875
A,0.504341
C,0.504341
A,0.474642
C,0.474642
A,0.504801
C,0.504801
A,0.476069
C,0.476069
A,0.506839
C,0.506839
A,0.474305
C,0.474305
A,0.505528
C,0.505528
A,0.474799
C,0.474799
A,0.504501
C,0.504501
A,0.474317
C,0.474317
A,0.506518
C,0.506518
A,0.472795
C,0.472795
A,0.505717
C,0.505717
A,0.474223
C,0.474223
A,0.506237
C,0.506237
A,0.474838
C,0.474838
A,0.505367
C,0.505367
A,0.474735
C,0.474735
A,0.504012
C,0.504012
A,0.473807
C,0.473807
A,0.505307
C,0.505307
A,0.474589
C,0.474589
A,0.504830
C,0.504830
A,0.474842
C,0.474842
A,0.506506
C,0.506506
A,0.476142
C,0.476142
A,0.503839
C,0.503839
A,0.474454
C,0.474454
A,0.504162
C,0.504162
A,0.475203
C,0.475203
A,0.504591
C,0.504591
A,0.474471
C,0.474471
A,0.505970
C,0.505970
A,0.473198
C,0.473198
A,0.506156
C,0.506156
A,0.474236
C,0.474236
A,0.505737
C,0.505737
A,0.474167
C,0.474167
A,0.503345
C,0.503345
A,0.473672
C,0.473672
A,0.505802
C,0.505802
A,0.475030
C,0.475030
A,0.504318
C,0.504318
A,0.476022
C,0.476022
A,0.504836
C,0.504836
A,0.473782
C,0.473782
A,0.503924
C,0.503924
A,0.473084
C,0.473084
A,0.505479
C,0.505479
A,0.475174
C,0.475174
A,0.504011
C,0.504011
A,0.475773
C,0.475773
A,0.505963
C,0.505963
A,0.475514
C,0.475514
A,0.505540
C,0.505540
A,0.475423
C,0.475423
A,0.504323
C,0.504323
A,0.475565
C,0.475565
A,0.505259
C,0.505259
A,0.474390
C,0.474390
A,0.505419
C,0.505419
A,0.476251
C,0.476251
A,0.504316
C,0.504316
A,0.476130
C,0.476130
A,0.504757
C,0.504757
A,0.474792
C,0.474792
A,0.505940
C,0.505940
A,0.474704
C,0.474704
A,0.505555
C,0.505555
A,0.473382
C,0.473382
A,0.505071
C,0.505071
A,0.476427
C,0.476427
A,0.506825
C,0.506825
A,0.475650
C,0.475650
A,0.504742
C,0.504742
A,0.474700
C,0.474700
A,0.503732
C,0.503732
A,0.473755
C,0.473755
