type,peak
A,0.474137
C,0.474137
A,0.505514
C,0.505514
A,0.475426
C,0.475426
A,0.506053
C,0.506053
A,0.475281
C,0.475281
A,0.503964
C,0.503964
A,0.477124
C,0.477124
A,0.505407
C,0.505407
A,0.474796
C,0.474796
A,0.506743
C,0.506743
A,0.474598
C,0.474598
A,0.505132
C,0.505132
A,0.473733
C,0.473733
A,0.504591
C,0.504591
A,0.474726
C,0.474726
A,0.505880
C,0.505880
A,0.473842
C,0.473842
A,0.504915
C,0.504915
A,0.474150
C,0.474150
A,0.506399
C,0.506399
A,0.474881
C,0.474881
A,0.504732
C,0.504732
A,0.474914
C,0.474914
A,0.504993
C,0.504993
A,0.474296
C,0.474296
A,0.506457
C,0.506457
A,0.474682
C,0.474682
A,0.506851
C,0.506851
A,0.475634
C,0.475634
A,0.505167
C,0.505167
A,0.475399
C,0.475399
A,0.505434
C,0.505434
A,0.475973
C,0.475973
A,0.504477
C,0.504477
A,0.474656
C,0.474656
A,0.504128
C,0.504128
A,0.475961
C,0.475961
A,0.503009
C,0.503009
A,0.475596
C,0.475596
A,0.503745
C,0.503745
A,0.475030
C,0.475030
A,0.504146
C,0.504146
A,0.475302
C,0.475302
A,0.505274
C,0.505274
A,0.473930
C,0.473930
A,0.505964
C,0.505964
A,0.476496
C,0.476496
A,0.504103
C,0.504103
A,0.474419
C,0.474419
A,0.505151
C,0.505151
A,0.474551
C,0.474551
A,0.504781
C,0.504781
A,0.473595
C,0.473595
A,0.504465
C,0.504465
A,0.475719
C,0.475719
A,0.503842
C,0.503842
A,0.473650
C,0.473650
A,0.505673
C,0.505673
A,0.474642
C,0.474642
A,0.505081
C,0.505081
A,0.474463
C,0.474463
A,0.503895
C,0.503895
A,0.475999
C,0.475999
A,0.505535
C,0.505535
A,0.473111
C,0.473111
A,0.504568
C,0.504568
A,0.474738
C,0.474738
A,0.504995
C,0.504995
A,0.474582
C,0.474582
A,0.503341
C,0.503341
A,0.474938
C,0.474938
A,0.505701
C,0.505701
A,0.475746
C,0.475746
A,0.504493
C,0.504493
A,0.475129
C,0.475129
A,0.505899
C,0.505899
A,0.474788
C,0.474788
A,0.504656
C,0.504656
A,0.475440
C,0.475440
A,0.504635
C,0.504635
A,0.475914
C,0.475914
A,0.506346
C,0.506346
A,0.476388
C,0.476388
A,0.504630
C,0.504630
A,0.473688
C,0.473688
A,0.505176
C,0.505176
A,0.473893
C,0.473893
A,0.504480
C,0.504480
A,0.476571
C,0.476571
A,0.505737
C,0.505737
A,0.475514
C,0.475514
A,0.506071
C,0.506071
A,0.474016
C,0.474016
A,0.504183
C,0.504183
A,0.474165
C,0.474165
A,0.505495
C,0.505495
A,0.472937
C,0.472937
A,0.505250
C,0.505250
A,0.475060
C,0.475060
A,0.505353
C,0.505353
A,0.474234
C,0.474234
A,0.503998
C,0.503998
A,0.474952
C,0.474952
A,0.505000
C,0.505000
A,0.473412
C,0.473412
A,0.506162
C,0.506162
A,0.475250
C,0.475250
A,0.504584
C,0.504584
A,0.474084
C,0.474084
A,0.504757
C,0.504757
A,0.473952
C,0.473952
A,0.505063
C,0.505063
A,0.475790
C,0.475790
A,0.505631
C,0.505631
A,0.475575
C,0.475575
A,0.505459
C,0.505459
A,0.474088
C,0.474088
A,0.502707
C,0.502707
A,0.473412
C,0.473412
A,0.504387
C,0.504387
A,0.474780
C,0.474780
A,0.505583
C,0.505583
A,0.473950
C,0.473950
A,0.504763
C,0.504763
A,0.474528
C,0.474528
A,0.507341
C,0.507341
A,0.473619
C,0.473619
A,0.504590
C,0.504590
A,0.475389
C,0.475389
A,0.505071
C,0.505071
A,0.475087
C,0.475087
A,0.503046
C,0.503046
A,0.475414
C,0.475414
A,0.505364
C,0.505364
A,0.475319
C,0.475319
A,0.506117
C,0.506117
A,0.474393
C,0.474393
A,0.504782
C,0.504782
A,0.475091
C,0.475091
A,0.505123
C,0.505123
A,0.475655
C,0.475655
A,0.504991
C,0.504991
A,0.475263
C,0.475263
A,0.504147
C,0.504147
A,0.476754
C,0.476754
A,0.505868
C,0.505868
A,0.474571
C,0.474571
A,0.504548
C,0.504548
A,0.474186
C,0.474186
A,0.505869
C,0.505869
A,0.475242
C,0.475242
A,0.505286
C,0.505286
A,0.474170
C,0.474170
A,0.506247
C,0.506247
A,0.473878
C,0.473878
A,0.503459
C,0.503459
A,0.475812
C,0.475812
A,0.504910
C,0.504910
A,0.474914
C,0.474914
A,0.504244
C,0.504244
A,0.474836
C,0.474836
A,0.503498
C,0.503498
A,0.475720
C,0.475720
A,0.504798
C,0.504798
A,0.473228
C,0.473228
A,0.504687
C,0.504687
A,0.475252
C,0.475252
A,0.506305
C,0.506305
A,0.477457
C,0.477457
A,0.504370
C,0.504370
A,0.474504
C,0.474504
A,0.505014
C,0.505014
A,0.476098
C,0.476098
A,0.504943
C,0.504943
A,0.474674
C,0.474674
A,0.505338
C,0.505338
A,0.473947
C,0.473947
