TIC,TOC
0.000000,0.416342
-0.022438,0.375433
-0.063038,0.332916
-0.105271,0.291623
-0.146425,0.270768
-0.167338,0.229349
-0.188342,0.228811
-0.188055,0.249620
-0.167458,0.270678
-0.125376,0.312593
-0.083730,0.353944
-0.041763,0.396162
-0.001126,0.416377
-0.000985,0.437990
-0.000568,0.416136
-0.000792,0.395857
-0.042633,0.353277
-0.083884,0.312557
-0.125384,0.270982
-0.166594,0.251042
-0.187560,0.229557
-0.187790,0.250011
-0.167051,0.270859
-0.126044,0.312550
-0.103716,0.353812
-0.063090,0.374738
-0.021813,0.416522
-0.000718,0.416708
-0.000639,0.416151
-0.021639,0.374951
-0.062819,0.333260
-0.104740,0.291476
-0.147204,0.249044
-0.167733,0.229046
-0.188594,0.229322
-0.187750,0.250462
-0.166329,0.270761
-0.125482,0.312288
-0.083774,0.354347
-0.042397,0.396493
-0.021666,0.416253
-0.001050,0.416309
-0.001434,0.417499
-0.021958,0.374515
-0.062729,0.333389
-0.104597,0.291665
-0.146205,0.271080
-0.166454,0.249557
-0.188026,0.229786
-0.189036,0.250787
-0.146930,0.271034
-0.126328,0.312881
-0.084624,0.354286
-0.042810,0.396403
0.000071,0.416826
-0.000560,0.416725
-0.000708,0.417200
-0.022106,0.375419
-0.063897,0.354287
-0.104567,0.311213
-0.125870,0.271196
-0.167243,0.250517
-0.167572,0.249985
-0.167312,0.270208
-0.146384,0.291926
-0.105139,0.333275
-0.062960,0.395231
-0.021661,0.416626
0.020349,0.459137
0.040983,0.457873
0.019750,0.437027
-0.000965,0.395765
-0.042696,0.354236
-0.083573,0.311987
-0.125693,0.291245
-0.146900,0.271057
-0.167120,0.249513
-0.167529,0.270004
-0.125465,0.311761
-0.104682,0.353580
-0.042567,0.395475
-0.022052,0.416589
0.019754,0.437216
0.020033,0.437350
0.021206,0.437366
-0.001168,0.395882
-0.042620,0.354531
-0.083048,0.312533
-0.126129,0.270953
-0.146227,0.249925
-0.167140,0.250350
-0.146502,0.270787
-0.126016,0.312364
-0.104585,0.333417
-0.063622,
