type,peak
A,0.473601
C,0.473601
A,0.505471
C,0.505471
A,0.472538
C,0.472538
A,0.502193
C,0.502193
A,0.473672
C,0.473672
A,0.502171
C,0.502171
A,0.474053
C,0.474053
A,0.503857
C,0.503857
A,0.474876
C,0.474876
A,0.505081
C,0.505081
A,0.473047
C,0.473047
A,0.505417
C,0.505417
A,0.474042
C,0.474042
A,0.505434
C,0.505434
A,0.474738
C,0.474738
A,0.505036
C,0.505036
A,0.475143
C,0.475143
A,0.503896
C,0.503896
A,0.474362
C,0.474362
A,0.504094
C,0.504094
A,0.474051
C,0.474051
A,0.504127
C,0.504127
A,0.475735
C,0.475735
A,0.505532
C,0.505532
A,0.473946
C,0.473946
A,0.505741
C,0.505741
A,0.474125
C,0.474125
A,0.504277
C,0.504277
A,0.473724
C,0.473724
A,0.504955
C,0.504955
A,0.470746
C,0.470746
A,0.504702
C,0.504702
A,0.475318
C,0.475318
A,0.505071
C,0.505071
A,0.473693
C,0.473693
A,0.504787
C,0.504787
A,0.474884
C,0.474884
A,0.504713
C,0.504713
A,0.474954
C,0.474954
A,0.505370
C,0.505370
A,0.474326
C,0.474326
A,0.504499
C,0.504499
A,0.475369
C,0.475369
A,0.503877
C,0.503877
A,0.474405
C,0.474405
A,0.506030
C,0.506030
A,0.472862
C,0.472862
A,0.503021
C,0.503021
A,0.475469
C,0.475469
A,0.506157
C,0.506157
A,0.475312
C,0.475312
A,0.505875
C,0.505875
A,0.474275
C,0.474275
A,0.503198
C,0.503198
A,0.474922
C,0.474922
A,0.502530
C,0.502530
A,0.474260
C,0.474260
A,0.504910
C,0.504910
A,0.473349
C,0.473349
A,0.503160
C,0.503160
A,0.475382
C,0.475382
A,0.503678
C,0.503678
A,0.475547
C,0.475547
A,0.504354
C,0.504354
A,0.474393
C,0.474393
A,0.503585
C,0.503585
A,0.476415
C,0.476415
A,0.504629
C,0.504629
A,0.472352
C,0.472352
A,0.505595
C,0.505595
A,0.474703
C,0.474703
A,0.504881
C,0.504881
A,0.474925
C,0.474925
A,0.505193
C,0.505193
A,0.474355
C,0.474355
A,0.505404
C,0.505404
A,0.474961
C,0.474961
A,0.505537
C,0.505537
A,0.474521
C,0.474521
A,0.506132
C,0.506132
A,0.473338
C,0.473338
A,0.504832
C,0.504832
A,0.474240
C,0.474240
A,0.504919
C,0.504919
A,0.474615
C,0.474615
A,0.505407
C,0.505407
A,0.474079
C,0.474079
A,0.505267
C,0.505267
A,0.475348
C,0.475348
A,0.503303
C,0.503303
A,0.474289
C,0.474289
A,0.504281
C,0.504281
A,0.473603
C,0.473603
A,0.503695
C,0.503695
A,0.474974
C,0.474974
A,0.503137
C,0.503137
A,0.474471
C,0.474471
A,0.503304
C,0.503304
A,0.473643
C,0.473643
A,0.505100
C,0.505100
A,0.473227
C,0.473227
A,0.504672
C,0.504672
A,0.474014
C,0.474014
A,0.505755
C,0.505755
A,0.474250
C,0.474250
A,0.505190
C,0.505190
A,0.475512
C,0.475512
A,0.503892
C,0.503892
A,0.473369
C,0.473369
A,0.504130
C,0.504130
A,0.473662
C,0.473662
A,0.504234
C,0.504234
A,0.473035
C,0.473035
A,0.504002
C,0.504002
A,0.475551
C,0.475551
A,0.503953
C,0.503953
A,0.474803
C,0.474803
A,0.504126
C,0.504126
A,0.473904
C,0.473904
A,0.504689
C,0.504689
A,0.474391
C,0.474391
A,0.503254
C,0.503254
A,0.473598
C,0.473598
A,0.505144
C,0.505144
A,0.472960
C,0.472960
A,0.503955
C,0.503955
A,0.474475
C,0.474475
A,0.503654
C,0.503654
A,0.472728
C,0.472728
A,0.504467
C,0.504467
A,0.473977
C,0.473977
A,0.502373
C,0.502373
A,0.474572
C,0.474572
A,0.503501
C,0.503501
A,0.474474
C,0.474474
A,0.504456
C,0.504456
A,0.475782
C,0.475782
A,0.505348
C,0.505348
A,0.475117
C,0.475117
A,0.505571
C,0.505571
A,0.474961
C,0.474961
A,0.505734
C,0.505734
A,0.476059
C,0.476059
A,0.503219
C,0.503219
A,0.475579
C,0.475579
A,0.502645
C,0.502645
A,0.473041
C,0.473041
A,0.504559
C,0.504559
A,0.472710
C,0.472710
A,0.505310
C,0.505310
A,0.474346
C,0.474346
A,0.502677
C,0.502677
A,0.473468
C,0.473468
A,0.505136
C,0.505136
A,0.472924
C,0.472924
A,0.504348
C,0.504348
A,0.472079
C,0.472079
A,0.504756
C,0.504756
A,0.474222
C,0.474222
A,0.504959
C,0.504959
A,0.475936
C,0.475936
A,0.503611
C,0.503611
A,0.475214
C,0.475214
A,0.504233
C,0.504233
