type,peak
A,0.504600
C,0.504600
A,0.417704
C,0.212582
A,0.502407
C,0.502407
A,0.416318
C,0.211637
A,0.503617
C,0.503617
A,0.417583
C,0.212449
A,0.503315
C,0.503315
A,0.416789
C,0.212853
A,0.502575
C,0.502575
A,0.416769
C,0.212516
A,0.504297
C,0.504297
A,0.415858
C,0.212744
A,0.504003
C,0.504003
A,0.416263
C,0.211995
A,0.505088
C,0.505088
A,0.415322
C,0.214764
A,0.505216
C,0.505216
A,0.417110
C,0.212887
A,0.503936
C,0.503936
A,0.414881
C,0.213843
A,0.504680
C,0.504680
A,0.415555
C,0.213448
A,0.503824
C,0.503824
A,0.417890
C,0.212992
A,0.504959
C,0.504959
A,0.418021
C,0.213178
A,0.504618
C,0.504618
A,0.417392
C,0.213507
A,0.505307
C,0.505307
A,0.415059
C,0.212761
A,0.504039
C,0.504039
A,0.417448
C,0.212245
A,0.505843
C,0.505843
A,0.418038
C,0.212039
A,0.503967
C,0.503967
A,0.417146
C,0.211992
A,0.505215
C,0.505215
A,0.418133
C,0.213784
A,0.503625
C,0.503625
A,0.416714
C,0.213213
A,0.503862
C,0.503862
A,0.417876
C,0.211613
A,0.503969
C,0.503969
A,0.417022
C,0.213674
A,0.505403
C,0.505403
A,0.415252
C,0.212618
A,0.504625
C,0.504625
A,0.417603
C,0.214235
A,0.502141
C,0.502141
A,0.417152
C,0.213404
A,0.503331
C,0.503331
A,0.416182
C,0.213385
A,0.504119
C,0.504119
A,0.414066
C,0.212327
A,0.502748
C,0.502748
A,0.417036
C,0.212467
A,0.503540
C,0.503540
A,0.415647
C,0.214240
A,0.504694
C,0.504694
A,0.415784
C,0.212862
A,0.503168
C,0.503168
A,0.417433
C,0.215611
A,0.504913
C,0.504913
A,0.418085
C,0.212376
A,0.503761
C,0.503761
A,0.415717
C,0.213022
A,0.505098
C,0.505098
A,0.416152
C,0.213724
A,0.503704
C,0.503704
A,0.415216
C,0.212800
A,0.504999
C,0.504999
A,0.417309
C,0.213451
A,0.504784
C,0.504784
A,0.414097
C,0.213085
A,0.505164
C,0.505164
A,0.415440
C,0.213601
A,0.504025
C,0.504025
A,0.416961
C,0.212615
A,0.503097
C,0.503097
A,0.416127
C,0.212300
A,0.504946
C,0.504946
A,0.417630
C,0.213393
A,0.504734
C,0.504734
A,0.415711
C,0.214306
A,0.503423
C,0.503423
A,0.414147
C,0.213695
A,0.505353
C,0.505353
A,0.416718
C,0.212406
A,0.506311
C,0.506311
A,0.416552
C,0.212994
A,0.503848
C,0.503848
A,0.416818
C,0.212862
A,0.504552
C,0.504552
A,0.418271
C,0.213123
A,0.506088
C,0.506088
A,0.416551
C,0.212928
A,0.504923
C,0.504923
A,0.416780
C,0.213394
A,0.505029
C,0.505029
A,0.416673
C,0.212540
A,0.503572
C,0.503572
A,0.414066
C,0.214375
A,0.503095
C,0.503095
A,0.416662
C,0.213289
A,0.505295
C,0.505295
A,0.414564
C,0.212372
A,0.505032
C,0.505032
A,0.416536
C,0.211719
A,0.504696
C,0.504696
A,0.417633
C,0.211439
A,0.504658
C,0.504658
A,0.416255
C,0.212148
A,0.504132
C,0.504132
A,0.416607
C,0.211294
A,0.504287
C,0.504287
A,0.414818
C,0.213695
A,0.503840
C,0.503840
A,0.416789
C,0.213698
A,0.503655
C,0.503655
A,0.416196
C,0.212536
A,0.504201
C,0.504201
A,0.415705
C,0.214336
A,0.503911
C,0.503911
A,0.416007
