type,peak
A,0.504121
C,0.504121
A,0.416944
C,0.214307
A,0.504049
C,0.504049
A,0.417687
C,0.212476
A,0.506074
C,0.506074
A,0.416318
C,0.211376
A,0.502818
C,0.502818
A,0.417447
C,0.214002
A,0.504975
C,0.504975
A,0.416409
C,0.213260
A,0.505297
C,0.505297
A,0.417177
C,0.213224
A,0.505493
C,0.505493
A,0.417340
C,0.212006
A,0.503835
C,0.503835
A,0.416488
C,0.214084
A,0.505028
C,0.505028
A,0.417954
C,0.212086
A,0.504895
C,0.504895
A,0.416183
C,0.211543
A,0.503660
C,0.503660
A,0.416386
C,0.212548
A,0.503778
C,0.503778
A,0.416889
C,0.212339
A,0.504428
C,0.504428
A,0.417177
C,0.213454
A,0.503324
C,0.503324
A,0.416443
C,0.214721
A,0.505242
C,0.505242
A,0.416031
C,0.213459
A,0.503629
C,0.503629
A,0.416284
C,0.213252
A,0.504087
C,0.504087
A,0.416999
C,0.214339
A,0.505785
C,0.505785
A,0.415769
C,0.213461
A,0.505800
C,0.505800
A,0.416645
C,0.213181
A,0.504287
C,0.504287
A,0.417172
C,0.214037
A,0.503797
C,0.503797
A,0.415780
C,0.211774
A,0.503118
C,0.503118
A,0.415405
C,0.212830
A,0.503454
C,0.503454
A,0.416899
C,0.212792
A,0.503794
C,0.503794
A,0.416468
C,0.213553
A,0.505186
C,0.505186
A,0.417402
C,0.212069
A,0.505606
C,0.505606
A,0.418342
C,0.212632
A,0.503942
C,0.503942
A,0.417075
C,0.212133
A,0.503802
C,0.503802
A,0.416817
C,0.212677
A,0.505626
C,0.505626
A,0.417555
C,0.213174
A,0.504619
C,0.504619
A,0.417014
C,0.210936
A,0.503598
C,0.503598
A,0.416523
C,0.214001
A,0.502998
C,0.502998
A,0.417181
C,0.212069
A,0.503806
C,0.503806
A,0.417324
C,0.213066
A,0.502443
C,0.502443
A,0.416695
C,0.212986
A,0.505646
C,0.505646
A,0.416250
C,0.212445
A,0.504432
C,0.504432
A,0.416691
C,0.212419
A,0.505524
C,0.505524
A,0.416125
C,0.214792
A,0.504278
C,0.504278
A,0.416648
C,0.212733
A,0.505220
C,0.505220
A,0.417016
C,0.212802
A,0.505116
C,0.505116
A,0.416410
C,0.213983
A,0.506528
C,0.506528
A,0.418068
C,0.213323
A,0.503717
C,0.503717
A,0.416674
C,0.212273
A,0.505576
C,0.505576
A,0.415774
C,0.213461
A,0.505366
C,0.505366
A,0.416540
C,0.212096
A,0.504709
C,0.504709
A,0.417939
C,0.213285
A,0.503364
C,0.503364
A,0.416945
C,0.211679
A,0.505455
C,0.505455
A,0.416777
C,0.214362
A,0.504323
C,0.504323
A,0.417836
C,0.212329
A,0.503836
C,0.503836
A,0.417854
C,0.213631
A,0.504655
C,0.504655
A,0.418259
C,0.211844
A,0.503805
C,0.503805
A,0.418024
C,0.213849
A,0.504556
C,0.504556
A,0.416262
C,0.212843
A,0.503061
C,0.503061
A,0.415154
C,0.214018
A,0.504192
C,0.504192
A,0.418455
C,0.213920
A,0.505637
C,0.505637
A,0.417720
C,0.213890
A,0.503765
C,0.503765
A,0.415698
C,0.212725
A,0.504363
C,0.504363
A,0.419030
C,0.213579
A,0.503189
C,0.503189
A,0.417186
C,0.213119
A,0.505457
C,0.505457
A,0.417490
C,0.212386
A,0.504441
C,0.504441
A,0.416599
C,0.214408
A,0.504419
C,0.504419
A,0.416445
C,0.213202
A,0.502319
C,0.502319
A,0.417017
C,0.213222
A,0.504838
C,0.504838
A,0.414657
C,0.214164
A,0.504765
C,0.504765
A,0.418184
C,0.211853
A,0.503049
C,0.503049
A,0.416763
C,0.214130
A,0.505491
C,0.505491
A,0.419022
C,0.212021
A,0.505211
C,0.505211
A,0.416027
C,0.212197
A,0.505409
C,0.505409
A,0.416092
C,0.214898
A,0.503073
C,0.503073
A,0.417326
C,0.213861
A,0.503366
C,0.503366
A,0.418610
C,0.213690
A,0.505740
C,0.505740
A,0.415351
C,0.211968
A,0.505540
C,0.505540
A,0.416381
C,0.214350
A,0.504064
C,0.504064
A,0.418199
C,0.214126
A,0.504499
C,0.504499
A,0.416608
C,0.213340
A,0.504961
C,0.504961
A,0.417938
C,0.213043
A,0.504683
C,0.504683
A,0.416383
C,0.212256
A,0.506039
C,0.506039
A,0.417469
C,0.213494
A,0.504676
C,0.504676
A,0.418409
C,0.213907
A,0.503599
C,0.503599
A,0.417366
C,0.213498
A,0.504099
C,0.504099
A,0.415871
C,0.211809
A,0.505111
C,0.505111
A,0.417356
C,0.211417
A,0.504617
C,0.504617
A,0.418520
C,0.212599
A,0.504050
C,0.504050
A,0.417957
C,0.212751
A,0.503305
C,0.503305
A,0.417943
C,0.210711
A,0.504218
C,0.504218
A,0.415867
C,0.214571
A,0.506194
C,0.506194
A,0.416971
C,0.212827
A,0.505314
C,0.505314
A,0.416718
C,0.212691
A,0.502682
C,0.502682
A,0.417977
C,0.212968
A,0.503664
C,0.503664
A,0.417854
C,0.212547
A,0.505190
C,0.505190
A,0.417240
C,0.214786
A,0.503289
C,0.503289
A,0.417605
C,0.211208
A,0.502450
C,0.502450
A,0.417932
C,0.212952
A,0.504884
C,0.504884
A,0.416723
C,0.211516
A,0.503444
C,0.503444
A,0.418666
C,0.211104
A,0.504298
C,0.504298
A,0.417491
C,0.213323
A,0.505114
C,0.505114
A,0.416333
C,0.213297
A,0.505051
C,0.505051
A,0.418361
C,0.214191
A,0.504039
C,0.504039
A,0.416326
C,0.212500
A,0.502094
C,0.502094
A,0.415464
C,0.213718
A,0.504791
C,0.504791
A,0.418123
C,0.213037
A,0.504897
C,0.504897
A,0.418038
C,0.213220
A,0.503953
C,0.503953
A,0.416895
C,0.212677
A,0.503981
C,0.503981
A,0.416768
C,0.211779
A,0.505564
C,0.505564
A,0.417224
C,0.213130
A,0.503983
C,0.503983
A,0.417435
C,0.213936
A,0.504399
C,0.504399
A,0.415455
C,0.212703
A,0.505821
C,0.505821
A,0.417106
C,0.214012
A,0.504476
C,0.504476
A,0.417692
C,0.212783
A,0.505435
C,0.505435
A,0.415245
C,0.213203
A,0.503593
C,0.503593
A,0.415865
C,0.213029
A,0.504536
C,0.504536
A,0.417370
C,0.211217
A,0.505676
C,0.505676
A,0.416223
C,0.213268
A,0.504421
C,0.504421
A,0.416598
C,0.212169
A,0.504207
C,0.504207
A,0.415492
C,0.213496
A,0.505767
C,0.505767
A,0.413585
C,0.212944
A,0.505473
C,0.505473
A,0.414773
C,0.211788
A,0.504900
C,0.504900
A,0.415590
C,0.213249
A,0.502882
C,0.502882
A,0.418395
C,0.214542
A,0.505768
C,0.505768
A,0.416068
C,0.214298
A,0.503446
C,0.503446
A,0.417022
C,0.212138
