TIC,TOC
0.000000,0.311486
0.020545,0.333888
0.020102,0.353677
0.040070,0.374693
0.061755,0.395483
0.082459,0.416562
0.103189,0.416596
0.124938,0.436337
0.144737,0.457936
0.165390,0.478686
0.186039,0.499955
0.207856,0.520562
0.228268,0.541264
0.248873,0.562963
0.270066,0.582550
0.290284,0.603984
0.311962,0.624949
0.331958,0.645170
0.354087,0.666814
0.375099,0.687605
0.395162,0.729109
0.416082,0.749473
0.435675,0.770088
0.477878,0.791422
0.499351,0.812249
0.519521,0.832946
0.540759,0.874581
0.561319,0.895683
0.582188,0.916114
0.603556,0.936792
0.644815,0.978960
0.665889,0.999466
0.685739,1.020999
0.727763,1.041627
0.748844,1.082726
0.790718,1.124489
0.811577,1.145085
0.853557,1.187936
0.874352,1.207759
0.914918,1.249919
0.957757,1.292409
0.998548,1.332549
1.019978,1.354257
1.062056,1.395199
1.103320,1.437688
1.144529,1.479082
1.186900,1.541026
1.249075,1.561808
1.270359,1.603693
1.311687,1.645918
1.353645,1.709021
1.415359,1.750303
1.457080,1.790877
1.499577,1.833564
1.561771,1.895083
1.602699,1.938016
1.644718,1.999459
1.707120,2.041862
1.749236,2.103624
1.811390,2.145578
1.853876,2.207515
1.916027,2.270065
1.978072,2.333501
2.040756,2.395863
2.103192,2.458699
2.165645,2.520837
2.228069,2.583238
2.291182,2.646272
2.353095,2.707542
2.416426,2.770930
2.499488,2.853303
2.562370,2.916417
2.623816,2.979268
2.708104,3.061976
2.769994,3.125050
2.853307,3.207341
2.936767,3.290367
2.998850,3.353540
3.082770,3.437100
3.165151,3.520469
3.249013,3.603957
3.332024,3.687136
3.415763,3.770885
3.499699,3.854348
3.582207,3.937026
3.665565,4.021179
3.749588,4.103927
3.853330,4.207651
3.936820,4.290726
4.040783,4.395469
4.124240,4.499195
4.227990,4.603645
4.331863,4.687159
4.436463,4.791975
4.519710,4.896071
4.644715,4.999863
4.748655,5.103416
4.832668,5.208077
4.957185,5.312194
5.061430,5.437062
5.166162,5.541304
5.290454,5.666374
5.395293,5.771111
5.519269,5.895901
5.623443,6.000503
5.748454,6.125067
5.873536,6.249918
5.998855,6.395623
6.144384,6.520286
6.270373,6.645229
6.394551,6.769628
6.519711,
