TIC,TOC
1.799844,1.925033
2.049823,2.175012
2.299782,2.424971
2.549762,2.674950
2.799741,2.924928
3.049719,3.174907
3.299698,3.424887
3.549677,3.674866
3.799658,3.924845
4.049636,4.174825
4.299594,4.424783
4.549574,4.674762
4.799553,4.924761
5.049553,5.174742
5.299532,5.424720
5.549490,5.674699
5.799491,5.924658
6.013635,6.174637
6.299427,6.424616
6.539394,6.674595
6.799385,6.924574
7.049365,7.174553
7.299345,7.424533
7.549323,7.674491
7.799282,7.924469
8.038928,8.174450
8.299240,8.424429
8.549219,8.674408
8.799198,8.914673
9.049157,9.174346
9.299136,9.424325
9.549115,9.674303
9.799094,9.924283
10.049074,10.174263
10.299053,10.424241
10.549032,10.674220
10.799011,10.924199
11.048990,11.174179
11.267894,11.424157
11.548928,11.674138
11.798907,11.924116
12.048886,12.174074
12.298864,12.424054
12.548844,12.639058
12.798823,12.924011
13.048803,13.173991
13.298781,13.423971
13.548761,13.673949
13.798741,13.923928
14.048699,14.173887
14.298679,14.423867
14.548678,14.673866
14.783289,14.923825
15.018981,15.173804
15.298593,15.423783
15.548574,15.673761
15.798553,15.923741
16.048533,16.173720
16.298511,16.423700
16.548469,16.673679
16.798448,16.923637
17.048428,17.173615
17.262115,17.383274
17.548407,17.673595
17.798386,17.923574
18.048344,18.173532
18.298324,18.405694
18.548303,18.673512
18.798282,18.923471
19.048261,19.143609
19.298240,19.423428
19.548219,19.673407
19.798199,19.923387
20.048178,20.173366
20.277782,20.423345
20.548137,20.673325
20.798115,20.923303
21.048094,21.173283
21.298074,21.423262
21.548053,21.673242
21.798032,21.923221
22.048011,22.173199
22.297970,22.423178
22.547969,22.673158
22.797948,22.923137
23.047928,23.173116
23.297907,23.423095
23.528471,23.673074
23.797845,23.923033
