TIC,TOC
2.674699,2.799594
2.924657,3.049573
3.174615,3.299531
3.424594,3.549490
3.674553,3.799448
3.924512,4.049427
4.174470,4.299364
4.424428,4.549323
4.674386,4.799302
4.924345,5.036521
5.174323,5.299219
5.424282,5.549178
5.674240,5.799157
5.924200,6.049115
6.174158,6.299073
6.424116,6.549031
6.674074,6.798990
6.924032,7.048949
7.173991,7.298907
7.423949,7.548866
7.673907,7.798824
7.923887,8.048803
8.173845,8.298761
8.403721,8.548719
8.673783,8.798678
8.923740,9.048636
9.173699,9.298616
9.423657,9.548574
9.673636,9.784344
9.923594,10.048490
10.173553,10.298469
10.423512,10.548427
10.673470,10.798385
10.923428,11.048344
11.173386,11.298302
11.423365,11.517666
11.673324,11.798219
11.923282,12.048178
12.161022,12.298135
12.423199,12.548095
12.673157,12.798052
12.888162,13.048032
13.173074,13.297990
13.423032,13.547948
13.672990,13.797907
13.906198,14.047865
14.172928,14.297844
14.422886,14.547803
14.672845,14.775203
14.922824,15.047720
15.172783,15.297699
15.402440,15.547657
15.672721,15.797616
15.922678,16.047573
16.172636,16.297531
16.422595,16.547490
16.672553,16.797448
16.922511,17.047427
17.172469,17.297386
17.422428,17.547345
17.672407,17.797302
17.922366,18.047261
18.172325,18.297220
18.422283,18.547178
18.672241,18.797157
18.922199,19.047115
19.172178,19.297074
19.422137,19.547031
19.672094,19.797011
19.922054,20.046969
20.172011,20.296927
20.421991,20.546886
20.671948,20.796865
20.921906,21.046824
21.171887,21.296782
21.421845,21.546740
21.671803,21.796697
