type,peak
A,0.474913
C,0.474913
A,0.503759
C,0.503759
A,0.473825
C,0.473825
A,0.503605
C,0.503605
A,0.474633
C,0.474633
A,0.505254
C,0.505254
A,0.473291
C,0.473291
A,0.504911
C,0.504911
A,0.475106
C,0.475106
A,0.504193
C,0.504193
A,0.474777
C,0.474777
A,0.505821
C,0.505821
A,0.474877
C,0.474877
A,0.505842
C,0.505842
A,0.474383
C,0.474383
A,0.502114
C,0.502114
A,0.473935
C,0.473935
A,0.108057
C,0.107829
A,0.473816
C,0.473816
A,0.505167
C,0.505167
A,0.475611
C,0.475611
A,0.504891
C,0.504891
A,0.473907
C,0.473907
A,0.506450
C,0.506450
A,0.475291
C,0.475291
A,0.505704
C,0.505704
A,0.473772
C,0.473772
A,0.504039
C,0.504039
A,0.473410
C,0.473410
A,0.503871
C,0.503871
A,0.475411
C,0.475411
A,0.504459
C,0.504459
A,0.474120
C,0.474120
A,0.503400
C,0.503400
A,0.474828
C,0.474828
A,0.126711
C,0.126711
A,0.473858
C,0.473858
A,0.507010
C,0.507010
A,0.474109
C,0.474109
A,0.504173
C,0.504173
A,0.474210
C,0.474210
A,0.505934
C,0.505934
A,0.476656
C,0.476656
A,0.504512
C,0.504512
A,0.475094
C,0.475094
A,0.504364
C,0.504364
A,0.475073
C,0.475073
A,0.504380
C,0.504380
A,0.474558
C,0.474558
A,0.504693
C,0.504693
A,0.475730
C,0.475730
A,0.504940
C,0.504940
A,0.475289
C,0.475289
A,0.503594
C,0.503594
A,0.472620
C,0.472620
A,0.506358
C,0.506358
A,0.473237
C,0.473237
A,0.504259
C,0.504259
A,0.474148
C,0.474148
A,0.506288
C,0.506288
A,0.476327
C,0.476327
A,0.504230
C,0.504230
A,0.474045
C,0.474045
A,0.505288
C,0.505288
A,0.476583
C,0.476583
A,0.505011
C,0.505011
A,0.474015
C,0.474015
A,0.504393
C,0.504393
A,0.475299
C,0.475299
A,0.504225
C,0.504225
A,0.472592
C,0.472592
A,0.506396
C,0.506396
A,0.473097
C,0.473097
A,0.506573
C,0.506573
A,0.475956
C,0.475956
A,0.504994
C,0.504994
A,0.473658
C,0.473658
A,0.503870
C,0.503870
A,0.474487
C,0.474487
A,0.505589
C,0.505589
A,0.474001
C,0.474001
A,0.506144
C,0.506144
A,0.476258
C,0.476258
A,0.503630
C,0.503630
A,0.475091
C,0.475091
A,0.505672
C,0.505672
A,0.475493
C,0.475493
A,0.111520
C,0.111520
A,0.474907
C,0.474907
A,0.504520
C,0.504520
A,0.475364
C,0.475364
A,0.502630
C,0.502630
A,0.475546
C,0.475546
A,0.504017
C,0.504017
A,0.472068
C,0.472068
A,0.506835
C,0.506835
A,0.475077
C,0.475077
A,0.504079
C,0.504079
A,0.475426
C,0.475426
A,0.504924
C,0.504924
A,0.474273
C,0.474273
A,0.505238
C,0.505238
A,0.475144
C,0.475144
A,0.504913
C,0.504913
A,0.473415
C,0.473415
A,0.504367
C,0.504367
A,0.472788
C,0.472788
A,0.505463
C,0.505463
A,0.474009
C,0.474009
A,0.505892
C,0.505892
A,0.474072
C,0.474072
A,0.504413
C,0.504413
A,0.473616
C,0.473616
A,0.504078
C,0.504078
A,0.474331
C,0.474331
A,0.505414
C,0.505414
A,0.474885
C,0.474885
A,0.506050
C,0.506050
A,0.474220
C,0.474220
A,0.503747
C,0.503747
A,0.474745
C,0.474745
A,0.505097
C,0.505097
A,0.476129
C,0.476129
A,0.504004
C,0.504004
A,0.474284
C,0.474284
A,0.504433
C,0.504433
A,0.473625
C,0.473625
A,0.503970
C,0.503970
A,0.475849
C,0.475849
A,0.504531
C,0.504531
A,0.475328
C,0.475328
A,0.504467
C,0.504467
A,0.474549
C,0.474549
A,0.505786
C,0.505786
A,0.475163
C,0.475163
A,0.504171
C,0.504171
A,0.475955
C,0.475955
A,0.504812
C,0.504812
A,0.473340
C,0.473340
A,0.505236
C,0.505236
A,0.476636
C,0.476636
A,0.505113
C,0.505113
A,0.124708
C,0.106977
A,0.506493
C,0.506493
A,0.475094
C,0.475094
A,0.112252
C,0.112252
A,0.473872
C,0.473872
A,0.503371
C,0.503371
A,0.474813
C,0.474813
A,0.504505
C,0.504505
A,0.474602
C,0.474602
A,0.503701
C,0.503701
A,0.475563
C,0.475563
A,0.503745
C,0.503745
A,0.475354
C,0.475354
A,0.506023
C,0.506023
A,0.474164
C,0.474164
A,0.503860
C,0.503860
A,0.473658
C,0.473658
A,0.505286
C,0.505286
A,0.475474
C,0.475474
A,0.504997
C,0.504997
A,0.473611
C,0.473611
