type,peak
A,0.531039
C,0.531039
A,0.499943
C,0.499943
A,0.534361
C,0.534361
A,0.500677
C,0.500677
A,0.532965
C,0.532965
A,0.500759
C,0.500759
A,0.532836
C,0.532836
A,0.500369
C,0.500369
A,0.531527
C,0.531527
A,0.500807
C,0.500807
A,0.531747
C,0.531747
A,0.499576
C,0.499576
A,0.532820
C,0.532820
A,0.500348
C,0.500348
A,0.532729
C,0.532729
A,0.498646
C,0.498646
A,0.534252
C,0.534252
A,0.501078
C,0.501078
A,0.533637
C,0.533637
A,0.502597
C,0.502597
A,0.533052
C,0.533052
A,0.498646
C,0.498646
A,0.532539
C,0.532539
A,0.499693
C,0.499693
A,0.531515
C,0.531515
A,0.499052
C,0.499052
A,0.534059
C,0.534059
A,0.499343
C,0.499343
A,0.532660
C,0.532660
A,0.501433
C,0.501433
A,0.530166
C,0.530166
A,0.499404
C,0.499404
A,0.531282
C,0.531282
A,0.500076
C,0.500076
A,0.533209
C,0.533209
A,0.500905
C,0.500905
A,0.533757
C,0.533757
A,0.499722
C,0.499722
A,0.532127
C,0.532127
A,0.499652
C,0.499652
A,0.534497
C,0.534497
A,0.500494
C,0.500494
A,0.530189
C,0.530189
A,0.499794
C,0.499794
A,0.532305
C,0.532305
A,0.499590
C,0.499590
A,0.531721
C,0.531721
A,0.502332
C,0.502332
A,0.531125
C,0.531125
A,0.501576
C,0.501576
A,0.533138
C,0.533138
A,0.500640
C,0.500640
A,0.532620
C,0.532620
A,0.500381
C,0.500381
A,0.533237
C,0.533237
A,0.498877
C,0.498877
A,0.531175
C,0.531175
A,0.499930
C,0.499930
A,0.531647
C,0.531647
A,0.499605
C,0.499605
A,0.532772
C,0.532772
A,0.500223
C,0.500223
A,0.532433
C,0.532433
A,0.500233
C,0.500233
A,0.533154
C,0.533154
A,0.502698
C,0.502698
A,0.531091
C,0.531091
A,0.501796
C,0.501796
A,0.532089
C,0.532089
A,0.500646
C,0.500646
A,0.531505
C,0.531505
A,0.500100
C,0.500100
A,0.532161
C,0.532161
A,0.500433
C,0.500433
A,0.532910
C,0.532910
A,0.501427
C,0.501427
A,0.531734
C,0.531734
A,0.499898
C,0.499898
A,0.532095
C,0.532095
A,0.499970
C,0.499970
A,0.533250
C,0.533250
A,0.500738
C,0.500738
A,0.532425
C,0.532425
A,0.501162
C,0.501162
A,0.533741
C,0.533741
A,0.500074
C,0.500074
A,0.532142
C,0.532142
A,0.500144
C,0.500144
A,0.532558
C,0.532558
A,0.501518
C,0.501518
A,0.533360
C,0.533360
A,0.498834
C,0.498834
A,0.531482
C,0.531482
A,0.500001
C,0.500001
A,0.532137
C,0.532137
A,0.499805
C,0.499805
A,0.531243
C,0.531243
A,0.503187
C,0.503187
A,0.531575
C,0.531575
A,0.499805
C,0.499805
A,0.532072
C,0.532072
A,0.500830
C,0.500830
A,0.531686
C,0.531686
A,0.500581
C,0.500581
A,0.531634
C,0.531634
A,0.501708
C,0.501708
A,0.532891
C,0.532891
A,0.501025
C,0.501025
A,0.531386
C,0.531386
A,0.502402
C,0.502402
A,0.532612
C,0.532612
A,0.499741
C,0.499741
A,0.531274
C,0.531274
A,0.500507
C,0.500507
A,0.533938
C,0.533938
A,0.500088
C,0.500088
A,0.531107
C,0.531107
A,0.499153
C,0.499153
A,0.533950
C,0.533950
A,0.501418
C,0.501418
A,0.533579
C,0.533579
A,0.500722
C,0.500722
A,0.533421
C,0.533421
A,0.500410
C,0.500410
A,0.531910
C,0.531910
A,0.500185
C,0.500185
A,0.533601
C,0.533601
A,0.501227
C,0.501227
A,0.532753
C,0.532753
A,0.501767
C,0.501767
A,0.532175
C,0.532175
A,0.501333
C,0.501333
A,0.532587
C,0.532587
A,0.500912
C,0.500912
A,0.531915
C,0.531915
A,0.500607
C,0.500607
A,0.533156
C,0.533156
A,0.499899
C,0.499899
A,0.532563
C,0.532563
A,0.500884
C,0.500884
A,0.532766
C,0.532766
A,0.501893
C,0.501893
A,0.532466
C,0.532466
A,0.499742
C,0.499742
A,0.532194
C,0.532194
A,0.499724
C,0.499724
A,0.533231
C,0.533231
A,0.501318
C,0.501318
A,0.533118
C,0.533118
A,0.498930
C,0.498930
A,0.530592
C,0.530592
A,0.501199
C,0.501199
A,0.533340
C,0.533340
A,0.502042
C,0.502042
A,0.533585
C,0.533585
A,0.501095
C,0.501095
A,0.532994
C,0.532994
A,0.501927
C,0.501927
A,0.531808
C,0.531808
A,0.502116
C,0.502116
A,0.532694
C,0.532694
A,0.501148
C,0.501148
A,0.532246
C,0.532246
A,0.500872
C,0.500872
A,0.532419
C,0.532419
A,0.500684
C,0.500684
A,0.532379
C,0.532379
A,0.500159
C,0.500159
A,0.533855
C,0.533855
A,0.502173
C,0.502173
A,0.533836
C,0.533836
A,0.500271
C,0.500271
A,0.532875
C,0.532875
A,0.498850
C,0.498850
A,0.534005
C,0.534005
A,0.500966
C,0.500966
A,0.533482
C,0.533482
A,0.500273
C,0.500273
A,0.534583
C,0.534583
A,0.499987
C,0.499987
A,0.534027
C,0.534027
A,0.500431
C,0.500431
A,0.533312
C,0.533312
A,0.501786
C,0.501786
A,0.534264
C,0.534264
A,0.500665
C,0.500665
A,0.530715
C,0.530715
A,0.499737
C,0.499737
A,0.533487
C,0.533487
A,0.500639
C,0.500639
A,0.533756
C,0.533756
A,0.499318
C,0.499318
A,0.533349
C,0.533349
A,0.499775
C,0.499775
A,0.530801
C,0.530801
A,0.500861
C,0.500861
A,0.531952
C,0.531952
A,0.499947
C,0.499947
A,0.532469
C,0.532469
A,0.500538
C,0.500538
A,0.532963
C,0.532963
A,0.500005
C,0.500005
A,0.531362
C,0.531362
A,0.500021
C,0.500021
A,0.533800
C,0.533800
A,0.499359
C,0.499359
A,0.534084
C,0.534084
A,0.499677
C,0.499677
A,0.532437
C,0.532437
A,0.497905
C,0.497905
A,0.531749
C,0.531749
A,0.499133
C,0.499133
A,0.533963
C,0.533963
A,0.501587
C,0.501587
A,0.533730
C,0.533730
A,0.501006
C,0.501006
A,0.532419
C,0.532419
A,0.500891
C,0.500891
A,0.532662
C,0.532662
A,0.499772
C,0.499772
A,0.533572
C,0.533572
A,0.499029
C,0.499029
A,0.532630
C,0.532630
A,0.500092
C,0.500092
A,0.532095
C,0.532095
A,0.500187
C,0.500187
