TIC,TOC
1.802406,1.927929
2.052720,2.178241
2.303011,2.428533
2.553324,2.678825
2.803615,2.929117
3.053886,3.179387
3.304158,3.429658
3.554428,3.679929
3.804699,3.930200
4.054949,4.180450
4.305199,4.430700
4.555449,4.680949
4.805699,4.931178
5.055928,5.181408
5.306157,5.431637
5.556386,5.681867
5.806616,5.932074
6.056825,6.182304
6.307032,6.432512
6.557241,6.682699
6.807448,6.932907
7.057637,7.183095
7.307845,7.433283
7.558032,7.683492
7.808200,7.933657
8.058387,8.183845
8.308553,8.434012
8.558719,8.684179
8.808887,8.934345
9.059054,9.184512
9.309220,9.434657
9.559365,9.684825
9.809533,9.934971
10.059678,10.185116
10.309824,10.435262
10.559969,10.685387
10.810096,10.935533
11.060219,11.185658
11.310344,11.435783
11.560491,11.685908
11.810615,11.936033
12.060740,12.186157
12.310865,12.436282
12.560970,12.686387
12.811074,12.936492
13.061177,13.186617
13.311303,13.436720
13.561407,13.686825
13.811511,13.936929
14.061615,14.187033
14.311699,14.437117
14.561803,14.687221
14.811907,14.937304
15.061990,15.187387
15.312074,15.437490
15.562156,15.687553
15.812241,15.937658
16.062323,16.187742
16.312407,16.437803
16.562491,16.687887
16.812553,16.937971
17.062637,17.188032
17.312720,17.438116
17.562783,17.688178
17.812845,17.938240
18.062928,18.188325
18.312990,18.438387
18.563053,18.688450
18.813116,18.938512
19.063177,19.188574
19.313240,19.438637
19.563302,19.688700
19.813345,19.938741
20.063408,20.188803
20.313470,20.438866
20.563532,20.688908
20.813574,20.938970
21.063636,21.189012
21.313678,21.439054
21.563719,21.689116
21.813762,21.939158
22.063804,22.189199
22.313845,22.439241
22.563886,22.689283
22.813928,22.939323
23.063969,23.189346
23.314011,23.439388
23.564032,23.689408
23.814074,23.939449
24.064115,24.189491
24.314157,24.439533
24.564178,24.689574
24.814220,24.939595
25.064241,25.189616
25.314262,25.439637
25.564303,25.689679
25.814324,25.939699
26.064344,26.189721
26.314386,26.439742
26.564387,26.689763
26.814428,26.939804
27.064428,27.189804
27.314470,27.439824
27.564491,27.689867
27.814511,27.939887
28.064532,28.189908
28.314553,28.439929
28.564574,
