type,peak
A,0.504890
C,0.504890
A,0.475202
C,0.475202
A,0.503474
C,0.503474
A,0.476296
C,0.476296
A,0.502613
C,0.502613
A,0.472174
C,0.472174
A,0.502985
C,0.502985
A,0.474443
C,0.474443
A,0.503784
C,0.503784
A,0.474911
C,0.474911
A,0.503901
C,0.503901
A,0.473848
C,0.473848
A,0.505185
C,0.505185
A,0.472814
C,0.472814
A,0.504123
C,0.504123
A,0.473936
C,0.473936
A,0.506139
C,0.506139
A,0.475018
C,0.475018
A,0.502454
C,0.502454
A,0.475019
C,0.475019
A,0.504608
C,0.504608
A,0.475373
C,0.475373
A,0.503278
C,0.503278
A,0.473057
C,0.473057
A,0.504499
C,0.504499
A,0.473621
C,0.473621
A,0.504612
C,0.504612
A,0.474409
C,0.474409
A,0.503353
C,0.503353
A,0.473680
C,0.473680
A,0.504004
C,0.504004
A,0.472730
C,0.472730
A,0.504066
C,0.504066
A,0.474508
C,0.474508
A,0.504965
C,0.504965
A,0.473945
C,0.473945
A,0.504557
C,0.504557
A,0.474474
C,0.474474
A,0.504495
C,0.504495
A,0.474951
C,0.474951
A,0.504227
C,0.504227
A,0.474255
C,0.474255
A,0.505901
C,0.505901
A,0.472203
C,0.472203
A,0.506297
C,0.506297
A,0.475532
C,0.475532
A,0.504535
C,0.504535
A,0.473342
C,0.473342
A,0.504566
C,0.504566
A,0.473376
C,0.473376
A,0.504254
C,0.504254
A,0.475441
C,0.475441
A,0.503225
C,0.503225
A,0.474087
C,0.474087
A,0.503604
C,0.503604
A,0.473947
C,0.473947
A,0.503552
C,0.503552
A,0.473498
C,0.473498
A,0.503256
C,0.503256
A,0.473946
C,0.473946
A,0.502981
C,0.502981
A,0.473295
C,0.473295
A,0.505252
C,0.505252
A,0.474685
C,0.474685
A,0.504832
C,0.504832
A,0.475432
C,0.475432
A,0.504792
C,0.504792
A,0.474804
C,0.474804
A,0.502960
C,0.502960
A,0.473381
C,0.473381
A,0.505865
C,0.505865
A,0.474922
