type,peak
A,0.074301
C,0.074301
A,0.060284
C,0.060284
A,0.077253
C,0.077253
A,0.062961
C,0.062961
A,0.074528
C,0.074528
A,0.061682
C,0.061682
A,0.073169
C,0.073169
A,0.058130
C,0.058130
A,0.073285
C,0.073285
A,0.068146
C,0.068146
A,0.074548
C,0.074548
A,0.050862
C,0.050862
A,0.077019
C,0.077019
A,0.069009
C,0.069009
A,0.064010
C,0.064010
A,0.061492
C,0.061492
A,0.061526
C,0.061526
A,0.075714
C,0.075714
A,0.060490
C,0.060490
A,0.063479
C,0.063479
A,0.067850
C,0.067850
A,0.063565
C,0.063565
A,0.076775
C,0.076775
A,0.072703
C,0.072703
A,0.064664
C,0.064664
A,0.063847
C,0.063847
A,0.057106
C,0.057106
A,0.059658
C,0.059658
A,0.073891
C,0.073891
A,0.059129
C,0.059129
A,0.063146
C,0.063146
A,0.054875
C,0.054875
A,0.069484
C,0.069484
A,0.061682
C,0.061682
A,0.073685
C,0.073685
A,0.061783
C,0.061783
A,0.070283
C,0.070283
A,0.072804
C,0.072804
A,0.072515
C,0.072515
A,0.059248
C,0.059248
A,0.076716
C,0.076716
A,0.063726
C,0.063726
A,0.064850
C,0.064850
A,0.071410
C,0.071410
A,0.065736
C,0.065736
A,0.061481
C,0.061481
A,0.079495
C,0.079495
A,0.069364
C,0.069364
A,0.073300
C,0.073300
A,0.064139
C,0.059636
A,0.073972
C,0.073972
A,0.062330
C,0.062330
A,0.075142
C,0.075142
A,0.062827
C,0.062827
A,0.067145
C,0.067145
A,0.058343
C,0.058343
A,0.081780
C,0.081780
A,0.067647
C,0.064790
A,0.073189
C,0.073189
A,0.071451
C,0.071451
A,0.077397
C,0.077397
A,0.065910
C,0.062391
A,0.072586
C,0.072586
A,0.060058
C,0.060058
A,0.074744
C,0.074744
A,0.066086
C,0.066009
A,0.068465
C,0.068465
A,0.068861
C,0.068861
A,0.074108
C,0.074108
A,0.073457
C,0.073457
A,0.078716
C,0.078716
A,0.061952
C,0.061952
A,0.068261
C,0.068261
A,0.071360
C,0.071360
A,0.065785
C,0.065785
A,0.070395
C,0.070395
A,0.065258
C,0.065258
A,0.078124
C,0.078124
A,0.086225
C,0.086225
A,0.063492
C,0.063492
A,0.077919
C,0.077919
A,0.070663
C,0.070663
A,0.071403
C,0.071403
A,0.060676
C,0.060676
A,0.083621
C,0.083621
A,0.067764
C,0.067764
A,0.069424
C,0.069424
A,0.063724
C,0.063724
A,0.072765
C,0.072765
A,0.067763
C,0.067763
A,0.072863
C,0.072863
A,0.057390
C,0.057390
A,0.078412
C,0.078412
A,0.072664
C,0.072664
A,0.074375
C,0.074375
A,0.064470
C,0.064470
A,0.080706
C,0.080706
A,0.066575
C,0.066575
A,0.077932
C,0.077932
A,0.066299
C,0.066299
A,0.080245
C,0.080245
A,0.066304
C,0.066304
A,0.071344
C,0.071344
A,0.074533
C,0.074533
A,0.076842
C,0.076842
A,0.070728
C,0.070728
A,0.081356
C,0.081356
A,0.060295
C,0.060295
A,0.079390
C,0.079390
A,0.064901
C,0.064901
A,0.079944
C,0.079944
A,0.072059
C,0.072059
A,0.076906
C,0.076906
A,0.067067
C,0.067067
A,0.074367
C,0.074367
A,0.073129
C,0.073129
A,0.076730
C,0.076730
A,0.070149
C,0.070149
A,0.070278
C,0.070278
A,0.065764
C,0.065764
A,0.070329
C,0.070329
A,0.069198
C,0.069198
A,0.077462
C,0.077462
A,0.077539
C,0.077539
A,0.072777
C,0.072777
A,0.073142
C,0.073142
A,0.078401
C,0.078401
A,0.078563
C,0.078563
A,0.078138
C,0.078138
A,0.074600
C,0.074600
A,0.078843
C,0.078843
A,0.073046
C,0.073046
A,0.086013
C,0.086013
A,0.079619
C,0.079619
A,0.083309
C,0.083309
A,0.054917
C,0.052468
A,0.083712
C,0.083712
A,0.070865
C,0.070865
A,0.074394
C,0.074394
A,0.074197
C,0.074197
A,0.078355
C,0.078355
A,0.080289
C,0.080289
A,0.084646
C,0.084646
A,0.075777
C,0.075777
A,0.080659
C,0.080659
A,0.074798
C,0.074798
A,0.079542
C,0.079542
A,0.066649
C,0.066649
A,0.077618
C,0.077618
A,0.075318
C,0.075318
A,0.081242
C,0.081242
A,0.070957
C,0.070957
A,0.084522
C,0.084522
A,0.075425
C,0.075425
A,0.074026
C,0.074026
A,0.077320
C,0.077320
A,0.071998
C,0.071998
A,0.085443
C,0.085443
A,0.076969
C,0.076969
A,0.070651
C,0.070651
A,0.077913
C,0.077913
A,0.067458
C,0.067458
A,0.069811
C,0.069811
A,0.069514
C,0.069514
A,0.079607
C,0.079607
A,0.068806
C,0.068806
A,0.079524
