type,peak
A,0.057188
C,0.057188
A,0.068191
C,0.068191
A,0.085984
C,0.085984
A,0.068901
C,0.068901
A,0.075295
C,0.075295
A,0.066732
C,0.066732
A,0.081967
C,0.081967
A,0.072605
C,0.072605
A,0.078416
C,0.078416
A,0.062563
C,0.062563
A,0.080527
C,0.080527
A,0.075484
C,0.075484
A,0.072490
C,0.072490
A,0.057735
C,0.057735
A,0.075046
C,0.075046
A,0.070320
C,0.070320
A,0.069744
C,0.069744
A,0.063638
C,0.063638
A,0.070480
C,0.070480
A,0.066427
C,0.066427
A,0.079077
C,0.079077
A,0.068590
C,0.068590
A,0.081722
C,0.081722
A,0.062717
C,0.062717
A,0.069395
C,0.069395
A,0.059064
C,0.059064
A,0.087136
C,0.087136
A,0.061743
C,0.055698
A,0.095013
C,0.095013
A,0.061419
C,0.061419
A,0.069658
C,0.069658
A,0.092800
C,0.092800
A,0.088857
C,0.088857
A,0.068405
C,0.068405
A,0.074117
C,0.074117
A,0.066888
C,0.066888
A,0.084935
C,0.084935
A,0.061673
C,0.061673
A,0.076791
C,0.076791
A,0.060860
C,0.060860
A,0.073918
C,0.073918
A,0.067000
C,0.067000
A,0.079692
C,0.079692
A,0.072841
C,0.072841
A,0.061070
C,0.061070
A,0.066181
C,0.066181
A,0.072752
C,0.072752
A,0.069308
C,0.069308
A,0.069289
C,0.069289
A,0.061259
C,0.061259
A,0.073121
C,0.073121
A,0.063749
C,0.063749
A,0.075985
C,0.075985
A,0.060220
C,0.056114
A,0.073347
C,0.073347
A,0.068516
C,0.068516
A,0.070345
C,0.070345
A,0.061669
C,0.061669
A,0.072118
C,0.072118
A,0.062846
C,0.058090
A,0.074993
C,0.074993
A,0.028795
C,0.004081
A,0.071188
C,0.071188
A,0.071072
C,0.071072
A,0.078372
C,0.078372
A,0.069238
C,0.069238
A,0.070374
C,0.070374
A,0.075418
C,0.075418
A,0.071256
C,0.071256
A,0.069598
C,0.069598
A,0.068521
C,0.068521
A,0.065146
C,0.065146
A,0.076109
C,0.076109
A,0.070264
C,0.070264
A,0.080644
C,0.080644
A,0.064504
C,0.059834
A,0.075680
C,0.075680
A,0.063393
C,0.063393
A,0.078996
C,0.078996
A,0.067647
C,0.067647
A,0.082995
C,0.082995
A,0.060543
C,0.060543
A,0.082491
C,0.082491
A,0.066598
C,0.066598
A,0.074265
C,0.074265
A,0.061990
C,0.059678
A,0.073488
C,0.073488
A,0.069370
C,0.069370
A,0.075694
C,0.075694
A,0.066443
C,0.066443
A,0.074325
C,0.074325
A,0.060376
C,0.058872
A,0.073704
C,0.073704
A,0.064053
C,0.064053
A,0.083608
C,0.083608
A,0.069910
C,0.065437
A,0.081850
C,0.081850
A,0.068876
C,0.068876
A,0.084924
C,0.084924
A,0.069687
C,0.069687
A,0.071862
C,0.071862
A,0.069889
C,0.069889
A,0.085849
C,0.085849
A,0.071667
C,0.071667
A,0.082517
C,0.082517
A,0.065099
C,0.065099
A,0.082230
C,0.082230
A,0.066563
C,0.066563
A,0.081125
C,0.081125
A,0.058799
C,0.058799
A,0.077446
C,0.077446
A,0.064318
C,0.064318
A,0.082260
C,0.082260
A,0.065273
C,0.065273
A,0.085433
C,0.085433
A,0.084772
C,0.084772
A,0.087618
C,0.087618
A,0.063545
C,0.063545
A,0.086274
C,0.086274
A,0.063865
C,0.062128
A,0.074704
C,0.074704
A,0.071627
C,0.071627
A,0.088969
C,0.088969
A,0.071675
C,0.071675
A,0.082833
C,0.082833
A,0.072847
C,0.072847
A,0.080964
C,0.080964
A,0.063778
C,0.063778
A,0.082486
C,0.082486
A,0.071740
C,0.071740
A,0.077615
C,0.077615
A,0.066143
C,0.066143
A,0.075505
C,0.075505
A,0.059592
C,0.059592
A,0.077023
C,0.077023
A,0.071773
C,0.071773
A,0.085432
C,0.085432
A,0.068265
C,0.068265
A,0.076249
C,0.076249
A,0.064545
C,0.063855
A,0.083382
C,0.083382
A,0.072344
C,0.072344
A,0.076845
C,0.076845
A,0.068881
C,0.068881
A,0.082827
C,0.082827
A,0.076022
C,0.076022
A,0.056462
C,0.000302
